title|overall_price|area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude
Mieszkanie 5 pokojowe, Wrzeszcz ul. Politechniczna|790000.0|82.0|5|2.0|secondary|0|0||1.0|Mieszkanie|1.0|9634.15|1|0|0|politechniczna 16a|wrzeszcz górny|gdansk|54.373953|18.616613
2-pokojowe mieszkanie 59m2 + ogródek Bezpośrednio|536670.0|59.63|2|0.0||1|0|||||9000.0|0|1|0|zbożowa|cisowa|gdynia|54.548571|18.443583
4-pokojowe mieszkanie 88m2 + ogródek|795600.0|88.4|4|0.0||1|0|||||9000.0|0|1|0|zbożowa|cisowa|gdynia|54.548571|18.443583
Najpiękniejsze 4 Pokoje Po Generalnym Remoncie|847000.0|53.2|4|1.0|secondary|1|1|1976.0|1.0|Mieszkanie|1.0|15921.05|1|0|0|władysława reymonta|wrzeszcz górny|gdansk|54.379788|18.583287
Apartament z pięknym widokiem na morze|1470000.0|50.0|2|7.0|secondary|1|1|2023.0|0.0|Mieszkanie|1.0|29400.0|0|0|1|św. piotra|leszczynki|gdynia|54.524781|18.545343
Sprzedam dużą kawalerkę w świetnej lokalizacji|369000.0|29.5|1|1.0|secondary|0|0||1.0|Mieszkanie|1.0|12508.47|0|0|0||chylonia|gdynia|54.545488|18.464193
3-pokoje sprzedam|630000.0|58.0|3|1.0|secondary|1|1|2023.0|1.0|Mieszkanie|1.0|10862.07|0|0|1|władysława wagnera|chwarzno-wiczlino|gdynia|54.502673|18.424516
1-pokojowe mieszkanie 41m2 + balkon Bezpośrednio|765926.0|41.35|1|2.0||1|0|||||18523.0|1|0|0|mariana hemara|wrzeszcz górny|gdansk|54.34902|18.6518
Sprzedam apartament nad morzem w Gdańsku|779000.0|36.85|2|1.0|secondary|1|1|2023.0|1.0|Mieszkanie|0.0|21139.76|1|0|0||wyspa sobieszewska|gdansk|54.344034|18.827022
Piękne Mieszkanie Nowe Bezpośrednio 700 m do morza|1100000.0|55.0|3|2.0|secondary|1|0|2020.0|0.0|Mieszkanie|0.0|20000.0|1|0|0|turystyczna 60|wyspa sobieszewska|gdansk|54.344034|18.827022
Dwa pokoje, serce Witomina 5 min do Śródmieścia|499995.0|42.3|2|2.0|secondary|0|0|1975.0|1.0|Mieszkanie|1.0|11820.21|0|0|0|rolnicza|witomino|gdynia|54.499258|18.511136
Mieszkanie, 60 m², Gdańsk|595000.0|60.0|2|2.0|secondary|0|0||0.0|Mieszkanie|1.0|9916.67|0|0|0|aleja legionów|wrzeszcz dolny|gdansk|54.386133|18.61179
DZIEŃ OTWARTY ⭐ Balkon 9m2 ✅ Klucze w tym roku!|658909.0|67.61|4|3.0|primary|1|1||1.0|Mieszkanie|1.0|9745.73|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Odbierz klucze w 2024 • 15 min do centrum •|444366.0|42.16|2|2.0|primary|1|1||1.0|Mieszkanie|0.0|10539.99|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Nietuzinkowe blisko morza na Wyspie Sobieszewskiej|1050000.0|43.13|2|0.0|secondary|1|0|2021.0|0.0||0.0|24345.0|0|1|1|turystyczna|wyspa sobieszewska|gdansk|54.344034|18.827022
OSTATNIE poniżej 500tys_15min od Gdańsk Główny|480500.0|50.8|3|0.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9458.66|0|1|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
M3 z GARDEROBĄ • 15 min do centrum •|525195.0|52.81|3|2.0|primary|1|1||1.0|Mieszkanie|0.0|9944.99|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Mieszkanie blisko dworca Pkp i galerii handlowej|735000.0|56.7|3|2.0|secondary|0|0|1956.0|1.0|Mieszkanie|1.0|12962.96|0|0|0|rajska|śródmieście|gdansk|54.35588|18.64708
2 pokojowe mieszkanie dostępne od zaraz!|515000.0|37.0|2|1.0|secondary|1|0|2022.0|0.0||0.0|13918.92|1|0|0|franciszka sokoła|chwarzno-wiczlino|gdynia|54.490386|18.423491
Sprzedam mieszkanie 4-pokojowe|799000.0|71.7|4|1.0|secondary|0|0|1989.0|1.0|Mieszkanie|1.0|11143.65|1|0|0|prof. józefa więckowskiego|chełm|gdansk|54.333487|18.613844
OSTATNIE 2pok poniżej 400tys_RABATY do soboty_HALE|381350.0|37.1|2|0.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|10278.98|0|1|1||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
NAJTAŃSZE 2pok w GDAŃSKU_promocje do SOBOTY_garaże|355475.0|31.9|2|1.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|11143.42|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Nowa oferta mieszkań - Meva - Gdynia Grabówek M2|735000.0|56.12|3|0.0|primary|1|0|2024.0|1.0||0.0|13096.94|0|1|0|gerarda denhoffa 2|grabówek|gdynia|54.523362|18.51654
347 000 Netto 5min Wyspa Spichrzów+Dod BONUS 26-27|426845.0|27.68|1|0.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|15420.7|1|0|0||śródmieście|gdansk|54.34902|18.6518
Gdańsk Żabianka/Oliwa! 2 duże pokoje 47,6 m2|599000.0|47.6|2|1.0|secondary|1|0|1964.0|0.0|Mieszkanie|1.0|12584.03|1|0|0||Żabianka-Wejhera-Jelitkowo-Tysiąclecia|gdansk|54.420659|18.571526
Gotowe_Przy parku_Zobacz na żywo! Promo|504810.0|53.45|3|2.0|primary|1|1|2023.0|1.0|Mieszkanie|0.0|9444.53|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Apartament przy Motławie - widok na wodę!!!|350590.0|26.36|1|3.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|13300.08|1|0|0||śródmieście|gdansk|54.34902|18.6518
3-pokojowy apartament 60m2 + balkon|1296189.0|60.11|3|4.0||1|0|||||21563.62|1|0|0|kardynała wyszyńskiego|śródmieście|gdynia|54.482333|18.426859
3-pokojowy apartament 60m2 + balkon Bez Prowizji|1326244.0|60.11|3|5.0||1|0|||||22063.62|1|0|0|kardynała wyszyńskiego|śródmieście|gdynia|54.482333|18.426859
4-pokojowy apartament 85m2 + balkon Bezpośrednio|1668968.0|85.27|4|1.0||1|0|||||19572.75|1|0|0|kardynała wyszyńskiego|śródmieście|gdynia|54.482333|18.426859
absolutny Hit, najtańsze 2 pok w Gdańsku|355500.0|31.8|2|1.0|primary|1|1|2025.0|1.0|Mieszkanie|0.0|11179.25|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Umeblowane 2 ppkoje po remoncie, Suchanino|580000.0|42.42|2|10.0|secondary|0|1|1975.0|1.0|Mieszkanie|1.0|13672.8|1|0|0|ignacego paderewskiego|suchanino|gdansk|54.352992|18.607056
