title|overall_price|area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude
Apartament 3 minuty od plaży !|1850000.0|92.76|4|3.0|secondary|1|1|2003.0|0.0|Mieszkanie|0.0|19943.94|1|0|0|bitwy pod płowcami|karlikowo|sopot|54.433864|18.58015
Jasne klimatyczne mieszkanie 52 m2 w sercu Gdyni|649000.0|51.42|2|1.0|secondary|0|0|1952.0|0.0|Mieszkanie|1.0|12621.55|0|0|0|bp. dominika|wzgórze św. maksymiliana|gdynia|54.50413|18.537359
Idealne mieszkanie pod wynajem Gdynia blisko plaży|645000.0|59.64|2|4.0|secondary|0|0|1950.0|0.0|Mieszkanie|1.0|10814.89|0|0|0|śląska|działki leśne|gdynia|54.51768|18.53892
4 Pokojowe Mieszkanie Niemal W Centum Gdyni|799000.0|57.92|4|5.0|secondary|1|1|1960.0|1.0|Mieszkanie|1.0|13794.89|1|0|0|śląska|działki leśne|gdynia|54.51768|18.53892
przestronna kamienica z dużą piwnicą spiżarnią|747000.0|67.0|2|2.0|secondary|0|0|1938.0|0.0|Mieszkanie|1.0|11149.25|0|0|0|warszawska|działki leśne|gdynia|54.515929|18.53106
Apartament w inwestycji Nowe Orłowo!|1295000.0|42.36|2|2.0|secondary|1|1|2016.0|0.0|Mieszkanie|0.0|30571.29|1|0|0|józefa kiedronia|orłowo|gdynia|54.481374|18.553249
Mieszkanie Blisko Morza !|840000.0|57.76|2|5.0|secondary|1|1|1952.0|0.0|Mieszkanie|1.0|14542.94|0|0|0|al. marsz. piłsudskiego|kamienna góra|gdynia|54.508513|18.544513
3 pok. Działki Leśne Gdynia - dod. 2 garaże!|1070000.0|75.62|3|2.0|secondary|1|0|1939.0|1.0|Mieszkanie|1.0|14149.7|0|0|0|słupecka|działki leśne|gdynia|54.517372|18.52623
"Przeszklony Apartament | Wysokość Sufitów 3 M"|2690000.0|114.34|4|2.0|secondary|1|1|2023.0|0.0|Mieszkanie|1.0|23526.32|1|0|0|jana z kolna|śródmieście|gdynia|54.523261|18.536777
Mieszkanie Na Świętojańskiej|1690000.0|87.5|4|1.0|secondary|1|1|1930.0|0.0|Mieszkanie|1.0|19314.29|0|0|0|świętojańska|śródmieście|gdynia|54.5198415|18.538188
"3 pokoje | Centrum | Bezczynszowe | Parter"|650000.0|63.0|3|0.0|secondary|0|0|1936.0|0.0|Mieszkanie|1.0|10317.46|0|1|0|mikołaja reja|wzgórze św. maksymiliana|gdynia|54.504791|18.541696
Sprzedam Wyjątkowe Mieszkanie|1350000.0|150.9|3|0.0|secondary|1|0|1995.0|0.0|wolnostojący|0.0|8946.32|1|1|1|elbląska|działki leśne|gdynia|54.516943|18.51547
Apartament W Centrum Miasta Gdyni|997000.0|52.44|3|5.0|secondary|0|1|1930.0|0.0|Mieszkanie|1.0|19012.2|0|0|0|władysława iv|śródmieście|gdynia|54.51567|18.538271
Centrum Gdyni! 800m do Dworca!|1053000.0|78.5|3|1.0|secondary|0|0|1938.0|1.0|Mieszkanie|1.0|13414.01|0|0|0|śląska|działki leśne|gdynia|54.51768|18.53892
3 Pokojowe Mieszkanie z Garażem, Gdynia Dąbrowa|570000.0|62.1|3|2.0|secondary|1|0|1998.0|0.0|Mieszkanie|1.0|9178.74|1|0|0|sojowa|dąbrowa|gdynia|54.473863|18.465794
Okna Na Świętojańską! Dwa Mieszkania!|1480000.0|141.39|6|3.0|secondary|0|0|1927.0|0.0|Mieszkanie|1.0|10467.5|1|0|0|świętojańska|śródmieście|gdynia|54.5198415|18.538188
Centrum Gdyni, wszędzie blisko świetna komunikacja|729000.0|66.76|3|3.0|secondary|1|0|1963.0|0.0|Mieszkanie|1.0|10919.71|1|0|0|warszawska|działki leśne|gdynia|54.515929|18.53106
3 kawalerki na wynajem w centrum Gdyni|1149000.0|99.29|3|1.0|secondary|0|0|1960.0|0.0|Mieszkanie|1.0|11572.16|1|0|0|antoniego abrahama|śródmieście|gdynia|54.51678|18.540095
Mieszkanie w pięknym budynku|56000142.0|61.66|3|0.0|primary|1|1||0.0||0.0|908208.6|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Okna Na Świętojańską! Balkon!|1299000.0|108.13|5|3.0|secondary|0|0|1927.0|0.0|Mieszkanie|1.0|12013.32|1|0|0|świętojańska|śródmieście|gdynia|54.5198415|18.538188
Gotowa inwestycja! 2 lokale mieszkalne!|890000.0|48.0|3|0.0|secondary|0|0|1970.0|0.0|Mieszkanie|0.0|18541.67|0|0|0|3 maja|śródmieście|gdynia|54.519963|18.535546
Mieszkanie z widokiem na zieleń! Do wejścia!|669000.0|40.78|2|3.0|secondary|1|1|1970.0|0.0|Mieszkanie|1.0|16405.1|1|0|0|bohaterów starówki warszawskiej|redłowo|gdynia|54.495287|18.547208
Tylko u nas - doinwestowane - stan bardzo dobry.|1070000.0|70.0|3|1.0|secondary|1|1|2008.0|0.0|Mieszkanie|0.0|15285.71|1|0|0|myśliwska|wielki kack|gdynia|54.467664|18.492842
4 pokoje, Fort Forest, taras, parking, komórka.|999000.0|80.4|4|2.0|secondary|1|0|2010.0|1.0|Mieszkanie|0.0|12425.37|0|0|1|władysława kańskiego|chwarzno-wiczlino|gdynia|54.490386|18.423491
Piękny Apartament Z Widokiem Na Zatokę Gdańską !|1590000.0|105.0|3|6.0|secondary|1|1|2012.0|0.0|Mieszkanie|0.0|15142.86|1|0|1|chwarznieńska|witomino|gdynia|54.498498|18.509001
Sprzedam mieszkanie 4-pokojowe|799000.0|71.7|4|1.0|secondary|0|0|1989.0|1.0|Mieszkanie|1.0|11143.65|1|0|0|prof. józefa więckowskiego|chełm|gdansk|54.333487|18.613844
Do 15.05 niższa cena|1290000.0|60.7|3|2.0|secondary|1|0|1908.0|1.0|Mieszkanie|1.0|21252.06|0|1|0|armii krajowej|górny sopot|sopot|54.440065|18.556977
Gdynia Wielki Kack, 2 poziomy, 4 pokoje + strych|909000.0|107.6|4|4.0|secondary|1|0|1994.0|0.0|Mieszkanie|1.0|8447.96|1|0|1|myśliwska|wielki kack|gdynia|54.467664|18.492842
Przestronny Loft Zielona Okolica|879000.0|82.0|3|3.0|secondary|1|1|2020.0|0.0|Mieszkanie|0.0|10719.51|1|0|1||chwarzno-wiczlino|gdynia|54.490386|18.423491
Z ogródkiem, gotowe do zamieszkania|669000.0|63.1|3|0.0|secondary|0|0|1984.0|0.0|Mieszkanie|1.0|10602.22|1|1|0|janiny porazińskiej|karwiny|gdynia|54.472093|18.496298
Piękne mieszkanie w Gdyni|762465.0|65.98|3|4.0|primary|1|0|2024.0|0.0||0.0|11556.0|1|0|0||chylonia|gdynia|54.545488|18.464193
Mieszkanie z antresola, 4 pokoje.|895000.0|78.0|4|2.0|secondary|1|0|2015.0|0.0|Mieszkanie|0.0|11474.36|1|0|0|bażantowa|jasień|gdansk|54.340089|18.560014
4 pokoje samym w centrum Gdańsk Wrzeszcz - zamiana|989000.0|82.5|4|2.0|secondary|1|0|1930.0|0.0|Mieszkanie|1.0|11987.88|0|1|0|tadeusza kościuszki|wrzeszcz dolny|gdansk|54.38788|18.614456
Możliwość zrobienia 5 pokoi, świetne dla rodziny|1099000.0|85.0|4|1.0|secondary|0|1|1981.0|0.0|Mieszkanie|1.0|12929.41|1|0|0|startowa|zaspa|gdansk|54.395716|18.594051
Apartament Gdańsk BRABANK z widokiem na Motławę|3200000.0|88.0|3|6.0|primary|1|1|2021.0|0.0|Mieszkanie|0.0|36363.64|1|0|0|stara stocznia 20|śródmieście|gdansk|54.356541|18.661512
"Zaspa Awiator - Widok na Park | Miejsce w hali"|1175000.0|66.32|3|2.0|secondary|1|1|2013.0|0.0|Mieszkanie|0.0|17717.13|1|0|0|aleja jana pawła ii|zaspa|gdansk|54.398342|18.605919
Piękne mieszkanie w idealnej lokalizacji|650000.0|45.0|2|4.0|secondary|0|0|1970.0|0.0|Mieszkanie|0.0|14444.44|0|0|0|prezydenta lecha kaczyńskiego|przymorze|gdansk|54.410915|18.600982
Wykończony Apartament Z Widokiem Na Zatokę!|2162700.0|72.09|3|6.0|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|30000.0|1|0|1|prezydenta lecha kaczyńskiego|przymorze|gdansk|54.410915|18.600982
Stylowe mieszkanie blisko plaży w Jelitkowie|845000.0|40.88|2|4.0|secondary|1|1|2018.0|0.0|Mieszkanie|0.0|20670.25|1|0|0|obrońców wybrzeża|przymorze|gdansk|54.41007|18.596302
Mieszkanie Po Generalnym Remoncie Z Dwoma Balkonam|1100000.0|62.9|3|8.0|secondary|0|1|1970.0|0.0|Mieszkanie|1.0|17488.08|1|0|0|pomorska|Żabianka-Wejhera-Jelitkowo-Tysiąclecia|gdansk|54.420659|18.571526
2 pokoje po remoncie Przymorze|620000.0|38.0|2|1.0|secondary|0|0|1975.0|0.0|Mieszkanie|1.0|16315.79|0|0|0|jagiellońska|przymorze|gdansk|54.354195|18.650385
Mieszkanie Z Widokiem Na Morze !|1694000.0|77.0|4|7.0|secondary|1|1|2010.0|0.0|Mieszkanie|0.0|22000.0|1|0|0|chłopska|przymorze|gdansk|54.354195|18.650385
ogródek, widok na jezioro, kameralne osiedle Przys|762100.0|55.6|3|0.0|secondary|1|1|2023.0|0.0|Mieszkanie|0.0|13706.83|0|1|1|życzliwa 12|jasień|gdansk|54.34421|18.530231
Mieszkanie 3 pok. w stanie deweloperskim|650000.0|66.14|3|2.0|secondary|1|1|2023.0|0.0|Mieszkanie|0.0|9827.64|1|0|0|wielkopolska|ujeścisko-łostowice|gdansk|54.31911|18.591801
Przestronne 4 pokojowe mieszkanie w Gdańsku!|680000.0|78.43|4|4.0|secondary|0|0|1990.0|1.0|Mieszkanie|1.0|8670.15|1|0|0|krzemowa|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Wygodne 3 pokoje z balkonem|690000.0|66.1|3|3.0|secondary|0|0|2012.0|0.0|Mieszkanie|0.0|10438.73|1|0|0|olimpijska|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Funkcjonalne ładne 3 pokoje, 2 miejsca w hali|810750.0|70.5|3|1.0|secondary|1|1|2016.0|0.0|Mieszkanie|0.0|11500.0|1|0|0|niepołomicka|ujeścisko-łostowice|gdansk|54.31911|18.591801
Świetna inwestycja z pięknym widokiem|775000.0|69.0|3|1.0|secondary|1|0|1997.0|0.0|Mieszkanie|1.0|11231.88|1|0|0|3 brygady szczerbca|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
2 pokoje z balkonem od południa|619000.0|49.75|2|2.0|secondary|0|1|2012.0|0.0|Mieszkanie|0.0|12442.21|1|0|0|aleksandra dulin'a|ujeścisko-łostowice|gdansk|54.31911|18.591801
Tylko u nas - przestronne - słoneczne|890000.0|67.32|3|1.0|secondary|0|0|2006.0|0.0|Mieszkanie|0.0|13220.44|1|0|0|stanisława hebanowskiego|chełm|gdansk|54.332494|18.627851
Sprzedam 3 pokoje Gdańsk Południe!|749000.0|54.43|3|0.0|secondary|0|1|2022.0|0.0|Mieszkanie|0.0|13760.79|0|1|1|niepołomicka|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
dużo zieleni na osiedlu ! duży balkon !|699000.0|42.63|2|1.0|secondary|0|1|2019.0|0.0|Mieszkanie|0.0|16396.9|1|0|0|cedrowa|ujeścisko-łostowice|gdansk|54.31911|18.591801
Dwlupoziomowe dla rodziny|724990.0|62.6|3|3.0|secondary|0|0|2001.0|1.0|Mieszkanie|1.0|11581.31|1|0|0|piotrkowska|ujeścisko-łostowice|gdansk|54.31911|18.591801
Dwupoziomowe mieszkanie bezczynszowe z garażem!|899000.0|97.3|4|1.0|secondary|1|0|2002.0|1.0|wolnostojący|0.0|9239.47|1|1|0|gen. augusta emila fieldorfa|orunia górna - gdańsk południe|gdansk|51.147368|16.908287
3 pok. Gda Hokejowa , Oferta Kredyt 2%|650000.0|64.26|3|3.0|secondary|1|1|2013.0|0.0|Mieszkanie|0.0|10115.16|1|0|0|hokejowa|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Słoneczne mieszkanie z ogródkiem|425000.0|30.58|1|0.0|secondary|1|1|2017.0|0.0|Mieszkanie|0.0|13897.97|0|1|1|kazimierza leskiego|jasień|gdansk|54.340089|18.560014
Słoneczne mieszkanie z ogrodem!|449000.0|31.31|1|0.0|secondary|1|1|2021.0|0.0|Mieszkanie|0.0|14340.47|0|1|1|eugeniusza węgrzyna|jasień|gdansk|54.340089|18.560014
Wyjątkowa Nieruchomość W Wysokim Standardzie|1499000.0|94.07|4|4.0|secondary|1|1|2014.0|0.0|Mieszkanie|0.0|15934.94|1|0|0|czesława miłosza|ujeścisko-łostowice|gdansk|54.294206|18.769964
Stare Miasto, 3 pokoje, gotowe do wejścia|1230000.0|53.4|3|1.0|secondary|1|1|2022.0|0.0|Mieszkanie|0.0|23033.71|1|0|0||śródmieście|gdansk|54.34902|18.6518
"Mieszkanie z ""duszą"" obok Stoczni Gdańskiej!"|999000.0|79.1|2|4.0|secondary|1|0|1902.0|0.0|Mieszkanie|0.0|12629.58|1|0|0|jana z kolna|śródmieście|gdansk|54.361387|18.64645
3 pokoje, 7 minut piechotą do Starego Miasta!|665000.0|53.3|3|0.0|secondary|0|1|1970.0|0.0|Mieszkanie|1.0|12476.55|0|0|0|siennicka|śródmieście|gdansk|54.355926|18.678805
Wyjątkowa Oferta w Centrum Gdańska|1143000.0|55.24|2|0.0|secondary|1|1|2022.0|0.0|Mieszkanie|0.0|20691.53|0|1|1|łąkowa|śródmieście|gdansk|54.342169|18.660846
"3 pokoje | Słoneczne | Oddzielna kuchnia | Balkon"|639000.0|67.0|3|1.0|secondary|1|0|2000.0|1.0|Mieszkanie|1.0|9537.31|1|0|0|gen. leopolda okulickiego|orunia górna - gdańsk południe|gdansk|54.104377|18.770011
Wysoki standard/3 pokoje/Zajezdnia Wrzeszcz|1399000.0|61.21|3|1.0|secondary|1|1|2020.0|0.0|Mieszkanie|0.0|22855.74|1|0|0|grudziądzka|wrzeszcz dolny|gdansk|54.39454|18.619079
Mieszkanie Rozewska|525000.0|53.0|3|4.0|secondary|0|1|1980.0|0.0|Mieszkanie|1.0|9905.66|1|0|0|rozewska|chylonia|gdynia|54.539424|18.465493
Po remoncie, blisko Starego Miasta|645000.0|37.0|2|1.0|secondary|0|0|1960.0|0.0|Mieszkanie|1.0|17432.43|1|0|0|długie ogrody|śródmieście|gdansk|54.347715|18.664475
Mieszkanie na Starym Mieście - ul. Św. Ducha!|990000.0|52.7|2|1.0|secondary|0|0|1957.0|0.0|Mieszkanie|1.0|18785.58|0|0|0|św. ducha|śródmieście|gdansk|54.350113|18.655429
Mieszkanie z ogródkiem blisko centrum.|640000.0|34.83|2|0.0|secondary|1|1|2013.0|0.0|Mieszkanie|0.0|18374.96|0|1|1|jacka malczewskiego|siedlce|gdansk|54.348542|18.624595
"Mieszkanie z pięknym widokiem | Stare Miasto"|1600000.0|96.77|4|5.0|secondary|0|1|2005.0|0.0|Mieszkanie|0.0|16534.05|0|0|0|ogarna|śródmieście|gdansk|54.347865|18.651385
Sprzedam 2 pokojowe mieszkanie w Śródmieściu|620000.0|44.0|2|0.0|secondary|1|0|1940.0|1.0|Mieszkanie|1.0|14090.91|0|0|0|wygon|śródmieście|gdansk|54.349753|18.67151
Gotowiec inwestycyjny - 2-pak (2x 2 pokoje)!|879000.0|60.45|4|0.0|secondary|0|0|1962.0|1.0|Mieszkanie|1.0|14540.94|0|0|0|żabi kruk|śródmieście|gdansk|54.34397|18.64914
Rajska- Centrum Miasta!|629000.0|44.63|2|4.0|secondary|1|0|1960.0|0.0|Mieszkanie|1.0|14093.66|0|0|0|rajska|śródmieście|gdansk|54.35588|18.64708
Przestronny apartament z widokiem na Motławę|1640000.0|92.8|4|2.0|secondary|1|1|2012.0|1.0|Mieszkanie|0.0|17672.41|1|0|0|toruńska|śródmieście|gdansk|54.343247|18.651663
4 pokoje na Starym Mieście z przepięknym widokiem|895000.0|70.77|4|3.0|secondary|1|0|1963.0|1.0|Mieszkanie|1.0|12646.6|1|0|0|podwale staromiejskie|śródmieście|gdansk|54.353372|18.653097
Gotowy apartament w sercu miasta! Inwestycja|645000.0|40.0|2|2.0|secondary|0|0|1897.0|1.0|Mieszkanie|0.0|16125.0|0|0|0|toruńska|śródmieście|gdansk|54.343247|18.651663
Gdańsk ul. Wałowa Top Lokalizacja|1290000.0|91.7|3|0.0|secondary|1|0|1900.0|0.0|Mieszkanie|0.0|14067.61|0|0|0|wałowa|śródmieście|gdansk|54.3463466|18.6662024
Klimatyczne mieszkanie w kamienicy przy Motławie|1400000.0|83.92|3|1.0|secondary|0|0|1930.0|0.0|Mieszkanie|1.0|16682.55|1|0|0|jana dziewanowskiego|śródmieście|gdansk|54.351705|18.663112
3 pokoje blisko Gdańska Głównego|849000.0|67.84|3|2.0|secondary|1|0|1996.0|0.0|Mieszkanie|1.0|12514.74|1|0|0|seweryna goszczyńskiego|siedlce|gdansk|54.351463|18.614973
Gdaśńsk, ul. Mariacka - 2 pokoje z potencjałem|1340000.0|45.01|2|2.0|secondary|1|0|1950.0|0.0|Mieszkanie|1.0|29771.16|0|0|0|mariacka|śródmieście|gdansk|54.349537|18.65614
Studio Na Starówce|799000.0|46.5|1|3.0|secondary|0|0|1960.0|0.0|Mieszkanie|1.0|17182.8|0|0|0|straganiarska|śródmieście|gdansk|54.352456|18.655225
Centrum 2 Pokoje Gotwe Do Zamieszkania|740000.0|50.17|2|1.0|secondary|1|0|1955.0|0.0|Mieszkanie|0.0|14749.85|0|0|0|długie ogrody|śródmieście|gdansk|54.347715|18.664475
Trzy pokojowe mieszkanie blisko lasu|725000.0|69.6|3|0.0|secondary|1|0|1996.0|0.0|Mieszkanie|1.0|10416.67|1|1|0|górnicza|wielki kack|gdynia|54.467664|18.492842
Urokliwe mieszkanie Gdańskiej kamienicy|997000.0|62.5|3|2.0|secondary|0|0|1903.0|1.0|Mieszkanie|1.0|15952.0|0|0|0|zielona|śródmieście|gdansk|54.339966|18.654355
4 Pokoje, Blisko Centrum, Idealna Inwestycja|1250000.0|80.5|4|3.0|secondary|0|0|1903.0|0.0|Mieszkanie|1.0|15527.95|0|0|0|chłodna|śródmieście|gdansk|54.343328|18.664494
Inwestycyjne 2 pokoje Gdańsk Stare miasto|620000.0|40.0|2|2.0|secondary|1|0|1960.0|0.0|Mieszkanie|1.0|15500.0|0|0|0|podzamcze|śródmieście|gdansk|54.354108|18.65527
Bezczynszowe mieszkanie z ogrodem 600 m2|1199000.0|78.8|3|0.0|secondary|1|0|1932.0|0.0|Mieszkanie|1.0|15215.74|0|1|0|leona wyczółkowskiego|śródmieście|gdansk|54.353591|18.626091
Gdańsk Centrum -3 pokoje z tarasem i garażem.|999000.0|66.92|3|1.0|secondary|1|0|2024.0|0.0|Mieszkanie|0.0|14928.27|0|0|1||olszynka|gdansk|54.336058|18.668852
Wyjątkowy apartament przy Marinie 3 pok. Szafarnia|1980000.0|76.5|3|1.0|secondary|1|1|2008.0|0.0|Mieszkanie|0.0|25882.35|1|0|0|szafarnia|śródmieście|gdansk|54.349195|18.660263
Dwustronne 3 pokojowe mieszkanie w Centrum Gdańska|769000.0|54.59|3|3.0|secondary|1|0|1960.0|0.0|Mieszkanie|0.0|14086.83|0|0|0|siennicka|śródmieście|gdansk|54.355926|18.678805
Mieszkanie w Kamienicy z prywatną działką|1495000.0|120.0|4|1.0|secondary|0|0|1905.0|0.0|Mieszkanie|0.0|12458.33|0|0|0|modra|olszynka|gdansk|54.336058|18.668852
Kameralne mieszkanie z ogrodem 5 minut do Centrum!|920000.0|53.28|2|0.0|secondary|1|1|2014.0|1.0|Mieszkanie|0.0|17267.27|0|1|0|jacka malczewskiego|siedlce|gdansk|54.348542|18.624595
Mieszkanie Do Remontu,10 Minut Piechotą Do Centrum|799000.0|101.86|4|2.0|secondary|0|0|1950.0|0.0|Mieszkanie|1.0|7844.1|0|0|0|dolna brama|śródmieście|gdansk|54.340797|18.648208
Gotowiec- Dwa Mieszkania- 350m do Neptuna|859000.0|51.3|2|6.0|secondary|1|1|1962.0|1.0|Mieszkanie|1.0|16744.64|1|0|0|podwale przedmiejskie|śródmieście|gdansk|54.346327|18.652022
Apartament nad Motławą z 50 M tarsem.|1950000.0|85.0|3|4.0|secondary|1|1|2006.0|0.0|Mieszkanie|0.0|22941.18|1|0|1|lastadia|śródmieście|gdansk|54.344895|18.651853
Klimatyczne mieszkanie w samym sercu Gdańska !|923800.0|29.8|2|0.0|secondary|0|0|1954.0|0.0|Mieszkanie|1.0|31000.0|0|0|0|mariacka|śródmieście|gdansk|54.349537|18.65614
Mieszkanie - Gdańsk Letnica|629154.0|61.7|3|4.0|secondary|0|1|2024.0|1.0|Mieszkanie|0.0|10196.99|0|0|1|starowiejska|letnica|gdansk|54.394982|18.646767
Mieszkanie w centrum miasta!|899000.0|68.54|3|1.0|secondary|1|0|1900.0|1.0|Mieszkanie|1.0|13116.43|0|0|0|lawendowa|śródmieście|gdansk|54.352513|18.652706
Mieszkanie - Gdańsk Letnica|608885.0|51.82|2|1.0|secondary|0|1|2024.0|1.0|Mieszkanie|0.0|11750.0|0|0|1|starowiejska|letnica|gdansk|54.394982|18.646767
3 pokoje / balkon / blisko lasu|629000.0|67.5|3|1.0|secondary|0|0|1996.0|0.0|Mieszkanie|1.0|9318.52|1|0|0|lukrecjowa|dąbrowa|gdynia|54.472624|18.466688
Mieszkanie - Gdańsk Letnica|590748.0|51.82|2|0.0|secondary|0|1|2024.0|1.0|Mieszkanie|0.0|11400.0|0|0|1|starowiejska|letnica|gdansk|54.394982|18.646767
3 pokoje z ogrodem w spokojnej okolicy!|675000.0|66.5|3|2.0|secondary|0|0|1925.0|1.0|Mieszkanie|1.0|10150.38|0|1|0|legnicka|siedlce|gdansk|54.353518|18.630386
50 m2, Gdańsk, z umeblowaniem i wyposażeniem|580000.0|49.8|3|2.0|secondary|0|0|2013.0|1.0|Mieszkanie|0.0|11646.59|1|0|0|potęgowska|jasień|gdansk|54.340089|18.560014
4 pokoje + duże poddasze, 2 miejsca parkingowe|750000.0|82.41|4|1.0|primary|1|0|2025.0|0.0||0.0|9100.84|0|0|0|goplańska|kokoszki|gdansk|54.354766|18.491171
Apartament gotowy na wynajem Bastion Wałowa|780000.0|38.41|2|3.0|secondary|0|1|2020.0|1.0|Mieszkanie|0.0|20307.21|1|0|0|wałowa|śródmieście|gdansk|54.3463466|18.6662024
2 pokoje, gotowę do wprowadzenia|715000.0|45.0|2|1.0|secondary|0|0|1920.0|0.0|Mieszkanie|1.0|15888.89|0|0|0|3 maja|śródmieście|gdansk|54.354376|18.640517
Wyjątkowe miejsce 3 pokoje przy Długim Targu!|950000.0|55.8|3|3.0|secondary|1|0|1952.0|1.0|Mieszkanie|1.0|17025.09|0|0|0|długi targ|śródmieście|gdansk|54.348282|18.654452
Piękne, urokliwe 4-pok. z duszą w sercu Wrzeszcza!|1230000.0|97.92|4|2.0|secondary|1|0|1900.0|1.0|Mieszkanie|1.0|12561.27|0|1|0|aldony|wrzeszcz dolny|gdansk|54.383039|18.612753
Całe piętro kamienicy przystosowane dla 3 rodzin!|2312975.0|132.17|7|1.0|secondary|0|0|1900.0|0.0|Mieszkanie|1.0|17500.0|1|0|0|jaśkowa dolina|wrzeszcz górny|gdansk|54.34902|18.6518
Apartament w kamienicy w Oliwie|1485000.0|60.63|3|1.0|secondary|1|1|2023.0|0.0|Mieszkanie|0.0|24492.83|1|0|0|artura grottgera|oliwa|gdansk|54.283323|18.571471
4 Pokoje - Gdańsk Wrzeszcz|1200000.0|88.4|4|2.0|secondary|0|1|2009.0|0.0|Mieszkanie|1.0|13574.66|1|0|0|juliusza słowackiego|wrzeszcz górny|gdansk|54.381217|18.59427
Inwestycyjne 2 pokoje w centrum Wrzeszcza obok Pg|600000.0|56.0|2|0.0|secondary|1|0|1900.0|0.0|Mieszkanie|0.0|10714.29|0|0|0|romualda traugutta|wrzeszcz górny|gdansk|54.37067|18.617662
Kamienica w enklawie rzeki i zieleni|795000.0|54.0|2|0.0|secondary|0|0|1902.0|1.0|Mieszkanie|1.0|14722.22|0|1|0|grażyny|wrzeszcz dolny|gdansk|54.382871|18.609956
Wyjątkowa Nieruchomość W Sercu Starej Oliwy !|777000.0|51.0|2|2.0|secondary|0|0|1920.0|0.0|Mieszkanie|1.0|15235.29|0|1|0|wojciecha drzymały|oliwa|gdansk|54.408789|18.556846
Dwa Niezależne Pokoje W Centrum Wrzeszcza|699000.0|56.13|2|2.0|secondary|0|0|1960.0|1.0|Mieszkanie|0.0|12453.23|1|0|0|aleja grunwaldzka|wrzeszcz górny|gdansk|54.392494|18.583594
Unikatowe mieszkanie w centrum Wrzeszcza!|1700000.0|176.32|6|1.0|secondary|1|0|1907.0|0.0|Mieszkanie|1.0|9641.56|1|0|0|jana matejki|wrzeszcz górny|gdansk|54.37522|18.610009
Apartament 2 pokojowy w centrum Wrzeszcza!|879000.0|52.36|2|5.0|secondary|1|1|2010.0|1.0|Mieszkanie|0.0|16787.62|1|0|0|al. gen. józefa hallera|wrzeszcz dolny|gdansk|54.392372|18.622213
Apartament w kamienicy w Oliwie|1223000.0|47.05|2|0.0|secondary|1|1|2023.0|0.0|Mieszkanie|0.0|25993.62|1|0|0|artura grottgera|oliwa|gdansk|54.283323|18.571471
"BEZPOŚREDNIO | Remont | Dostępne od zaraz"|719000.0|62.09|3|0.0|secondary|1|1|2016.0|0.0|Mieszkanie|1.0|11579.96|1|0|0|przytulna|jasień|gdansk|54.340089|18.560014
Mieszkanie 131 m2 we Wrzeszczu!|799000.0|131.3|4|0.0|secondary|1|0|1965.0|0.0|Mieszkanie|0.0|6085.3|0|0|1|sochaczewska|wrzeszcz dolny|gdansk|54.384462|18.624677
Apartament w stanie deweloperskim w sercu miasta|1217000.0|84.0|4|5.0|secondary|0|1|2022.0|1.0|Mieszkanie|0.0|14488.1|1|0|0|kliniczna|wrzeszcz dolny|gdansk|54.375836|18.626988
Trzy pokoje przy Politechnice|658000.0|52.57|3|6.0|secondary|0|1|1975.0|0.0|Mieszkanie|1.0|12516.64|1|0|0|aleja grunwaldzka|wrzeszcz górny|gdansk|54.392494|18.583594
Piękne mieszkanie w sercu Wrzeszcza|800000.0|56.0|3|3.0|secondary|0|0|1964.0|0.0|Mieszkanie|0.0|14285.71|1|0|0|aleja grunwaldzka|wrzeszcz górny|gdansk|54.392494|18.583594
3 pokoje w centrum Gdańska blisko Gumed|670000.0|52.97|3|2.0|secondary|0|0|1977.0|0.0|Mieszkanie|1.0|12648.67|1|0|0|powstańców warszawskich|suchanino|gdansk|54.355805|18.607162
Trzy pokoje na Suchaninie|650000.0|56.0|3|1.0|secondary|0|1|1976.0|0.0|Mieszkanie|1.0|11607.14|1|0|0|ignacego paderewskiego|suchanino|gdansk|54.352992|18.607056
Czteropokojowe mieszkanie na Gdańskim Browarze|1495000.0|75.59|4|1.0|secondary|1|1|2016.0|1.0|Mieszkanie|0.0|19777.75|1|0|0|jana kilińskiego|wrzeszcz dolny|gdansk|54.384856|18.605943
Widok Na Las Lub Morze Ze Wszystkic Okien!|849000.0|60.7|4|8.0|secondary|0|1|1980.0|0.0|Mieszkanie|1.0|13986.82|1|0|0|karpacka|oliwa|gdansk|54.408789|18.556846
3 niezależne pokoje w samym sercu Wrzeszcza !!!|870000.0|74.0|3|3.0|secondary|0|0|1980.0|0.0|Mieszkanie|1.0|11756.76|0|0|0|aldony|wrzeszcz dolny|gdansk|54.383039|18.612753
