|title|district|latitude|longitude|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market
29|10 minut spacerem do plaży  2 pok w TOP lokalizacj|Gdańsk Przymorze, Piastowska|54.4158038|18.5869742|46|2|1966|14543|Mieszkanie|0|1|1|0|1|7|0|1|0|secondary
30|Tylko u nas- Mieszkanie 2 pokoje, Wrzeszcz !|Gdańsk Wrzeszcz, Reymonta|52.220502|19.343546|4|2|1980|1545|Mieszkanie|0|1|1|0|0|4|0|1|0|secondary
31|Jasne 4 pokoje dla rodziny kochającej naturę|Gdańsk Zakoniczyn, Konstantego Bergiela|54.318170300000006|18.58228688217523|71.89|4|2006|10711|Mieszkanie|1|1|0|1|0|Parter|0|0|0|secondary
32|Okazja   Słoneczne z widokiem   Możliwy kredyt|Gdańsk Zakoniczyn, Konstantego Bergiela|54.318170300000006|18.58228688217523|59.53|2|2006|9995|Mieszkanie|0|1|0|0|0|2|0|1|0|secondary
33|Słoneczne ️ 3 pokoje Osobna Kuchnia z AGD|Gdynia Witomino, PCK 7|51.65056|19.34435|46.9|3|1976|11706|Mieszkanie|0|1|0|0|1|7|0|1|0|secondary
34|Dom w Oliwie - Ostatnia Willa w sprzedaży|Gdańsk Oliwa, Morawska|52.191456|21.13736|177|5|2024|17458|Dom bliźniak|0|0|0|0|0|nan|0|0|0|secondary
35|4 pok + poddasze Super Lokalizacja|Gdańsk Ujeścisko, Kaliska|54.3249884|18.5952335|72.98|5|1992|10948|Mieszkanie|0|1|1|1|0|2|0|1|0|secondary
36|Wykończony dom wolnostojący, blisko Centrum|Gdańsk Jasień, Czereśniowa|51.875419|19.387311|118|4|2008|12711|Dom wolnostojący|0|0|0|0|0|nan|0|0|0|secondary
37|Komfortowe słoneczne 2-pokojowe mieszkanie z garderobą w Sopocie|Sopot Sopot Górny , 23 Marca|54.4457651|18.5575556|38|2|1976|17237|Mieszkanie|0|1|1|0|1|4|0|0|0|secondary
38|Mieszkanie 4 pokoje Gdańsk Lawendowe Wzgórza|Gdańsk Jasień , Lawendowe Wzgórze|52.201692|18.259949|67|4|2015|14910|Mieszkanie|1|0|1|1|1|5|1|1|0|secondary
39|Słoneczne 2 pokojowe mieszkanie Gdynia Karwiny|Gdynia Karwiny, Buraczana 45|54.4722354|18.5070441|36|2|1980|11528|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary
40|Mieszkanie Wladyslawa IV. Po Remoncie|Gdynia Śródmieście, Wladyslawa IV|52.215343|21.15568|43.8|2|1931|1550|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
41|Sprzedam mieszkanie w Gdańsku, dzielnica Przymorze|Gdańsk Przymorze, Olsztyńska|54.4032338|18.6048565|38|2|1982|16579|Mieszkanie|0|1|1|0|0|2|0|1|0|secondary
42|Idealny dom, w centrum miasta !!!!|Gdynia Mały Kack, Św. Kazimierza Królewicza|52.170997|21.077484|176|7|2000|9034|Dom szeregowy|0|0|0|0|0|nan|0|0|0|secondary
43|Sprzedam mieszkanie w Gdyni|Gdynia Chylonia, Zamenhofa 11|52.231674|19.358403|27|2|1980|11074|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary
44|2 pok. mieszkanie. Blisko SKM. Po remoncie. Bezpośrednio|Gdynia Chylonia, Gniewska 21|54.5422938|18.4620586|45|2|1985|11089|Mieszkanie|0|0|1|0|1|3|0|0|0|secondary
45|4 pok + poddasze Super Lokalizacja|Gdańsk Ujeścisko, Kaliska|54.3249884|18.5952335|72.98|5|1992|10948|Mieszkanie|0|1|1|1|0|2|0|1|0|secondary
46|Przymorze. Idealna lokalizacja. Blisko plaży.|Gdańsk Przymorze, Chłopska|54.4070557|18.59242040007326|45|2|1971|13889|Mieszkanie|0|0|1|1|0|4|0|1|0|secondary
47|Przy plaży, z ogródkiem i miejscami parkingowymi|Sopot Dolny Sopot, Grunwaldzka|54.4439776|18.5698066|49.33|2|1901|32414|Mieszkanie|0|0|0|1|0|Parter|0|1|1|secondary
48|Pięknie położone mieszkanie na sprzedaż|Gdynia Śródmieście, Krasickiego|51.407939|19.709001|38|2|1970|13158|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary
49|Dwustronne   przestronne   dobrze skomunikowane|Gdańsk Przeróbka, Teofila Lenartowicza|54.35735335|18.6871497|43.5|2|1976|10690|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary
50|Pięknie zaprojektowane 2-pokoje na Pogodnej|Gdynia Witomino, Pogodna 2|51.937566|19.354944|42.54|2|1970|13376|Mieszkanie|0|0|0|0|0|3|0|1|0|secondary
51|Art Deco - Taraz na dachu / Jacuzzi|Gdynia Kamienna Góra, Żołnierzy I Armii Wojska Polskiego|54.5111652|18.5409205|98|3|2015|25510|Mieszkanie|1|0|0|0|1|5|0|0|0|secondary
52|Sprzedam bezpośrednio. 3 pok. Generalny remont.|Gdynia Obłuże, Podgórska|54.554114150000004|18.50682402428704|47|3|1980|11681|Mieszkanie|0|0|1|0|0|Parter|0|1|0|secondary
53|Sprzedam bezpośrednio. 3 pok. Generalny remont. Piękny widok. Las.|Gdynia Obłuże, Podgórska 7|54.5540572|18.5035998|47|3|1975|11681|Mieszkanie|0|1|1|0|1|10|0|1|0|secondary
54|Sprzedam bezpośrednio. 3 pok. Generalny remont. Piękny widok na port.|Gdynia Obłuże, Benisławskiego 24|54.55058|18.5233576|60|3|1980|10817|Mieszkanie|0|1|1|0|1|10|0|1|0|secondary
