|title|district|latitude|longitude|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market
427|Trzy pokoje przy Politechnice|Gdańsk Wrzeszcz, Aleja Grunwaldzka|54.37480295|18.618860278592766|52.57|3|1975|12174|Mieszkanie|0|1|0|0|1|6|0|1|0|secondary
428|Garnizon - Gdańsk Wrzeszcz - Apartament z widokiem|Gdańsk Wrzeszcz, Antoniego Słonimskiego|54.383946699999996|18.590492675271204|138.9|5|2011|16199|Mieszkanie|0|1|1|1|1|5|0|0|0|secondary
429|Klimatyczne mieszkanie z duszą w centrum miasta!|Gdańsk Wrzeszcz, Aleksandra Puszkina|50.650674|17.951508|260|7|1920|11077|Mieszkanie|0|0|1|1|0|Parter|0|1|1|secondary
430|3 gotowe pokoje tuż przy Parku Oliwskim!|Gdańsk Oliwa, Jana I Macieja Kilarskich|54.4156723|18.5626721|48.4|3|2021|2189|Mieszkanie|0|1|1|1|1|4|0|0|0|secondary
431|4 pokoje samym w centrum Gdańsk Wrzeszcz - zamiana|Gdańsk Wrzeszcz, Tadeusza Kościuszki|54.38609535|18.604649962371575|82.5|4|1930|11988|Mieszkanie|0|0|0|1|0|2|0|1|1|secondary
432|3 pokoje po remoncie. Wspaniała panorama!|Gdańsk Wrzeszcz, Aleja Grunwaldzka|54.37480295|18.618860278592766|53|3|1969|15660|Mieszkanie|0|1|0|0|1|8|0|1|0|secondary
433|Wrzeszcz mieszkanie 82 m2 + 50 m2 w piwnicy|Gdańsk Wrzeszcz, Sochaczewska|54.3849492|18.62475592697509|8|4|1965|9744|Mieszkanie|0|0|0|1|0|Parter|0|0|0|secondary
434|Apartament - zajezdnia wrzeszcz - blisko morza|Gdańsk Wrzeszcz, Aleja Gen. Józefa Hallera|54.3764403|18.6228108|50|2|2019|19400|Mieszkanie|0|1|1|1|1|6|0|0|0|secondary
435|Świeżo wykończone, dla siebie lub pod inwestycję|Gdańsk Oliwa, Aleja Grunwaldzka|54.3936461|18.581903|70.25|3|1930|15160|Mieszkanie|0|0|0|0|0|2|0|1|0|secondary
436|Parking! Idealne na Biuro w Sercu Wrzeszcza!|Gdańsk Wrzeszcz, Brzozowa|51.955508|19.314324|3|2|1910|23906|Mieszkanie|0|0|1|1|0|Parter|0|1|1|secondary
437|78 Metrów w Pięknej Kamienicy , Centrum Wrzeszcza|Gdańsk Wrzeszcz, Do Studzienki|54.37403615|18.612639638029194|78.|3|1900|10740|Mieszkanie|0|0|1|0|0|3|0|1|0|secondary
438|Elegancki i luksusowy 3 pokojowy apartament|Gdańsk Wrzeszcz, Grudziądzka|54.3941865|18.619758553616993|73.49|3|2018|20411|Mieszkanie|0|1|1|1|1|5|0|1|0|secondary
439|Mieszkanie gdańsk do studzienki|Gdańsk Wrzeszcz, Do Studzienki|54.37403615|18.612639638029194|80|3|1932|13875|Mieszkanie|0|1|0|1|0|1|0|1|1|secondary
440|Sprzedam 3 pokoje - Gdańsk Wrzeszcz!|Gdańsk Wrzeszcz, Tadeusza Kościuszki|54.38609535|18.604649962371575|49.7|3|1955|13984|Mieszkanie|0|0|0|1|0|1|0|1|0|secondary
441|5 pokoi w klimatycznej kamienicy centrum Wrzeszcza|Gdańsk Wrzeszcz, Szczepana Pileckiego|54.3740275|18.6114036|110|5|1906|17818|Mieszkanie|0|1|0|0|0|Parter|0|1|1|secondary
442|5 min pieszo do SKM! Kamienica po remoncie!|Gdańsk Wrzeszcz, Grażyny|54.3819734|18.6100285|78.07|3|1930|11656|Mieszkanie|0|0|0|1|0|2|0|1|0|secondary
443|Idealna inwestycja- 4 pokoje z oddzielną kuchnią|Gdańsk Młyniska, Marynarki Polskiej|54.399046|18.667671|60.7|4|1980|12026|Mieszkanie|0|1|0|1|1|5|0|1|0|secondary
444|Wyjątkowa nieruchomość w sercu  starej oliwy !|Gdańsk Oliwa, Wojciecha Drzymały|54.406894300000005|18.56620113445521|51|2|1920|15235|Mieszkanie|0|0|0|0|0|2|0|1|1|secondary
445|Wysokie mieszkanie w kamienicy + 2 ogródki|Gdańsk Oliwa, Wita Stwosza|54.406283900000005|18.56308425276502|69.7|3|1930|15065|Mieszkanie|0|0|1|1|0|Parter|0|1|1|secondary
446|Możliwość zrobienia 3 POKOI   dwustronne   GARAŻ|Gdańsk Wrzeszcz, Ludwika Waryńskiego|54.3798153|18.6130013|50.3|2|1955|12903|Mieszkanie|1|1|0|1|0|1|0|1|0|secondary
447|450 m do SKM! Wysoki standard! Słoneczne!|Gdańsk Wrzeszcz, Jana Kochanowskiego|54.3780268|18.62570677403609|45|2|2019|19978|Mieszkanie|0|1|1|1|1|1|0|1|0|secondary
448|Piękne 4 pokoje i 2 łazienki po remoncie!|Gdańsk Wrzeszcz, Jana Kochanowskiego|54.3780268|18.62570677403609|75.16|4|1920|1450|Mieszkanie|0|0|1|0|0|Parter|0|1|0|secondary
449|Mieszkanie we Wrzeszczu obok PG i UM|Gdańsk Wrzeszcz, Politechniczna|54.37471605|18.613915809804602|109.13|3|1932|14661|Mieszkanie|0|0|0|0|0|1|0|1|0|secondary
450|Nowe budownictwo   Hala garażowa   Top lokalizacja|Gdańsk Wrzeszcz, Bolesława Chrobrego|54.384650199999996|18.615576018488127|58.9|3|2012|1611|Mieszkanie|0|1|1|1|1|2|0|0|0|secondary
451|Piękne apartament 5 minut od centrum Gdańska|Gdańsk Suchanino, Taborowa|54.35625235|18.62110451767353|80|4|1960|13500|Mieszkanie|0|0|0|1|0|1|0|1|0|secondary
452|Wrzeszcz - apartament z widokiem!|Gdańsk Wrzeszcz, Gen. Józefa Hallera|51.745911|19.810155|52.36|2|2010|16788|Mieszkanie|0|1|1|1|1|5|0|0|0|secondary
453|Mieszkanie w centrum Wrzeszcz|Gdańsk Wrzeszcz, Partyzantów|54.37668175|18.604603831440997|64.74|3|1962|11569|Mieszkanie|0|1|0|0|0|3|0|0|0|secondary
454|3 pokoje w centrum Gdańska blisko GUMed|Gdańsk Suchanino, Powstańców Warszawskich|50.702898|17.907467|52.97|3|1977|12554|Mieszkanie|0|1|0|0|0|2|0|1|0|secondary
455|Prowizja 0%, Gotowiec, Najtańsze 3 pokoje!|Gdańsk Wrzeszcz, Bolesława Chrobrego|54.384650199999996|18.615576018488127|48.3|3|1958|12607|Mieszkanie|0|0|1|0|0|3|0|1|0|secondary
456|500m do politechnki   GARAŻ   42,5M   12m2 piwnicy|Gdańsk Wrzeszcz, Do Studzienki|54.37403615|18.612639638029194|42.5|2|1955|13176|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
457|Apartament z widokiem na panoramę Gdańska!|Gdańsk Wrzeszcz, Partyzantów|54.37668175|18.604603831440997|133.18|3|2015|16136|Mieszkanie|0|1|0|1|1|12|0|0|0|secondary
458|Mieszkanie z ogrodem i garażem!|Gdańsk Siedlce, Leona Wyczółkowskiego|52.074752|20.560629|78.8|3|1932|13947|Mieszkanie|1|0|0|1|0|Parter|0|1|1|secondary
459|Spacerem na plażę i kawę na Monte Cassino|Sopot Górny Sopot, Armii Krajowej|54.431978900000004|18.560159189409987|63|2|2000|20619|Mieszkanie|0|1|0|1|0|2|0|1|0|secondary
460|Doskonała lokalizacja, 10 min spacerem od plaży|Gdynia Kamienna Góra, Juliusza Słowackiego|51.970091|19.293427|37|2|1930|16189|Mieszkanie|0|0|0|0|0|nan|0|1|1|secondary
461|Mieszkaj i zarabiaj! Mieszkanie + suterena + ogród|Gdynia Działki Leśne, Wolności|54.51971275|18.52703180774291|7|3|1930|1597|Mieszkanie|0|0|0|1|0|1|0|1|1|secondary
462|10 piętro z widokiem na morze w pasie nadmorskim!|Gdańsk Przymorze, Piastowska|54.4158038|18.5869742|38|2|1970|15763|Mieszkanie|0|1|0|0|1|10|0|1|0|secondary
463|Mieszkaj i zarabiaj! Mieszkanie+przyziemie+ogród|Gdynia Działki Leśne, Wolności|54.51971275|18.52703180774291|120|5|1930|9583|Mieszkanie|0|0|0|1|0|1|0|1|1|secondary
464|Centrum Gdańska, spacerem do pomnika Neptuna|Gdańsk Stare Przedmieście, Dolna Brama|54.3406817|18.6480846|101.86|4|1900|9808|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
465|Po generalnym remoncie, spacerem na plażę!|Gdańsk Przymorze, Piastowska|54.4158038|18.5869742|46|2|1970|14109|Mieszkanie|0|1|0|0|1|1|0|1|0|secondary
466|3 pokoje, blisko centrum - w otoczeniu zieleni|Gdynia Pustki Cisowskie, Jastrzębia|51.875944|19.226199|60.01|3|1980|998|Mieszkanie|0|1|1|1|0|3|0|1|0|secondary
467|Wysoki standard, 3 pokoje, gotowe do zamieszkania!|Gdańsk Letnica, Letnicka|54.40256465|18.649093874570266|54.59|3|2022|1958|Mieszkanie|0|1|0|1|1|4|0|0|0|secondary
468|Super skomunikowane 2 pokoje, pas nadmorski!|Gdańsk Żabianka, Pomorska|54.4161057|18.5711819|47.3|3|1970|1374|Mieszkanie|0|1|0|0|1|2|0|1|0|secondary
469|Tuż przy Jelitkowskiej Plaży! 2 pokoje po remocie|Gdańsk Żabianka, Tysiąclecia|54.41739645|18.588099131792454|42.5|2|1964|15271|Mieszkanie|0|0|1|0|0|2|0|1|0|secondary
470|Zaskakująca funkcjonalność na 27 m 2|Gdynia Leszczynki, Opata Hackiego|54.5351676|18.4919751|27|2|1970|12407|Mieszkanie|0|0|0|0|0|1|0|1|0|secondary
471|2 pokoje, idealne na start!|Gdańsk Zakoniczyn, Konstantego Bergiela|54.318170300000006|18.58228688217523|42.07|2|2005|12123|Mieszkanie|0|1|0|0|0|3|0|0|0|secondary
472|SWPDL, 3 pokoje, zielona okolica!|Gdynia Leszczynki, Augustyna Kordeckiego|54.53009165|18.486745602035565|49.3|3|1974|101|Mieszkanie|0|1|0|0|0|4|0|1|0|secondary
473|Duża przestrzeń w ścisłym centrum Gdyni!|Gdynia Śródmieście, Świętojańska|54.5205845|18.5428249|127.5|3|1933|13000|Mieszkanie|0|1|0|0|1|4|0|1|0|secondary
474|3 pokoje i piękny widok na miasto i Gdyńskie lasy.|Gdynia Cisowa, Owsiana|54.5475577|18.4419374|56.21|3|1980|85|Mieszkanie|0|1|1|1|1|10|0|1|0|secondary
475|Blisko tramwaju, inwestycyjne  Dolny Wrzeszcz|Gdańsk Wrzeszcz, Legionów|51.954582|19.356372|45.65|2|1950|13669|Mieszkanie|0|0|1|0|0|3|0|1|1|secondary
476|Mieszkanie na osiedlu Fort Forest z halą i komórką|Gdynia Chwarzno, Czesława Niemena|54.5019686|18.4374922|49|2|2021|15000|Mieszkanie|0|0|0|1|0|2|0|0|0|secondary
477|Strzeżone rodzinne osiedle - wykończone mieszkanie|Gdynia Chwarzno, Władysława Kańskiego|54.5009485|18.4386309|71|3|2012|1266|Mieszkanie|0|1|0|1|0|2|0|0|0|secondary
478|Komfortowe mieszkanie blisko SKM Cisowa|Gdynia Cisowa, Chylońska|54.5489989|18.4453877|53|3|1980|10925|Mieszkanie|0|1|0|1|0|2|0|1|0|secondary
479|Ciche słoneczne  na kameralnym osiedlu|Gdynia Mały Kack, Miła|54.4731174|18.5173815|8|3|2008|11219|Mieszkanie|0|1|0|1|0|2|0|0|0|secondary
480|Idealne mieszkanie na start, zielone osiedle!|Gdańsk Łostowice, Niepołomicka|54.31742615|18.593106398457195|42.05|2|2021|1284|Mieszkanie|0|1|0|1|1|1|0|0|0|secondary
481|Central Park Morena 2 pok. widok na morze, okazja|Gdańsk Morena, Piecewska|54.357597850000005|18.591512458150067|39.85|2|2019|16738|Mieszkanie|0|1|1|0|1|5|0|0|0|secondary
482|Dom z ogrodem/taras/garaż/Gdynia Chylonia|Gdynia Cisowa|51.817126|19.29109|178.14|5|1960|729|Mieszkanie|1|0|1|1|0|Parter|0|1|1|secondary
483|Gdańsk ul. Wałowa TOP Lokalizacja|Gdańsk Śródmieście, Wałowa|54.3584458|18.6514304|91.7|3|1900|14449|Mieszkanie|0|0|0|1|0|Parter|0|0|0|secondary
484|3 pok po remoncie   Nad Motławą   Widok na zieleń|Gdańsk Długie Ogrody, Szopy|54.3564345|18.6441946|53.1|3|1970|1600|Mieszkanie|0|1|1|0|1|6|0|1|0|secondary
485|3 pokoje z balkonem w centrum gdyni!|Gdynia Śródmieście, Wójta Radtkego|54.5220319|18.5322481|52.4|3|1956|15057|Mieszkanie|0|1|0|0|0|3|0|1|0|secondary
486|Słoneczne mieszkanie z widokiem na Żuławy|Gdańsk Chełm, Hebanowskiego|54.3331645|18.6269412|76.29|4|2004|12439|Mieszkanie|0|1|0|0|0|2|0|1|0|secondary
487|Dwustronne w centrum z możliwością podziału|Gdynia Śródmieście, Władysława Iv|52.215343|21.15568|75.28|4|1956|11823|Mieszkanie|0|0|1|0|0|4|0|1|0|secondary
488|Mieszkanie nad Morzem blisko plaży i Parku Regana|Gdańsk Zaspa, Aleja Jana Pawła Ii|54.3942518|18.6017644|73.9|4|1993|18390|Mieszkanie|0|1|0|0|1|2|0|1|0|secondary
489|Ostanie piętro, 35 m2, do remontu! Spół.-włas.|Gdynia Grabówek|53.199985|19.640637|35|1|1960|8571|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary
490|Gdańsk, na sprzedaż 2-pok. z ogródkiem *Osiedle Vivaldiego*|Gdańsk Łostowice, Niepołomicka|54.31742615|18.593106398457195|39.97|2|2017|13010|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
491|Mieszkanie - Gdańsk Orunia|Gdańsk Orunia, Podmiejska|54.3302728|18.6319015|51|3|1920|9098|Mieszkanie|0|0|0|0|0|1|0|1|0|secondary
492|Niepowtarzalne mieszkanie w centrum Gdyni!|Gdynia Śródmieście, Obrońców Wybrzeża|54.5165249|18.5369651|50.21|2|1956|139|Mieszkanie|0|1|0|0|0|3|0|1|0|secondary
493|Atrakcyjny dom na działce Rod na Jasieniu!|Gdańsk Jasień, Kartuska|54.3491931|18.5269229|120|3|1990|3750|Dom wolnostojący|0|0|0|1|0|nan|0|0|0|secondary
494|2 pokoje, Gdynia Dąbrowa, Osiedle Leśny Zakątek|Gdynia Dąbrowa, Rdestowa 142|54.4645213|18.4562421|52.7|2|2003|11366|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
495|Gdańsk przymorze, czwarty żagiel! Wysoki standard!|Gdańsk Przymorze, Olsztyńska|54.4032338|18.6048565|71.4|3|2014|19594|Mieszkanie|1|1|0|1|1|5|0|0|0|secondary
496|Mieszkanie - Gdynia Wielki Kack|Gdynia Wielki Kack, Maszopów|54.4630997|18.4948536|30.06|1|2000|13273|Mieszkanie|0|0|0|0|0|1|0|0|1|secondary
497|2-pokojowe mieszkanie z całym wyposażeniem w cenie|Gdańsk  Wielkopolska 48|54.3152398|18.5911515|43|2|2022|12651|Mieszkanie|0|1|1|1|1|5|0|0|0|secondary
498|3 Niezależne Pokoje w Centrum Sopotu|Sopot Górny Sopot, Niepodległości|54.4534263|18.555444|45.4|3|1975|16520|Mieszkanie|0|1|0|0|1|1|0|1|0|secondary
499|Tego nie mają nowe osiedla|Gdynia Obłuże, Dąbka 257|52.239994|21.297421|50.8|2|1978|9154|Mieszkanie|0|1|0|0|0|1|0|1|0|secondary
500|Dwa pokoje, 49,1m2 Chałubińskiego Chełm|Gdańsk Chałubińskiego , 19|54.378291|18.487005|49.1|2|1983|10487|Mieszkanie|0|1|0|0|1|5|0|1|0|secondary
501|Gdańsk 3 pokoje ogórdek nowe budownictwo inwestyc.|Gdańsk Morena, Czesława Miłosza|54.3483126|18.589546722424245|54|3|2011|13685|Mieszkanie|0|0|1|1|1|Parter|0|0|1|secondary
502|Mieszkanie 2 pokoje Nowy Port|Gdańsk Nowy Port|54.401528|18.6632801|49.8|2|1978|1054|Mieszkanie|0|1|0|0|1|4|0|1|0|secondary
503|2 pokoje w cichej okolicy! Oddzielna kuchnia!|Gdańsk Chełm, Witolda Grabowskiego|54.3388283|18.6255804|49.1|2|1980|12811|Mieszkanie|0|0|0|0|0|1|0|1|0|secondary
504|Dwupoziomowe mieszkanie bezczynszowe Kokoszki|Gdańsk Kokoszki, Kalinowa 75|54.3505777|18.513608|84.5|4|2016|9456|Mieszkanie|0|1|1|1|0|1|0|0|0|secondary
505|2 poziomy! 2 łazienki!  Blisko tramwaj!|Gdańsk Ujeścisko, Przemyska|54.3276513|18.592787258404858|86.5|3|1997|7688|Mieszkanie|0|1|0|1|0|3|0|1|0|secondary
506|Super lokalizacja, Partyzantów,Central Park, winda|Gdynia Wzgórze św. Maksymiliana, Partyzantów|51.958622|19.307605|59.5|2|1938|12756|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
507|Sprzedam 2 pokojowe mieszkanie w przy osiedlu Garnizon|Gdańsk Wrzeszcz, Grunwaldzka 176|54.3828059|18.5981495|49|2|1970|12857|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
508|Mieszkanie 50m2, 4 pokoje Siedlce.|Gdańsk Siedlce, Jacka Malczewskiego|52.224469|20.805192|50|4|1956|13980|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
509|Dom w cichej uliczce w środku miasta.|Gdynia Wielki Kack, Kaczeńcowa|54.46405335|18.495298125201945|155.7|4|1995|9313|Dom szeregowy|1|0|0|1|0|nan|0|0|1|secondary
510|Mieszkanie Gdynia Leszczynki|Gdynia Leszczynki, Leszczynki|54.5274476|18.48460807256368|45.44|2|1958|9661|Mieszkanie|0|0|1|1|0|Parter|0|1|0|secondary
511|Mieszkanie w zielonej okolicy!|Gdańsk Łostowice, Olimpijska|51.746622|19.413194|47.75|2|2013|11916|Mieszkanie|0|1|0|0|0|2|0|1|0|secondary
512|Mieszkanie 80 m2 w kameralnym budynku na Wzgórzu!|Gdynia Wzgórze św. Maksymiliana, Żołnierzy Dywizji Kościuszkowskiej|54.49873805|18.542553858401423|79.34|3|2004|10839|Mieszkanie|0|0|0|1|0|2|0|0|0|secondary
513|Ogród   2 pokoje   Shiraz Park|Gdynia Oksywie, Stefana Czarnieckiego|54.5527074|18.541795|44.51|2|2015|12334|Mieszkanie|0|0|1|1|1|Parter|0|0|1|secondary
514|4-pokojowe mieszkanie z dwiema łazienkami - Gdańsk|Gdańsk Jasień, Potęgowska|54.3314076|18.550409385581524|77.9|4|2016|9615|Mieszkanie|1|1|0|0|1|4|0|0|0|secondary
515|Nowy Apartament! Centrum miasta!|Gdańsk Siedlce, Powstańców Warszawskich|50.702898|17.907467|42.3|2|2023|19778|Mieszkanie|0|1|1|1|1|7|0|1|0|secondary
516|4-pokojowe mieszkanie położone przy jeziorze|Gdańsk Osowa, Kaszubska Droga|54.427794|18.45839|94.56|4|2011|9994|Mieszkanie|0|1|0|1|0|1|0|0|0|secondary
517|Gdańsk Wrzeszcz 3 pokoje  kamienica ulMatki Polki|Gdańsk Wrzeszcz, Matki Polki|54.3764898|18.603429234419124|60.44|3|1930|12905|Mieszkanie|0|0|1|0|0|2|0|1|0|secondary
518|Mieszkanie - Gdańsk Wrzeszcz|Gdańsk Wrzeszcz, Wajdeloty|54.3817664|18.6103743|81|3|1920|18506|Mieszkanie|0|0|0|1|0|1|0|1|1|secondary
519|Mieszkanie 2 pok. w świetnej lokalizacji!|Gdynia Chylonia, Kartuska|54.543789950000004|18.4616818669181|43.5|2|1970|1078|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
520|3 Pokoje W Spokojnej i Dogodnej Lokalizacji|Gdańsk Ujeścisko, Rogalińska|54.378291|18.487005|65.5|3|2004|11908|Mieszkanie|0|1|0|0|0|2|0|0|0|secondary
521|Kawalerka inwestycyjna Gdańsk Śródmieście|Gdańsk Śródmieście, Ogarna|54.3483642|18.6491967|24.5|1|1960|22449|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
522|Wyjątkowy, wygodny apartament z widokiem na morze|Gdynia Wzgórze św. Maksymiliana|54.498922050000004|18.531364235031788|104.4|4|1960|15230|Mieszkanie|0|1|1|1|0|1|0|0|1|secondary
523|Dwustronne mieszkanie z dwoma balkonami|Gdańsk Ujeścisko, Królowej Jadwigi|54.3274728|18.6072553|70.07|3|2008|11403|Mieszkanie|0|1|1|1|0|1|0|0|0|secondary
524|Garnizon-mieszkanie inwestycyjne z ogródkiem|Gdańsk Wrzeszcz, Edwarda Stachury|54.3820338|18.5868309|27.07|1|2017|21795|Mieszkanie|0|0|1|0|1|Parter|0|0|1|secondary
525|Apartament w centrum miasta Plac Unii|Gdynia Śródmieście, Obrońców Wybrzeża|54.5165249|18.5369651|47.44|2|2022|26117|Mieszkanie|0|1|0|1|1|5|0|0|0|secondary
526|Wysoki standard z dużym ogródkiem|Gdańsk, Niepołomicka|54.31742615|18.593106398457195|51.4|2|2023|14494|Mieszkanie|0|0|0|1|0|Parter|0|0|1|secondary
527|Apartament Sea Salt 38,2 m2 Zaspa|Gdańsk Zaspa, Jana Pawła II|54.4024472|18.6112076|38.|1|2024|18325|Mieszkanie|0|1|0|1|1|3|0|0|0|secondary
528|Mieszkanie 3 pokojowe Niepołomicka 44.46 m2|Gdańsk Niepołomicka|54.31742615|18.593106398457195|44.46|3|2019|13495|Mieszkanie|0|0|0|0|1|3|0|0|0|secondary
529|Apartament - Porto - Plaża 1000m, Parking x2|Gdańsk Letnica, Letnicka|54.40256465|18.649093874570266|9|3|2022|14076|Mieszkanie|1|1|1|1|1|1|0|0|0|secondary
530|Wyjątkowy apartament - DOKI -|Gdańsk Młode Miasto, Ks. Jerzego Popiełuszki|54.3605821|18.652621|79|3|2023|2753|Mieszkanie|0|1|0|1|1|1|0|0|1|secondary
531|Gotowe do wprowadzenia - Morena - Hala/komórka|Gdańsk Morena, Myśliwskie Wzgórze|54.348280700000004|18.562206536372713|42.1|2|2015|14228|Mieszkanie|0|1|1|1|1|4|0|1|0|secondary
532|Mieszkanie 3 pokoje - Wrzeszcz - Kameralnie|Gdańsk Wrzeszcz, Do Studzienki|54.37403615|18.612639638029194|67.|3|2012|17098|Mieszkanie|0|1|0|1|1|1|0|0|0|secondary
533|3 pokojowe mieszkanie w Gdyni Witomino|Gdynia Witomino|53.199985|19.640637|65|3|2007|13538|Mieszkanie|0|1|0|1|0|2|0|0|0|secondary
534|Mieszkanie na sprzedaż, 54m. świetna lokalizacja|Gdańsk Wrzeszcz, Pestalozziego 17|54.384912|18.608892|54|3|1928|147|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
535|Mieszkanie 2-pokoje na Przymorzu nie falowiec|Gdańsk Przymorze, Chlopska 10|54.4085855|18.5886131|38|2|1980|16553|Mieszkanie|0|1|0|0|0|1|0|1|0|secondary
536|Mieszkanie - Gdynia Wielki Kack|Gdynia Wielki Kack, Maszopów|54.4630997|18.4948536|30.06|2|2000|13273|Mieszkanie|0|0|0|0|0|1|0|0|1|secondary
537|3 pokojowe ustawne mieszkanie z balkonem|Gdańsk Wrzeszcz, Adama Mickiewicza|54.3833769|18.61728451894811|61|3|1994|11951|Mieszkanie|0|1|0|0|0|3|0|1|0|secondary
538|Mieszkanie - Gdańsk Jasień|Gdańsk Jasień, Kazimierza Leskiego|54.3238638|18.5586781|61.96|3|2015|12105|Mieszkanie|0|1|1|0|1|4|0|1|0|secondary
539|Komfortowa nieruchomość gotowa do zamieszkania|Gdańsk Łostowice, Niepołomicka|54.31742615|18.593106398457195|72.14|3|2022|15941|Mieszkanie|0|1|1|1|1|4|0|0|0|secondary
540|Gdańsk, Morena, Bezpośredni widok na jezioro!|Gdańsk Morena, Myśliwska|54.3457315|18.583013955487807|74.8|3|2010|14024|Mieszkanie|0|0|0|0|1|4|0|0|0|secondary
541|3 pokoje - piękny, duży ogród, 2 miejsca w hali|Gdańsk Łostowice, Niepołomicka|54.31742615|18.593106398457195|60.1|3|2019|11976|Mieszkanie|0|0|0|1|1|Parter|0|0|1|secondary
542|Gotowe do zamieszkania! Świetna lokalizacja!|Gdynia Śródmieście, Obrońców Wybrzeża|54.5165249|18.5369651|50.1|2|1956|14950|Mieszkanie|0|1|0|0|0|2|0|1|0|secondary
543|Nowoczesne mieszkanie, historyczne osiedle.|Gdańsk Wrzeszcz, Jana Kilińskiego|54.38435265|18.605881242819947|45|2|2015|22000|Mieszkanie|0|1|1|1|1|2|0|0|0|secondary
544|GdyniaOksywieGórne,3pok.54m2,piwnica,garaz,morze|Gdynia Oksywie, Andaluzyjska 44|54.5476956|18.5441931|54.38|3|2015|13100|Mieszkanie|1|1|1|1|1|Parter|0|1|0|secondary
545|Gdynia centrum 4 pokoje + kuchnia  widok na morze|Gdynia Działki Leśne, Zjazdowa|54.5115852|18.5312261|73.7|4|1980|11384|Mieszkanie|0|1|1|0|1|10|0|1|0|secondary
546|Gotowe do zamieszkania - 3 osobne pokoje!|Gdynia Leszczynki, Gen. Orlicz-dreszera|54.5457503|18.4636617|65.6|3|1979|11418|Mieszkanie|0|1|0|0|1|9|0|1|0|secondary
547|Mieszkanie 2-Pokojowe Sopot Kamienny Potok,Świetna Lokalizacja !|Sopot Ul.Kraszewskiego, 30|54.43623|18.564968|38|2|1985|14447|Mieszkanie|0|0|1|1|1|Parter|0|1|0|secondary
548|Blisko do plaży   salon od strony południowej|Gdańsk Stogi, Hoża|54.3602364|18.712095394652945|40.91|2|1965|12686|Mieszkanie|0|1|1|0|0|4|0|1|0|secondary
549|DOM do wprowadzenia chicha okolica|Gdańsk Ujeścisko, Wiśniowa|54.3408916|18.578048|140|4|2007|9643|Dom bliźniak|1|1|0|1|0|nan|0|0|1|secondary
550|3 pokoje/ lawendowe wzgórze/ wysoki standard|Gdańsk Jasień, Lawendowe Wzgórze|52.201692|18.259949|50.87|3|2016|13544|Mieszkanie|1|1|1|1|1|2|0|0|0|secondary
551|2 pokoje   Zajezdnia Wrzeszcz   blisko morza|Gdańsk Wrzeszcz, Grudziądzka|54.3941865|18.619758553616993|39.73|2|2016|21394|Mieszkanie|0|0|1|1|1|1|0|0|0|secondary
552|Wolnostojący   gdańsk - kiełpino   do wprowadzenia|Gdańsk Kiełpino Górne, Lipcowa|54.3448994|18.5088613|258|6|2002|10465|Dom wolnostojący|1|0|0|1|0|nan|0|0|1|secondary
553|Osiedle optima   spokojna okolica    WINDA|Gdańsk Jasień, Tadeusza Jasińskiego|54.33643045|18.539236899935283|64.5|3|2021|11314|Mieszkanie|0|1|1|1|1|1|0|1|0|secondary
554|JASNE   dostępne od zaraz   miejsce postojowe|Gdańsk Łostowice, Ofiar Grudnia 70|54.599917|18.265519|29|1|2022|13966|Mieszkanie|0|1|1|1|1|4|0|0|0|secondary
555|2 pokoje   blisko plaży   osobna kuchnia|Gdańsk Nowy Port, Wyzwolenia|54.3980748|18.6657651|49.3|2|1980|13164|Mieszkanie|0|1|1|0|0|1|0|1|0|secondary
556|3 pokoje   OGRÓD   miejsce w hali   komórka lok.|Gdańsk Orunia Górna, Kurierów Armii Krajowej|54.325958|18.6083656|63|3|2020|12683|Mieszkanie|0|0|1|1|0|Parter|0|0|1|secondary
557|Gotowe do zamieszkania  2 pokoje  balkon   parking|Gdańsk Jasień, Lawendowe Wzgórze|52.201692|18.259949|37.17|2|2016|14528|Mieszkanie|0|1|1|1|1|4|0|0|0|secondary
558|Rewelacyjne dwa pokoje z widokiem na zieleń|Gdańsk Zaspa, Dywizjonu 303|54.3902402|18.6025372|48.09|2|1980|15055|Mieszkanie|0|1|1|1|1|4|0|1|0|secondary
559|Kawalerka   pod inwestycje   od zaraz|Gdańsk Jasień, Lawendowe Wzgórze|52.201692|18.259949|30|1|2019|14167|Mieszkanie|0|1|1|1|1|1|0|0|0|secondary
560|4 pokoje   2 miejsca postojowe   szybkie wydanie|Gdańsk Łostowice, Niepołomicka|54.31742615|18.593106398457195|78.77|4|2022|10791|Mieszkanie|0|1|1|1|1|3|0|0|0|secondary
