title|price[PLN]|area[m^2]|rooms|floor|market|parking|elevator|build year|internet|building_type|basement|price_per_m2|balkon|ogródek|taras|street|district|city
2 pok. mieszkanie w świetnej lokalizacji.|990000.0|47.69|2|1|secondary|1|1|2015.0|1.0|Mieszkanie|0.0|20759.07|1|0|0|ul. Batalionów Chłopskich|Wzgórze Św. Maksymiliana|Gdynia
Kawalerki pod Wynajem _Zaraz Klucze _Obok Motławy|394000.0|26.0|1||primary|1|1||1.0|Mieszkanie|0.0|15153.85|1|0|0|null|Śródmieście|Gdańsk
Portova 3-pokoje 86m2, 2 X hala balkon komórka|2555000.0|86.46|3|2|secondary|1|1|2020.0|1.0|Mieszkanie|0.0|29551.24|0|0|0|ul. Węglowa|Śródmieście|Gdynia
"Mieszkanie na sprzedaż | Gdańsk Oliwa | Dobra cena"|599000.0|38.0|2|1|secondary|0|0|1980.0|0.0||0.0|15763.16|0|0|0|ul. Bobrowa|Oliwa|Gdańsk
Brabank 4 pok 101m2 balkon 2 X hala komórka|3190000.0|101.48|4|2|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|31434.77|0|0|0|ul. Stara Stocznia|Śródmieście|Gdańsk
Mieszkanie 3 pok. blisko lasu!|425000.0|43.5|3|1|secondary|1|0|1998.0|0.0|Mieszkanie|1.0|9770.11|1|0|0|null|Obłuże|Gdynia
Nowość ! Wiczlino 80 m2 4 pokoje + Taras 31 m2|945000.0|79.51|4|3|secondary|0|1|2014.0|1.0|Mieszkanie|0.0|11885.3|0|0|1|ul. Stanisława Filipkowskiego|Wiczlino|Gdynia
Mieszkanie - Gdańsk Jasień|576500.0|57.65|3|3|primary|0|1|2024.0|1.0|Mieszkanie|0.0|10000.0|1|0|0|ul. Potęgowska|Jasień|Gdańsk
Mieszkanie - Gdańsk Jasień|671500.0|68.07|4|2|primary|0|1|2024.0|1.0|Mieszkanie|0.0|9864.85|1|0|0|ul. Potęgowska|Jasień|Gdańsk
Mieszkanie - Gdańsk Jasień|581500.0|57.65|3|4|primary|0|1|2024.0|1.0|Mieszkanie|0.0|10086.73|1|0|0|ul. Potęgowska|Jasień|Gdańsk
Mieszkanie - Gdańsk Jasień|425500.0|33.24|2|1|primary|0|1|2024.0|1.0|Mieszkanie|0.0|12800.84|1|0|0|ul. Potęgowska|Jasień|Gdańsk
Mieszkanie - Gdańsk Jasień|437000.0|33.24|2|3|primary|0|1|2024.0|1.0|Mieszkanie|0.0|13146.81|1|0|0|ul. Potęgowska|Jasień|Gdańsk
mieszkanie z duszą w sopockiej kamienicy|999000.0|66.1|3|3|secondary|0|0|1890.0|0.0|Mieszkanie|1.0|15113.46|0|0|0|ul. gen. Władysława Andersa|Osiedle Mickiewicza|Sopot
Piękny widok /zieleń /miejsce parkingowe i komórka|690000.0|68.5|3|3|secondary|1|0|2005.0|1.0|Mieszkanie|0.0|10072.99|1|0|0|ul. Kazimierza Porębskiego|Ujeścisko-Łostowice|Gdańsk
Słoneczne 2p. z widokiem na jezioro Zakoniczyn|575000.0|46.0|2|2|secondary|1|0|2010.0|1.0|Mieszkanie|1.0|12500.0|1|1|1|ul. Kazimierza Porębskiego 31|Ujeścisko-Łostowice|Gdańsk
4 Pok.Lux Oliwa Garaż Ogród Siłownia|2418194.0|106.08|4|0|primary|1|1|2023.0|1.0|Mieszkanie|0.0|22795.95|1|0|0|ul. Jana Bażyńskiego|Oliwa|Gdańsk
3 Pok Garaż Balkon Piękna Lokalizacja|1878248.0|72.9|3|3|primary|1|1|2023.0|1.0|Mieszkanie|0.0|25764.72|1|0|0|ul. Jana Bażyńskiego|Oliwa|Gdańsk
Mieszkanie Rozewska|525000.0|53.0|3|4|secondary|0|1|1980.0|0.0|Mieszkanie|1.0|9905.66|1|0|0|ul. Rozewska|Chylonia|Gdynia
Mieszkanie 2 pokoje 50 m2 Przymorze Nowa Lęborska|1200000.0|50.0|2|1|secondary|1|1|2017.0|1.0|Mieszkanie|1.0|24000.0|1|0|0|ul. Lęborska 22|Przymorze Małe|Gdańsk
Kawalerka w Sopocie z widokiem|570000.0|30.0|1|6|secondary|0|1|1988.0|1.0|Mieszkanie|0.0|19000.0|0|0|0|ul. Adama Mickiewicza|Osiedle Mickiewicza|Sopot
Unikatowy widok i lokalizacja Centrum Gdańsk|999000.0|79.1|2|4|secondary|0|0|1902.0|1.0|Mieszkanie|0.0|12629.58|1|0|0|ul. Jana z Kolna|Śródmieście|Gdańsk
Miejsce w hali, ubezpieczenie oraz smart w cenie|684399.0|73.88|4|1|primary|1|1||1.0|Mieszkanie|0.0|9263.66|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
OSTATNIE 60m2 na Jasieniu_GARAŻE_RABATY_tramwaj|575000.0|59.9|3|3|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9599.33|1|0|0|null|Jasień|Gdańsk
Mieszkanie - Gdańsk Jasień|441000.0|33.1|2|4|primary|0|1|2024.0|1.0|Mieszkanie|0.0|13323.26|1|0|0|ul. Potęgowska|Jasień|Gdańsk
Mieszkanie - Gdańsk Jasień|670500.0|60.86|3|4|primary|0|1|2024.0|1.0|Mieszkanie|0.0|11017.09|1|0|0|ul. Potęgowska|Jasień|Gdańsk
Mieszkanie - Gdańsk Jasień|699000.0|60.76|3|0|primary|0|1|2024.0|1.0|Mieszkanie|0.0|11504.28|1|0|0|ul. Potęgowska|Jasień|Gdańsk
Mieszkanie - Gdańsk Jasień|699000.0|60.45|3|0|primary|0|1|2024.0|1.0|Mieszkanie|0.0|11563.28|1|0|0|ul. Potęgowska|Jasień|Gdańsk
"Mieszkanie Na Sprzedaż | Gdańsk Morena |Gotowe"|819999.0|65.0|3|0|secondary|0|0|2011.0|1.0|Mieszkanie|1.0|12615.37|0|1|1|ul. Królewskie Wzgórze|Piecki-Migowo|Gdańsk
"Rabaty | Dobrze skomunikowane | Blisko do rynku"|627999.0|37.1|2|2|primary|1|1||1.0|Mieszkanie|0.0|16927.2|1|0|0|null|Siedlce|Gdańsk
Zadbane mieszkanie w kamienicy - centrum Gdyni|609000.0|49.37|2|4|secondary|0|0|1950.0|0.0|Mieszkanie|1.0|12335.43|1|0|0|ul. Władysława IV|Śródmieście|Gdynia
Mieszkanie 2-pok z ogrodem po remoncie|559000.0|49.49|2|0|secondary|0|0|2011.0|0.0|Mieszkanie|1.0|11295.21|1|1|0|ul. Olimpijska|Orunia Górna - Gdańsk Południe|Gdańsk
Aniołki Idealne Pod Inwestycje i Studenta Gumed|440000.0|36.5|2|1|secondary|0|0|1947.0|0.0|Mieszkanie|0.0|12054.79|0|0|0|ul. Romualda Traugutta|Aniołki|Gdańsk
Unikatowy apartament 115m2, 2 poz., 2 msc garażowe|1175000.0|114.6|4|3|secondary|1|1||1.0|Mieszkanie|1.0|10253.05|1|0|0|ul. Hery|Osowa|Gdańsk
Słoneczne mieszkanie idealne pod inwestycję|779000.0|30.0|1|2|secondary|1|0|1930.0|1.0|Mieszkanie|1.0|25966.67|0|1|0|ul. Karlikowska|Karlikowo|Sopot
Mieszkanie 3-pokojowe w zieleni - Gdańsk Osowa|599000.0|59.0|3|1|secondary|1|0|2000.0|1.0|Mieszkanie|1.0|10152.54|1|1|0|ul. Perseusza|Osowa|Gdańsk
Duże mieszkanie w samym centrum Gdyni|980000.0|60.5|3|8|secondary|1|1|1965.0|1.0|Mieszkanie|1.0|16198.35|1|0|0|ul. Władysława IV|Śródmieście|Gdynia
Wyjątkowe jasne i przytulne mieszkanie w Gdyni.|547000.0|53.0|3|3|secondary|0|0|1978.0|1.0|Mieszkanie|1.0|10320.75|1|0|0|null|Obłuże|Gdynia
kawalerka blisko Ug i Obc|478000.0|32.6|1|1|secondary|1|1|1982.0|1.0|Mieszkanie|1.0|14662.58|1|0|0|ul. Antoniego Abrahama|VII Dwór|Gdańsk
Inwestuj w apatamenty nad Motławą! Odlicz 23 Vat!|39473406.0|25.47|1|4|secondary|0|0|2024.0|0.0|Mieszkanie|0.0|1549800.0|1|0|0|ul. Mostek|Śródmieście|Gdańsk
Dwupokojowe mieszkanie na Ossowej|549000.0|40.58|2|3|secondary|0|1|2015.0|0.0||0.0|13528.83|0|0|0|ul. Marsa|Osowa|Gdańsk
Stylowe 3 Pokoje Z Przestronnym Tarasem|899000.0|72.8|3|0|secondary|1|0|2006.0|0.0|Mieszkanie|0.0|12348.9|1|0|1|null|Piecki-Migowo|Gdańsk
Idelanie Skomunikowane 4 Pokoje Widok Na Morze|827000.0|66.7|4|7|secondary|1|1|1975.0|0.0|Mieszkanie|1.0|12398.8|1|0|0|ul. Pomorska|Żabianka|Gdańsk
Dzień Otwarty - poniedziałek 22.04.2024 r.|419000.0|38.2|2|6|secondary|0|1|1974.0|0.0|Mieszkanie|1.0|10968.59|1|0|0|ul. Morska|Chylonia|Gdynia
Ładnie wykończone, własny park na osiedlu|642000.0|42.4|2|2|secondary|1|1|2023.0|0.0|Mieszkanie|0.0|15141.51|1|0|0|ul. Niepołomicka|Ujeścisko-Łostowice|Gdańsk
Idealna inwestycja w Sopocie, kilka minut do plaży|635000.0|37.0|2|0|secondary|0|1|1975.0|1.0|Mieszkanie|1.0|17162.16|1|1|0|ul. Wejherowska|Kamienny Potok|Sopot
3 pokojowe mieszkanie z ogrodem i dużą komórką|699000.0|67.7|3|0|secondary|1|0|2008.0|1.0|Mieszkanie|0.0|10324.96|1|1|1|ul. Jana Kielasa|Orunia Górna - Gdańsk Południe|Gdańsk
Centrum Gdyni, po remoncie, ładne|915000.0|48.6|3|1|secondary|0|0|1955.0|0.0|Mieszkanie|0.0|18827.16|0|0|0|ul. Antoniego Abrahama|Śródmieście|Gdynia
Kawalerka 27 m2 Chłopska Przymorze Gdańsk|459000.0|27.0|1|2|secondary|0|0|1980.0|0.0|Mieszkanie|0.0|17000.0|1|0|0|ul. Chłopska|Przymorze Wielkie|Gdańsk
Luksusowe mieszkanie z widokiem na Gdańsk!|999000.0|90.0|4|4|secondary|0|1|2016.0|1.0|Mieszkanie|1.0|11100.0|1|0|0|ul. Srebrna|Orunia Górna - Gdańsk Południe|Gdańsk
Doskonała okazja inwestycyjna!|720000.0|63.45|3|1|secondary|0|1|2020.0|0.0|Mieszkanie|0.0|11347.52|1|0|0|ul. Niepołomicka|Orunia Górna - Gdańsk Południe|Gdańsk
Gdynia Centrum, 37m2 po generalnym remoncie|650000.0|37.02|2|2|secondary|0|0||0.0|Mieszkanie|1.0|17558.08|0|0|0|ul. Antoniego Abrahama|Śródmieście|Gdynia
2pok. Mieszkanie Gdynia WielkiKack ul.Nowodworcowa|593400.0|46.0|2|0|primary|1|1|2024.0|0.0|Mieszkanie|1.0|12900.0|0|0|1|ul. Nowodworcowa|Wielki Kack|Gdynia
Od ręki* Niskie oplaty*Centrum*Gotowe*Balkon|1295000.0|79.0|3|2|secondary|0|0|1900.0|1.0|Mieszkanie|1.0|16392.41|1|0|0|ul. gen. Władysława Sikorskiego|Górny Sopot|Sopot
70m2 Gdańska Invest Komfort garaż komórka|1470000.0|66.94|3|2|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|21959.96|1|0|0|ul. Gdańska|Brzeźno|Gdańsk
Przestronna Kawalerka w pięknym miejscu|570000.0|30.0|1|6|secondary|0|1||1.0|Mieszkanie|1.0|19000.0|0|0|0|ul. Adama Mickiewicza|Osiedle Mickiewicza|Sopot
Drzwi otwarte 17-20/04/ RABATY/ brak PCC|420639.0|27.58|1|2|primary|1|1||0.0|Mieszkanie|0.0|15251.6|1|0|0|null|Śródmieście|Gdańsk
Piękne mieszkanie gotowe do zamieszkania od zaraz.|539000.0|48.56|3|3|secondary|0|1|1980.0|0.0|Mieszkanie|1.0|11099.67|1|0|0|ul. Morska|Chylonia|Gdynia
2 pokoje w sercu Starego Miasta! Idealne pod najem|769000.0|40.1|2|4|secondary|1|0|1700.0|0.0|Mieszkanie|1.0|19177.06|0|0|0|ul. św. Ducha|Śródmieście|Gdańsk
Sloneczne 3-pokoje Z Widokiem Na Zieleń - Wiczlino|680000.0|54.5|3|1|secondary|1|1|2017.0|1.0|Mieszkanie|1.0|12477.06|1|0|1|ul. Stanisława Filipkowskiego|Wiczlino|Gdynia
Spółdzielcze prawo do lokalu, 3 pokoje do wejścia!|799000.0|52.2|3|7|secondary|0|1|1980.0|0.0|Mieszkanie|1.0|15306.51|1|0|0|ul. Karpacka|Oliwa|Gdańsk
**Zdjęcia** Widok+taras+ przestrzeń przed oknami|1849000.0|94.2|4|> 10|secondary|0|0|2022.0|0.0||0.0|19628.45|0|0|0|ul. Sucha|Letnica|Gdańsk
Apartament Gdańsk , Stare Miasto , przy Motławie|1577000.0|49.0|2|3|secondary|1|1|2023.0|1.0|Mieszkanie|1.0|32183.67|1|0|0|null|Śródmieście|Gdańsk
Nowe mieszkanie dwa poziomy Borkowo 71m2 garaż|595000.0|80.0|3|1|secondary|1|0||0.0|Mieszkanie|0.0|7437.5|1|0|0|ul. gen. Elżbiety Zawackiej|Orunia Górna - Gdańsk Południe|Gdańsk
Kawalerka, Gdańsk Żabianka|520000.0|23.45|1|1|secondary|0|0|1980.0|1.0|Mieszkanie|1.0|22174.84|0|0|0|ul. Gospody|Wejhera|Gdańsk
Ustawne 2 pokojowe mieszkanie na Morenie!|689000.0|42.1|2|4|secondary|1|1|2015.0|0.0|Mieszkanie|0.0|16365.8|1|0|0|ul. Myśliwskie Wzgórze|Piecki-Migowo|Gdańsk
Pod klucz ostatnie mieszkanie ogródek 54m2 ogródek|717000.0|53.55|3|0|primary|0|0||0.0||0.0|13389.36|0|0|0|ul. Kadmowa|Orunia Górna - Gdańsk Południe|Gdańsk
Cicha uliczka Dolnego Wrzeszcza ,blisko plaży|280500.0|17.0|1|1|secondary|0|0|1950.0|0.0||1.0|16500.0|0|0|0|ul. Lwowska|Wrzeszcz Dolny|Gdańsk
Mieszkanie w Oliwie z pięknym widokiem 3 pokoje|599000.0|47.0|3|9|secondary|0|1|1970.0|1.0|Mieszkanie|1.0|12744.68|1|0|0|ul. Bobrowa|Oliwa|Gdańsk
Centrum Gdańska, spacerem do pomnika Neptuna|999000.0|101.86|4|2|secondary|0|0|1900.0|0.0||0.0|9807.58|0|0|0|ul. Dolna Brama|Śródmieście|Gdańsk
Po generalnym remoncie, spacerem na plażę!|689000.0|46.0|2|1|secondary|0|1|1970.0|0.0|Mieszkanie|1.0|14978.26|1|0|0|ul. Piastowska|Przymorze Wielkie|Gdańsk
Wyjątkowe 4 pokoje w centrum Gdyni, 200 M od morza|1697000.0|90.0|4|2|secondary|1|1|2007.0|1.0|Mieszkanie|1.0|18855.56|1|0|1|null|Śródmieście|Gdynia
"NOWA CENA | blisko morza, idealne pod wynajem"|239000.0|19.0|1|3|secondary|0|0|1974.0|0.0|Mieszkanie|0.0|12578.95|0|0|0|ul. Chłopska|Przymorze Małe|Gdańsk
3 Pokoje nowe bez podatku 2% PCC blisko centrum|769000.0|48.0|3|2|primary|1|1|2023.0|1.0|Mieszkanie|0.0|16020.83|1|0|0|null|Grabówek|Gdynia
Kawalerka, mieszkanie 1 pokojowe Gdynia Centrum|535000.0|34.0|1|2|secondary|1|0|1960.0|1.0|Mieszkanie|1.0|15735.29|0|0|0|ul. Władysława IV|Śródmieście|Gdynia
Gdańsk Osowa -2-pok z tarasem ul.Junony|530000.0|41.0|2|0|secondary|1|1|2009.0|0.0|Mieszkanie|1.0|12926.83|0|0|1|ul. Junony|Osowa|Gdańsk
5-pokojowe mieszkanie 90m2 + taras Bez Pośredników|1970678.0|90.14|5|5||1|0|||||21862.41|0|0|1|ul. 23 Marca|Przylesie|Sopot
4-pokojowe mieszkanie 108m2 + loggia|1900801.0|108.73|4|2||1|0|||||17481.84|0|0|0|ul. 23 Marca|Przylesie|Sopot
3-pokojowe mieszkanie 74m2 + loggia|1621182.0|74.82|3|1||1|0|||||21667.76|0|0|0|ul. 23 Marca|Przylesie|Sopot
2-pokojowe mieszkanie 49m2 + ogródek Bez Prowizji|882702.0|49.87|2|0||1|0|||||17700.06|0|1|1|ul. 23 Marca|Przylesie|Sopot
Morena, 3 pokoje, pierwsze piętro z ogródkiem|730000.0|50.0|3|1|secondary|0|1|2018.0|1.0|Mieszkanie|0.0|14600.0|0|1|1|ul. Stanisława Lema|Piecki-Migowo|Gdańsk
Wysoki standard, miejsce postojowe w cenie|1275000.0|52.12|3|0|secondary|1|0|2022.0|0.0||0.0|24462.78|0|1|0|ul. Nowogrodzka|Działki Leśne|Gdynia
"Wolne Miasto etap VII | mieszkanie 4-pok. | 40"|902460.0|74.05|4|1||1|0|||||12187.17|1|0|0|ul. Cedrowa|Ujeścisko-Łostowice|Gdańsk
Pino Resort – 6.33|841320.0|38.0|2|1|primary|0|0|2024.0|0.0||0.0|22140.0|1|0|0|ul. Turystyczna 90|Wyspa Sobieszewska|Gdańsk
2-pok z m.post. i piwnicą w Gdyni Redłowie|1175000.0|66.8|2|0|secondary|1|1|2011.0|1.0|Mieszkanie|0.0|17589.82|0|1|1|null|Redłowo|Gdynia
SPRZEDAM KOMFORTOWE M3 - bez pośredników !|660000.0|44.15|2|1|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|14949.04|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
2-pokojowe mieszkanie 37m2 + balkon Bez Prowizji|627999.0|37.09|2|2||1|0|||||16931.76|1|0|0|ul. Kartuska|Siedlce|Gdańsk
Mieszkanie 2 pokoje 50 m2 Przymorze Nowa Lęborska|1200000.0|50.0|2|1|secondary|1|1|2017.0|1.0|Mieszkanie|1.0|24000.0|1|0|0|ul. Lęborska 22|Przymorze Małe|Gdańsk
3-pokojowe mieszkanie z balkonem i garażem|844500.0|55.0|3|1|secondary|1|0|2009.0|1.0|Mieszkanie|0.0|15354.55|1|0|0|ul. Olgierda|Mały Kack|Gdynia
Duże dwa pokoje w rewitalizowanej części Wrzeszcza|630000.0|48.0|2|1|secondary|1|0|1935.0|1.0|Mieszkanie|1.0|13125.0|1|0|0|ul. Joachima Lelewela|Wrzeszcz Dolny|Gdańsk
Komfortowe mieszkanie w świetnej okolicy + garaż!|669000.0|45.24|2|1|secondary|1|1||1.0|Mieszkanie|1.0|14787.8|1|0|0|null|Oksywie|Gdynia
Minimalistyczne mieszkanie w sercu Gdyni|1849000.0|80.0|4|1|secondary|1|1|2015.0|1.0|Mieszkanie|0.0|23112.5|1|0|0|ul. Zygmunta Augusta|Śródmieście|Gdynia
Apartament na Wodzie|450000.0|36.0|2|0|secondary|1|0|2023.0|0.0||0.0|12500.0|0|0|0|ul. Szopy|Śródmieście|Gdańsk
Apartament Prestige Tarasy Baltyku Gdansk Przymorz|1599000.0|64.5|3||secondary|1|1|2021.0|1.0|Mieszkanie|0.0|24790.7|0|0|1|Prezydenta Lecha Kaczynskiego 31|Przymorze Wielkie|Gdańsk
2 Pokojowe Mieszkanie Gdańsk Przymorze 43 m2|620000.0|43.0|2|3|secondary|0|0|1975.0|1.0|Mieszkanie|1.0|14418.6|1|0|0|ul. Kołobrzeska 50K|Przymorze Wielkie|Gdańsk
Piękne 3 pok. mieszkanie po generalnym remoncie|539000.0|43.7|3|1|secondary|0|0|1970.0|0.0|Mieszkanie|1.0|12334.1|1|0|0|ul. Starogardzka|Chylonia|Gdynia
Klimatyczne mieszkanie blisko lasu i plaży Stogi|565000.0|53.0|2|1|secondary|1|0|1930.0|0.0|Mieszkanie|0.0|10660.38|0|1|0|ul. Sówki|Krakowiec-Górki Zachodnie|Gdańsk
Piękne mieszkanie Sopot Karlikowo, 200 m do plaży|874000.0|46.0|3|3|secondary|0|0||1.0|Mieszkanie|0.0|19000.0|1|0|0|ul. Bitwy pod Płowcami|Karlikowo|Sopot
3pokoje, parking, piwnica, balkon,CENA ZA WSZYSTKO|920000.0|72.0|3|2|secondary|1|1||1.0|Mieszkanie|1.0|12777.78|1|0|0|ul. Leszczynowa|Jasień|Gdańsk
Mieszkanie 3-pokojowe, doskonale skomunikowane|630000.0|58.0|3|2|secondary|1|0|2008.0|1.0|Mieszkanie|1.0|10862.07|1|0|0|null|Dąbrowa|Gdynia
3 pokojowe mieszkanie blisko Centrum|738000.0|51.0|3|1|primary|0|0|2000.0|0.0|Mieszkanie|1.0|14470.59|1|0|0|null|Orunia-Św. Wojciech-Lipce|Gdańsk
2 pokojowe 36,87 m2 bez prowizji, Witomino|516000.0|36.87|2|3|secondary|0|0||0.0|Mieszkanie|1.0|13995.12|0|0|0|ul. Stawna|Witomino-Leśniczówka|Gdynia
Gotowe do zamieszkania 60m2 przy Garnizonie|779000.0|60.0|2|0|secondary|1|0|1965.0|0.0|Mieszkanie|1.0|12983.33|1|0|0|ul. Partyzantów|Wrzeszcz Górny|Gdańsk
Świetna cena ! 60 m2 duże mieszkanie 3 pokojowe,|539000.0|60.0|3|4|secondary|0|0|1983.0|1.0|Mieszkanie|1.0|8983.33|1|0|0|ul. kmdr. Z. Horyda|Pogórze|Gdynia
Mieszkanie Nowa Letnica Gdańsk z widokiem na morze|620000.0|30.85|więcej niż 10|> 10|secondary|1|1|2021.0|0.0|Mieszkanie|1.0|20097.24|1|0|0|null|Letnica|Gdańsk
Dla obcokrajowca, idealne na start! Najtaniej w GD|265000.0|27.6|1|1|secondary|0|0|1970.0|1.0|Mieszkanie|0.0|9601.45|0|0|0|ul. Rzęsna 1A|Rudniki|Gdańsk
Gdańsk, Śródmieście, 2 pokoje|890000.0|44.58|2|1|secondary|1|1|2018.0|1.0|Mieszkanie|0.0|19964.11|0|1|1|ul. Wałowa|Śródmieście|Gdańsk
2 pokoje po remoncie w sercu młodego miasta-na już|489000.0|37.0|2|0|secondary|0|0|1940.0|1.0|Mieszkanie|1.0|13216.22|0|0|0|ul. Robotnicza|Śródmieście|Gdańsk
Gdańsk Śródmieście / 2pokoje/ gotowiec inwestycyjn|849000.0|48.77|2|0|secondary|0|0|1955.0|1.0|Mieszkanie|1.0|17408.24|1|0|0|ul. Bednarska|Śródmieście|Gdańsk
2 pokoje - osobna kuchnia - MWG|595000.0|54.4|2|3|secondary|1|1|2015.0|1.0|Mieszkanie|1.0|10937.5|1|0|0|ul. Aleksandry Gabrysiak|Jasień|Gdańsk
2 pokojowy apartament - Gdynia Altoria|830000.0|49.62|2|1|secondary|1|1||1.0|Mieszkanie|1.0|16727.13|1|0|0|ul. Strzelców|Mały Kack|Gdynia
DUŻE RABATY ⭐ Blisko obwodnica ✅ Zostaw wiadomość!|536765.0|53.05|3|1|primary|1|1||1.0|Mieszkanie|1.0|10118.1|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
Mieszkanie 2 pok. 15 piętro Centralpark|800000.0|48.0|2|> 10|secondary|1|1|2016.0|0.0|Mieszkanie|0.0|16666.67|1|0|0|ul. Franciszka Rakoczego|Piecki-Migowo|Gdańsk
Sopot - Kamienny Potok - 2 pokoje - parter|550000.0|34.0|2|0|secondary|0|0|1930.0|1.0|Mieszkanie|1.0|16176.47|0|1|0|ul. Józefa Kraszewskiego 5|Kamienny Potok|Sopot
Nowa oferta mieszkań - Meva - Gdynia Grabówek M3|687000.0|52.47|3|0|primary|1|0|2024.0|1.0||0.0|13093.2|0|1|0|ul. Gerarda Denhoffa 2|Grabówek|Gdynia
"Pas Nadmorski | Zieleń | Ergo Arena"|509000.0|31.0|1|6|secondary|1|1||0.0|Mieszkanie|1.0|16419.35|0|0|0|ul. Gdyńska|Żabianka|Gdańsk
apartament Redłowo taras 82 m właściciel nowe|2750000.0|187.0|5||secondary|0|0|2023.0|0.0|Mieszkanie|0.0|14705.88|0|0|0|null|Redłowo|Gdynia
Rezerwacja/ Wrzeszcz/Zrewitalizowana Kamienica|540000.0|60.0|2|3|secondary|1|0|1907.0|0.0|Mieszkanie|1.0|9000.0|0|0|0|ul. ks. Leona Miszewskiego|Wrzeszcz Górny|Gdańsk
Drzwi otwarte 17-20/04/ RABATY/ brak PCC|420639.0|27.58|1|3|primary|1|1||0.0|Mieszkanie|0.0|15251.6|1|0|0|null|Śródmieście|Gdańsk
Elegancki, jasny Apartament z tarasem|2090000.0|65.0|3|2|secondary|1|0|2012.0|0.0||0.0|32153.85|0|0|1|ul. Bernadowska|Orłowo|Gdynia
Mieszkanie 2 pokoje 50 m2 Przymorze Nowa Lęborska|1200000.0|50.0|2|1|secondary|1|1|2017.0|1.0|Mieszkanie|1.0|24000.0|1|0|0|ul. Lęborska 22|Przymorze Małe|Gdańsk
2-pokojowe mieszkanie w świetnej lokalizacji|948000.0|53.19|2|0|secondary|1|1|2017.0|1.0|Mieszkanie|0.0|17822.9|0|1|1|ul. Powstańców Wielkopolskich|Zaspa-Rozstaje|Gdańsk
Apartament z balkonem w prestiżowej części Oliwy|3262970.0|128.08|5|2|primary|1|1|2024.0|1.0|Mieszkanie|0.0|25476.03|1|0|0|null|Oliwa|Gdańsk
Apartament w nowoczesnej inwestycji|1785870.0|75.33|3|3|primary|0|1|2023.0|1.0|Mieszkanie|0.0|23707.29|1|0|0|null|Oliwa|Gdańsk
Nowoczesne mieszkanie niedaleko plaży w Brzeźnie|1316921.0|76.69|3|8|primary|1|1|2025.0|0.0|Mieszkanie|0.0|17172.0|0|0|0|null|Wrzeszcz Dolny|Gdańsk
Apartament w nowoczesnej inwestycji w Oliwie|1785870.0|75.33|3|3|secondary|0|1|2023.0|1.0|Mieszkanie|0.0|23707.29|1|0|0|null|Oliwa|Gdańsk
Luksusowe Mieszkanie z Dogodną Lokalizacją|975114.0|43.53|2|1|secondary|0|1|2023.0|1.0|Mieszkanie|0.0|22400.96|1|0|0|null|Oliwa|Gdańsk
5 pokojowy Apartament w Prestiżowej Lokalizacji|3262970.0|128.08|5|2|secondary|1|1|2024.0|1.0|Mieszkanie|0.0|25476.03|1|0|0|null|Oliwa|Gdańsk
Apartament na najwyższym piętrze niedaleko morza|2655455.0|126.09|5|10|primary|0|1|2025.0|0.0|Mieszkanie|0.0|21060.0|0|0|0|null|Wrzeszcz Dolny|Gdańsk
Eleganckie Mieszkanie z Widokiem na Przyszłość|1186303.0|50.56|2|2|secondary|1|1|2024.0|1.0|Mieszkanie|0.0|23463.27|1|0|0|null|Oliwa|Gdańsk
Twoje Nowe Miejsce w Centrum Luksusu|1536833.0|72.39|3|3|secondary|1|1|2024.0|1.0|Mieszkanie|0.0|21229.91|1|0|0|null|Oliwa|Gdańsk
Wyjątkowy apartament w sercu Oliwy|328963680.0|129.8|5|3|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|2534388.91|1|0|0|ul. Opacka|Oliwa|Gdańsk
Komfortowe mieszkanie w sercu Oliwy|138502440.0|54.73|2|1|primary|1|1|2022.0|1.0|Mieszkanie|0.0|2530649.37|1|0|0|ul. Opacka|Oliwa|Gdańsk
Wyjątkowy apartament z ogrodem w Oliwie|2426922.0|113.59|4|0|primary|1|1|2022.0|1.0|Mieszkanie|0.0|21365.63|0|1|1|ul. Opacka|Oliwa|Gdańsk
Wyjątkowy apartament w sercu Oliwy|328963680.0|129.8|5|3|primary|1|1|2022.0|1.0|Mieszkanie|0.0|2534388.91|1|0|0|ul. Opacka|Oliwa|Gdańsk
Przestronny apartament blisko morza-Invest Komfor|2990000.0|105.7|2|0|secondary|1|1|2008.0|0.0|Mieszkanie|0.0|28287.61|1|0|0|ul. Okrętowa|Redłowo|Gdynia
Mieszkanie na 14 piętrze z widokiem na morze Ik|1390000.0|40.8|2|> 10|secondary|1|1|2020.0|0.0|Mieszkanie|0.0|34068.63|1|0|0|ul. Węglowa|Śródmieście|Gdynia
Apartament W Orłowskiej Riwierze|3500000.0|79.0|3|0|secondary|1|1|2009.0|0.0|szeregowiec|0.0|44303.8|1|1|0|ul. Orłowska|Orłowo|Gdynia
