title|price[PLN]|area[m^2]|rooms|floor|market|parking|elevator|build year|internet|building_type|basement|price_per_m2|balkon|ogródek|taras|street|district|city
apartament w Sea Towers|1950000.0|80.9|2|> 10|secondary|1|1|2009.0|1.0|Mieszkanie|1.0|24103.83|0|0|0|null|Śródmieście|Gdynia
2-pokojowe mieszkanie 59m2 + ogródek Bezpośrednio|536670.0|59.63|2|0||1|0|||||9000.0|0|1|0|ul. Zbożowa|Cisowa|Gdynia
4-pokojowe mieszkanie 88m2 + ogródek|795600.0|88.4|4|0||1|0|||||9000.0|0|1|0|ul. Zbożowa|Cisowa|Gdynia
Najpiękniejsze 4 Pokoje Po Generalnym Remoncie|847000.0|53.2|4|1|secondary|1|1|1976.0|1.0|Mieszkanie|1.0|15921.05|1|0|0|ul. Władysława Reymonta|Wrzeszcz Górny|Gdańsk
Apartament z pięknym widokiem na morze|1470000.0|50.0|2|7|secondary|1|1|2023.0|0.0|Mieszkanie|1.0|29400.0|0|0|1|ul. św. Piotra|Leszczynki|Gdynia
Sprzedam dużą kawalerkę w świetnej lokalizacji|369000.0|29.5|1|1|secondary|0|0||1.0|Mieszkanie|1.0|12508.47|0|0|0|null|Chylonia|Gdynia
3-pokoje sprzedam|630000.0|58.0|3|1|secondary|1|1|2023.0|1.0|Mieszkanie|1.0|10862.07|0|0|1|Władysława Wagnera|Wiczlino|Gdynia
1-pokojowe mieszkanie 41m2 + balkon Bezpośrednio|765926.0|41.35|1|2||1|0|||||18523.0|1|0|0|ul. Mariana Hemara|Wrzeszcz Górny|Gdańsk
Sprzedam apartament nad morzem w Gdańsku|779000.0|36.85|2|1|secondary|1|1|2023.0|1.0|Mieszkanie|0.0|21139.76|1|0|0|null|Wyspa Sobieszewska|Gdańsk
Piękne Mieszkanie Nowe Bezpośrednio 700 m do morza|1100000.0|55.0|3|2|secondary|1|0|2020.0|0.0|Mieszkanie|0.0|20000.0|1|0|0|ul. Turystyczna 60|Wyspa Sobieszewska|Gdańsk
Dwa pokoje, serce Witomina 5 min do Śródmieścia|499995.0|42.3|2|2|secondary|0|0|1975.0|1.0|Mieszkanie|1.0|11820.21|0|0|0|ul. Rolnicza|Witomino-Radiostacja|Gdynia
Mieszkanie, 60 m², Gdańsk|595000.0|60.0|2|2|secondary|0|0||0.0|Mieszkanie|1.0|9916.67|0|0|0|Aleja Legionów|Wrzeszcz Dolny|Gdańsk
DZIEŃ OTWARTY ⭐ Balkon 9m2 ✅ Klucze w tym roku!|658909.0|67.61|4|3|primary|1|1||1.0|Mieszkanie|1.0|9745.73|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
Odbierz klucze w 2024 • 15 min do centrum •|444366.0|42.16|2|2|primary|1|1||1.0|Mieszkanie|0.0|10539.99|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
Nietuzinkowe blisko morza na Wyspie Sobieszewskiej|1050000.0|43.13|2|0|secondary|1|0|2021.0|0.0||0.0|24345.0|0|1|1|ul. Turystyczna|Wyspa Sobieszewska|Gdańsk
OSTATNIE poniżej 500tys_15min od Gdańsk Główny|480500.0|50.8|3|0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9458.66|0|1|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
M3 z GARDEROBĄ • 15 min do centrum •|525195.0|52.81|3|2|primary|1|1||1.0|Mieszkanie|0.0|9944.99|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
Mieszkanie blisko dworca Pkp i galerii handlowej|735000.0|56.7|3|2|secondary|0|0|1956.0|1.0|Mieszkanie|1.0|12962.96|0|0|0|ul. Rajska|Śródmieście|Gdańsk
2 pokojowe mieszkanie dostępne od zaraz!|515000.0|37.0|2|1|secondary|1|0|2022.0|0.0||0.0|13918.92|1|0|0|ul. Franciszka Sokoła|Wiczlino|Gdynia
Sprzedam mieszkanie 4-pokojowe|799000.0|71.7|4|1|secondary|0|0|1989.0|1.0|Mieszkanie|1.0|11143.65|1|0|0|ul. prof. Józefa Więckowskiego|Chełm|Gdańsk
OSTATNIE 2pok poniżej 400tys_RABATY do soboty_HALE|381350.0|37.1|2|0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|10278.98|0|1|1|null|Orunia Górna - Gdańsk Południe|Gdańsk
NAJTAŃSZE 2pok w GDAŃSKU_promocje do SOBOTY_garaże|355475.0|31.9|2|1|primary|1|1|2024.0|1.0|Mieszkanie|0.0|11143.42|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
Nowa oferta mieszkań - Meva - Gdynia Grabówek M2|735000.0|56.12|3|0|primary|1|0|2024.0|1.0||0.0|13096.94|0|1|0|ul. Gerarda Denhoffa 2|Grabówek|Gdynia
347 000 Netto 5min Wyspa Spichrzów+Dod BONUS 26-27|426845.0|27.68|1|0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|15420.7|1|0|0|null|Śródmieście|Gdańsk
Gdańsk Żabianka/Oliwa! 2 duże pokoje 47,6 m2|599000.0|47.6|2|1|secondary|1|0|1964.0|0.0|Mieszkanie|1.0|12584.03|1|0|0|null|Żabianka|Gdańsk
Gotowe_Przy parku_Zobacz na żywo! Promo|504810.0|53.45|3|2|primary|1|1|2023.0|1.0|Mieszkanie|0.0|9444.53|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
Apartament przy Motławie - widok na wodę!!!|350590.0|26.36|1|3|primary|1|1|2024.0|1.0|Mieszkanie|0.0|13300.08|1|0|0|null|Śródmieście|Gdańsk
3-pokojowy apartament 60m2 + balkon|1296189.0|60.11|3|4||1|0|||||21563.62|1|0|0|ul. Kardynała Wyszyńskiego|Śródmieście|Gdynia
3-pokojowy apartament 60m2 + balkon Bez Prowizji|1326244.0|60.11|3|5||1|0|||||22063.62|1|0|0|ul. Kardynała Wyszyńskiego|Śródmieście|Gdynia
4-pokojowy apartament 85m2 + balkon Bezpośrednio|1668968.0|85.27|4|1||1|0|||||19572.75|1|0|0|ul. Kardynała Wyszyńskiego|Śródmieście|Gdynia
absolutny Hit, najtańsze 2 pok w Gdańsku|355500.0|31.8|2|1|primary|1|1|2025.0|1.0|Mieszkanie|0.0|11179.25|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
Umeblowane 2 ppkoje po remoncie, Suchanino|580000.0|42.42|2|10|secondary|0|1|1975.0|1.0|Mieszkanie|1.0|13672.8|1|0|0|ul. Ignacego Paderewskiego|Suchanino|Gdańsk
"Taras przez całe mieszkanie | Rabaty | Zachodnie"|763810.0|39.76|3|6|primary|1|1||1.0|Mieszkanie|0.0|19210.51|1|0|0|null|Siedlce|Gdańsk
Mieszkanie gotowe do wprowadzenia się!|540000.0|43.9|2|3|secondary|0|0|1970.0|0.0|Mieszkanie|1.0|12300.68|1|0|0|null|Demptowo|Gdynia
Nowe mieszkanie Scala w Centrum Gdańska|1430000.0|59.57|3|1|secondary|0|1|2023.0|0.0||0.0|24005.37|1|0|0|null|Śródmieście|Gdańsk
Apartament w wysokim standardzie Garnizon|1740000.0|77.22|3|4|secondary|0|1|2021.0|0.0|Mieszkanie|0.0|22533.02|0|0|0|null|Wrzeszcz Górny|Gdańsk
