|title|district|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market
35|Od ręki* Niskie oplaty*Centrum*Nowa cena|Sopot Górny Sopot, Sikorskiego|79|3|1910|1639|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
36|Centrum*Świeżo po remoncie*Duży balkon*Od ręki|Gdańsk Śródmieście, Seredyńskiego|53|2|1963|1413|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
37|Projekt architekta* Umeblowane*Balkon+ 2xParking|Sopot Górny Sopot|87|4|1910|19253|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
38|Słoneczne trzy pokoje z ogrodem ul. Guderskiego|Gdańsk Zakoniczyn, Guderskiego Konrada|53.4|3|2008|12154|Mieszkanie|0|0|1|1|0|Parter|1|1|1|secondary
39|Wysoki standard - nowy dom przy lesie Gdynia|Gdynia Dąbrowa, Koperkowa|357.7|5|1990|640|Dom bliźniak|0|0|0|0|0|nan|0|0|0|secondary
40|Słoneczne z pięknym widokiem   Możliwy kredytu|Gdańsk Zakoniczyn, Konstantego Bergiela|59.53|2|2006|10583|Mieszkanie|0|1|0|0|0|2|0|1|0|secondary
41|Trzy pokoje nad morzem po kapitalnym remoncie|Gdańsk Przymorze, Piastowska 100|38|3|1970|15763|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
42|Przestronne trzypokojowe mieszkanie przy ul. Dywiz|Gdańsk Zaspa, Dywizjonu 303|74.34|3|2018|20043|Mieszkanie|1|0|1|1|1|3|0|1|0|secondary
43|Mieszkanie nad morzem|Gdynia Kamienna Góra, Necla Augustyna|60|3|1950|14167|Mieszkanie|0|1|1|1|0|3|0|1|0|secondary
44|Gdynia Orłowo Rivus - mieszkanie 3 pokoje|Gdynia Orłowo, Bernadowska|74|3|2017|23649|Mieszkanie|1|1|0|1|1|1|0|0|0|secondary
45|Mieszkanie - Gdynia Obłuże 53m z widokiem na port i sporą piwnicą|Gdynia Obłuże, Unruga 70|53|3|1980|1113|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
46|Żabianka, 4 pokoje z widokiem na morze|Gdańsk Żabianka, Pomorska 15A|66.7|4|1975|12399|Mieszkanie|0|0|0|0|0|7|0|1|0|secondary
47|Mieszkanie - Gdynia Mały Kack, Wielkopolska 296|Gdynia Mały Kack, Wielkopolska 296|71.46|3|2020|16653|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
48|Przytulne, jasne, drewniana podłoga, balkon|Gdańsk Łostowice, Wielkopolska|65.6|3|2009|9909|Mieszkanie|0|1|1|0|0|1|0|0|0|secondary
49|Apartamentowiec  Wrzeszcz  Miejsce w hali   balkon|Gdańsk Wrzeszcz, Bolesława Chrobrego|53.|2|2013|16917|Mieszkanie|0|1|1|1|1|1|0|0|0|secondary
50|Centrum Wrzeszcza   Prywatny parking   Od zaraz|Gdańsk Wrzeszcz, Stanisława Wyspiańskiego|39.4|2|1964|15203|Mieszkanie|0|1|1|0|0|1|0|1|0|secondary
51|Dwa niezależne mieszkania we Wrzeszczu|Gdańsk Wreszcz, Jarowa|154|9|1920|15370|Mieszkanie|0|0|0|1|0|1|0|0|0|secondary
52|Rezerwacja do 13. maja. Sprzedam mieszkanie 4-pokojowe|Gdańsk Chełm, Więckowskiego 8|71.7|4|1989|10446|Mieszkanie|0|1|0|0|0|1|0|1|0|secondary
53|Dogodna Lokalizacja   Balkon   Piwnica|Gdańsk Morena, Myśliwskie Wzgórze|76.9|4|2010|14291|Mieszkanie|1|0|0|0|1|Parter|0|0|0|secondary
54|Duży ogródek    20 min do morza|Gdańsk Letnica, Letnicka|56.05|3|2023|13000|Mieszkanie|1|0|0|0|1|Parter|0|0|0|secondary
55|Sprzedam bezpośrednio. 3 pok. Generalny remont.|Gdynia Obłuże, Podgórska|47|3|1980|11681|Mieszkanie|0|0|1|0|0|Parter|0|1|0|secondary
56|Sprzedam bezpośrednio. 2 pok. Generalny remont. Blisko SKM.|Gdynia Chylonia, Chylońska|37|2|1975|12676|Mieszkanie|0|0|1|0|1|Parter|0|1|0|secondary
57|Sprzedam bezpośrednio. 3 pok. Generalny remont. Piękny widok. Las.|Gdynia Obłuże, Podgórska 7|47|3|1975|11681|Mieszkanie|0|1|1|0|1|10|0|1|0|secondary
58|Przestronne 3 pok. mieszkanie. Blisko do morza. Bezpośrednio|Gdynia Pogórze, Staniewicza|63|3|1985|1030|Mieszkanie|0|1|1|0|0|Parter|0|1|0|secondary
59|Przestronne 3 pok. mieszkanie. Blisko PKM. Bezpośrednio.|Gdynia Karwiny, Buraczana|60.01|3|1985|11648|Mieszkanie|0|1|1|0|0|4|0|1|0|secondary
60|Przestronne mieszkanie z miejscem parkingowym i komórką lokatorską|Gdańsk Morena, Myśliwskie Wzgórze|45.75|3|2010|13093|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
61|Jasne 4 pokoje dla rodziny kochającej naturę|Gdańsk Zakoniczyn, Konstantego Bergiela|71.89|4|2006|10711|Mieszkanie|1|1|0|1|0|Parter|0|0|0|secondary
62|Wysoki standard   Piękny widok   Kameralne osiedle|Gdańsk Morena, Morenowe Wzgórze|96|4|2018|15625|Mieszkanie|0|1|0|1|1|3|0|1|0|secondary
63|Dwupokojowe mieszkanie /Jasień / Świetny dojazd|Gdańsk Jasień, Eugeniusza Węgrzyna|35.25|2|2020|15291|Mieszkanie|0|1|1|0|1|4|0|0|0|secondary
64|3 pokoje na Chełmie po remoncie   1 piętro|Gdańsk Chełm, Prof. Romualda Cebertowicza|63.4|3|1990|11830|Mieszkanie|0|1|1|0|0|1|0|1|0|secondary
65|Dom wolnostojący - Gdynia Kamienna Góra|Gdynia Kamienna Góra, Korzeniowskiego|306|7|1950|17974|Dom wolnostojący|1|0|1|1|0|nan|1|1|0|secondary
66|D U Ż E - Klimatyzowe i 2 p o z i o m o w e|Gdańsk Morena, Morenowe Wzgórze|131|4|2009|9153|Mieszkanie|0|1|0|1|0|5|0|1|0|secondary
67|Dwupokojowy apartament na osiedlu Garnizon|Gdańsk Strzyża, Norwida Cypriana Kamila 19|48.3|2|2016|2288|Mieszkanie|0|1|1|0|1|3|0|0|0|secondary
68|Przestronne 2 pok. blisko natury   Budynek z 2006r|Gdańsk Zakoniczyn, Konstantego Bergiela|51.9|2|2006|11460|Mieszkanie|0|1|0|0|0|3|0|0|0|secondary
69|Ekskluzywny Apartament 3-pokoje, blisko plaży|Gdańsk Letnica, Starowiejska|67.5|3|2023|16993|Mieszkanie|0|0|0|0|0|6|0|0|0|secondary
70|Słoneczne, bardzo wysoki standard -Zielony Południk|Gdańsk Maćkowy, Kazimierza Wielkiego|55.73|2|2020|14175|Mieszkanie|0|1|1|1|1|4|0|0|0|secondary
71|Portova - pięciopokojowy apartament z tarasem|Gdynia Śródmieście, Węglowa|117.3|5|2020|26850|Mieszkanie|1|0|1|1|1|6|1|1|0|secondary
72|Super Węzeł Komunikacyjny|Gdynia Leszczynki, Orlicz-Dreszera 28/II|65.6|4|1980|11433|Mieszkanie|0|1|1|1|1|8|0|1|0|secondary
73|Przytulne 3-pokojowe mieszkanie - bez pośredników|Gdynia Wielki Kack, Damroki 8|73.64|3|1996|12887|Mieszkanie|0|1|1|1|0|3|0|1|0|secondary
74|Luksusowy apartament z widokiem na Starówkę|Gdańsk Śródmieście, Stara Stocznia|84|3|2023|34155|Mieszkanie|1|1|1|1|1|6|0|0|0|secondary
75|Stara Oliwa w otulinie lasu. Piękne miejsce.|Gdańsk Oliwa, Podhalańska|69|3|1900|16493|Mieszkanie|0|1|0|1|0|2|0|1|1|secondary
76|2 pokoje   5 min tramwaj   morena / jasień|Gdańsk Jasień, Kartuska|45.5|2|2011|13846|Mieszkanie|0|1|1|1|1|1|0|1|0|secondary
77|3 pokoje   Miejsce Parkingowe   6min do tramwaju|Gdańsk Jasień, Lawendowe Wzgórze|59.|3|2016|11993|Mieszkanie|0|1|1|1|1|3|0|1|0|secondary
78|Idealne do Zamieszkania lub na Inwestycję|Gdańsk Śródmieście, Kołodziejska|44|2|1950|18159|Mieszkanie|1|0|0|0|0|1|0|0|0|secondary
79|Dzień otwarty - 13.05 - poniedziałek|Gdynia Chylonia, Morska|38.|2|1974|10969|Mieszkanie|0|1|0|0|1|6|0|0|0|secondary
80|Wyjątkowe mieszkanie z duszą czeka na nowych bohaterów!|Gdańsk Zakoniczyn, Porębskiego|70.8|3|2004|10975|Mieszkanie|0|1|1|0|0|1|0|0|0|secondary
81|Mieszkanie 4 pokojowe (100m2) - przy plaży. Gdańsk Letnica|Gdańsk Letnica, Starowiejska 81|100|4|2023|14500|Mieszkanie|0|1|1|1|1|5|0|0|0|secondary
82|Mieszkanie 70m2 + duża piwnica na sprzedaż|Gdańsk Wrzeszcz, Hallera|70.|3|1950|10541|Mieszkanie|0|0|1|0|0|Parter|0|1|0|secondary
83|Ponadczasowy apartament z widokiem na morze w Gdyni przy Bulwarze|Gdynia Wzgórze św. Maksymiliana, Norwida|89.68|3|2015|23918|Mieszkanie|0|0|0|1|1|2|1|0|0|secondary
84|4pok. w cenie 3pok. /balkon/siłownia/hala garażowa|Gdańsk Łostowice, Pastelowa|6|4|2022|1048|Mieszkanie|1|0|0|0|1|2|0|0|0|secondary
85|2 pokoje   Widok na morze   Niski czynsz|Gdańsk Zaspa, Pilotów|27|2|1980|1685|Mieszkanie|0|0|0|0|1|11|0|0|0|secondary
86|Prywatne 63 m/3 pok wysoki standard 2020 taras 2 miejsca postojowe|Gdańsk Osowa|63|3|2020|13794|Mieszkanie|0|0|1|1|1|Parter|1|1|1|secondary
87|Gotowe mieszkanie blisko plaży|Gdańsk Stogi, Stryjewskiego 31|38|2|1974|15500|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary
88|Piękny widok /zieleń /miejsce parkingowe i komórka lokatorska|Gdańsk Zakoniczyn, Kazimierza Porębskiego|68.5|3|2005|10073|Mieszkanie|0|1|1|1|0|3|0|0|0|secondary
89|Przymorze. Spóldzielcze - własnościowe. Słoneczne.|Gdańsk Przymorze, Chłopska|45|2|1971|14333|Mieszkanie|0|0|1|1|0|4|0|1|0|secondary
90|Mieszkanie 5 pokojowe, Wrzeszcz ul. Politechniczna|Gdańsk Wrzeszcz, Politechniczna 16A|82.17|5|1910|9127|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
91|4 pok + poddasze Super Lokalizacja|Gdańsk Ujeścisko, Kaliska|72.98|5|1992|11633|Mieszkanie|0|1|1|1|0|2|0|1|0|secondary
92|50 m2, Gdańsk, z umeblowaniem i wyposażeniem|Gdańsk Jasień, Potęgowska 6|49.8|3|2013|11948|Mieszkanie|0|1|1|0|0|2|0|0|0|secondary
93|Zaprojektuj swój dom*Garaż 44m2*Ogród*mieszkania|Gdańsk Aniołki, Płowce|206|6|1936|8981|Dom bliźniak|0|0|0|0|0|nan|0|0|0|secondary
94|Sprzedam mieszkanie 3 pokojowe|Gdańsk Młyniska, Marynarki Polskiej|55.6|3|1982|10773|Mieszkanie|0|1|1|0|1|5|0|1|0|secondary
95|Zabytkowa stodoła z 1814 r przebudowana na dom - Gdańsk Kiełpino Górne|Gdańsk Kiełpino Górne, Goplańska 40A|210|5|2023|10900|Dom bliźniak|1|0|1|0|0|nan|0|0|1|secondary
96|Apartament w Sopocie - 120m od plaży|Sopot Dolny Sopot, Poniatowskiego 2|87.5|4|1906|37714|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
97|Dom Gdańsk Matarnia (os. Klukowo)|Gdańsk Matarnia - Rębiechowo|160|4|2008|11250|Dom wolnostojący|1|0|1|0|0|nan|1|0|1|secondary
98|Gdańsk Śródmieście . 4 pok . 138 m2|Gdańsk Biskupia Górka, Na Stoku|138.6|4|1935|10815|Mieszkanie|0|0|0|0|0|3|0|1|0|secondary
99|Wielki Kack 5 pokoi widok na Park Krajobrazowy|Gdynia Wielki Kack, Bieszczadzka|164|5|2018|11890|Mieszkanie|1|1|0|1|0|1|0|0|0|secondary
100|Nieruchomość w samym centrum Dolnego Sopotu|Sopot Dolny Sopot, Grunwaldzka|59.8|3|1905|19548|Mieszkanie|0|0|0|1|0|3|0|1|0|secondary
101|Apartament 4 pokoje Cadena Park hala taras|Gdynia Mały Kack, Parkowa|98|4|2004|12235|Mieszkanie|0|1|1|1|0|2|0|0|0|secondary
102|3 pokoje w stanie deweloperskim Łostowice|Gdańsk Wielkopolska|59.19|3|2023|10120|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
103|Gdańsk, Czereśniowa, 3 pokoje, Nowe, Wykończone|Gdańsk Ujeścisko, Czereśniowa|53|3|2024|14151|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
104|2 pok. z parkingiem i widokiem na wodę|Gdańsk Stare Przedmieście, Żabi Kruk|57.8|2|1954|12439|Mieszkanie|0|0|0|1|0|1|0|1|0|secondary
105|Blisko morza, bez PCC|Gdańsk Letnica, Starowiejska|69|3|2023|1594|Mieszkanie|0|1|0|1|1|2|0|0|0|secondary
106|Blisko SKM/Jasne mieszkanie w świetnej lokalizacji|Gdynia Chylonia, Świecka|45.73|2|1973|9075|Mieszkanie|0|1|0|0|0|3|0|1|0|secondary
107|⭐3pok OldTown Stare Przedmieście Spółdzielcze|Gdańsk Stare Przedmieście, Kocurki 1|49.85|3|1967|1398|Mieszkanie|0|1|1|1|0|3|0|1|0|secondary
108|Apartament w sercu Gdańska!|Gdańsk Stare Przedmieście, Chmielna|45.33|2|2017|21818|Mieszkanie|0|1|0|1|1|5|0|0|0|secondary
109|Gdynia Wzgórze Św. Maksymiliana-mieszkanie 2 pok.|Gdynia Wzgórze św. Maksymiliana, Elizy Orzeszkowej|33|2|1952|16818|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
110|Gdańsk Oliwa, Apartament trzypokojowy / Spa|Gdańsk Oliwa, Opacka|93.|3|2022|23980|Mieszkanie|0|0|1|1|1|2|0|0|1|secondary
111|2 pokoje/duży balkon/miejsce postojowe/Wielki Kack|Gdynia Wielki Kack|62.7|2|2012|10651|Mieszkanie|0|1|1|1|1|2|0|0|0|secondary
112|Gdańsk u. Stolema, 3 pokoje|Gdańsk Jasień|56.46|3|2016|12841|Mieszkanie|0|1|1|1|1|3|0|0|0|secondary
