|title|district|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market
2537|Blisko centrum do Przerobienia na 2 pokoje|Gdańsk Siedlce, Szara|30|1|1980|13333|Mieszkanie|0|0|0|0|0|9|0|0|0|secondary
2538|Mieszkanie 60m2 z dużym ogródkiem nowoczesne|Gdańsk Oliwa, Opacka|60|3|2018|24000|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
2539|Nowe budownictwo  Cisza w Centrum|Gdańsk Wrzeszcz, Do Studzienki|83|4|2012|1554|Mieszkanie|0|0|0|0|1|Parter|0|0|0|secondary
2540|Dom wolnostojący z basenem oraz  sauna|Gdańsk Kiełpino Górne, Lipuska|650|10|2013|6000|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
2541|Mieszkanie - Gdańsk Jelitkowo|Gdańsk Jelitkowo, Wypoczynkowa|38.3|2|2010|37337|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
2542|Mieszkanie - Gdańsk Przymorze|Gdańsk Przymorze, Piastowska|38|2|1970|14868|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
2543|Dom w stylu Willi Toskańskiej - dwupokoleniowy|Gdańsk Osowa, Jowisza|389|9|2015|7686|Dom wolnostojący|1|1|1|1|0|nan|0|0|0|secondary
2544|2 duże pokoje  Loggia  Oddzielna Kuchnia|Gdańsk Chełm, Witolda Grabowskiego|53.4|2|1980|11217|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
2545|Ekskluzywny apartament|Sopot Dolny Sopot, Bolesława Chrobrego|97|3|2010|37113|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
2546|Wysoki standard w nowym budynku|Gdańsk Łostowice, Wielkopolska|4|2|2022|14048|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary
2547|Mieszkanie - Gdańsk Kokoszki|Gdańsk Karczemki, Storczykowa|53|3|2003|11547|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
2548|2 Balkony, Hala Garażowa, Przestrzeń|Gdańsk Morena, Myśliwska|65|3|2012|14306|Mieszkanie|0|0|0|0|1|1|0|0|0|secondary
2549|Hala   Komórka   Osiedle Perspektywa|Gdańsk Siedlce, Powstańców Warszawskich|64.8|3|2021|20988|Mieszkanie|0|0|0|0|1|2|0|0|0|secondary
2550|Słoneczne   Możliwy zakup na kredyt|Gdańsk Łostowice, Hokejowa|37|2|2023|14838|Mieszkanie|0|0|0|0|1|Parter|0|0|0|secondary
2551|2 miejsca postojowe, komórka lokatorska|Gdańsk Jasień, Jabłoniowa|62.5|3|2012|11184|Mieszkanie|0|0|0|0|1|3|0|0|0|secondary
2552|Koło Wyspy Spichrzów  15 minut na plażę!|Gdańsk Długie Ogrody, Szopy|54|3|1980|12574|Mieszkanie|0|0|0|0|1|1|0|0|0|secondary
2553|2 apartamenty w cenie jednego|Gdańsk Stare Przedmieście, Lastadia|79|2|1938|10759|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
2554|Hala Garażowa   Komórka lok   Do Wejścia|Gdańsk Ujeścisko, Cedrowa|48.6|3|2015|1294|Mieszkanie|0|0|0|0|1|1|0|0|0|secondary
2555|Duży Ogród, Garaż, Duża Piwnica|Gdańsk Siedlce, Leona Wyczółkowskiego|78.8|3|1960|14581|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
2556|Blisko plaży  Nowoczesne Osiedle  Hala i komórka|Gdańsk Letnica, Starowiejska|65|3|2022|1569|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
2557|*Blisko Starego Miasta|Gdańsk Długie Ogrody, Głęboka|64.57|3|1973|12684|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
2558|Nowoczesny i przestronny dom w Leźnie|Gdańsk Kokoszki|280|7|2021|8925|Dom wolnostojący|1|0|1|1|0|nan|0|0|1|secondary
2559|Dwa mieszkania w centrum Gdyni|Gdynia Kamienna Góra, Juliusza Słowackiego|86.46|3|1937|11335|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
2560|Dom (Kamienica) - Sopot Dolny|Sopot Dolny Sopot, Bohaterów Monte Cassino|600|10|1900|36500|Dom kamienica|0|0|0|0|0|nan|0|0|0|secondary
2561|Apartament w centrum Gdańska z widokiem na rzekę!|Gdańsk Stare Przedmieście, Lastadia|50|2|2010|19500|Mieszkanie|0|1|1|1|1|1|0|1|0|secondary
2562|Pensjonat, obiekt inwestycyjny, centrum Gdańska|Gdańsk Chełm|420|24|1980|6405|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
2563|3 miejsca w hali   Premium   Blisko plaży|Gdańsk Letnica, Starowiejska|65.89|3|2019|16619|Mieszkanie|0|0|0|0|1|3|0|0|0|secondary
2564|2 niezależne pokoje z oddzielna kuchnią w zacisznej lokalizacji blisko Starówki|Gdańsk Śródmieście, Kartuska|45.65|2|1960|12486|Mieszkanie|0|1|0|1|1|5|0|1|0|secondary
2565|Mieszkanie - Gdańsk Jelitkowo|Gdańsk Jelitkowo, Wypoczynkowa|40|2|2019|42500|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
2566|Dwa mieszkanie 2 pokojowe|Gdańsk Stare Przedmieście, Żabi Kruk|6|4|1980|14177|Mieszkanie|0|1|0|0|0|Parter|0|0|0|secondary
2567|Młode Miasto  Hala garażowa  Komórka lok.|Gdańsk Młode Miasto, Ks. Jerzego Popiełuszki|53|3|2022|19811|Mieszkanie|0|0|0|0|1|2|0|0|0|secondary
2568|Mieszkanie na sprzedaż, Gdynia Działki Leśne|Gdynia Działki Leśne, Warszawska|67|2|1938|11597|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
2569|Cudowny widok  Piękne, nowe mieszkanie  Magellana|Gdańsk Morena, Magellana|53|3|2022|17906|Mieszkanie|0|0|0|0|0|5|0|0|0|secondary
2570|Zrewitalizowana Kamienica, Wysokie Stropy|Gdańsk Wrzeszcz, Romana Dmowskiego|105.45|7|1965|10431|Mieszkanie|0|0|1|0|0|2|0|0|0|secondary
2571|Przepiękne mieszkanie w Centrum|Gdynia Śródmieście, Zygmunta Augusta|80|4|2015|24988|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
2572|Dwa pokoje stare miasto w Nowym|Gdańsk Młode Miasto, Wałowa|45|2|2017|20667|Mieszkanie|0|0|0|0|0|8|0|0|0|secondary
2573|Duże mieszkanie z pięknym widokiem - Redłowo!|Gdynia Redłowo, Kaczewska|60|2|2008|15817|Mieszkanie|1|1|0|0|1|3|0|0|0|secondary
2574|102m2! Obok Parku Oliwskiego! 9 Pomieszczeń!|Gdańsk Oliwa, Obrońców Westerplatte|101.6|4|1910|12795|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
2575|Parking Komórka Lok Balkon Wyposażone|Gdańsk Ujeścisko, Cedrowa|47|2|2016|13170|Mieszkanie|0|0|0|0|1|1|0|0|0|secondary
2576|Piękny Widok   Hala Garażowa   Od Zaraz!|Gdańsk Łostowice, Wielkopolska|61.84|3|2023|12920|Mieszkanie|0|0|0|0|1|4|0|0|0|secondary
2577|Mieszkanie - Gdańsk Wrzeszcz|Gdańsk Wrzeszcz, Juliusza Słowackiego|88.4|4|2009|14593|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
2578|Blisko Centrum, 64m2!|Gdańsk Suchanino, Powstańców Warszawskich|64|4|1975|11625|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary
2579|Wielki Powrót!|Gdańsk Żabianka, Pomorska|31|1|1974|16839|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
2580|Przepiękne kamienica na Naprzeciw Krzywego Domku!|Sopot Dolny Sopot, Bohaterów Monte Cassino|600|10|1900|36500|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
2581|Blisko plaży   Oddzielna Kuchnia  Do Wejścia|Gdańsk Zaspa, Aleja Jana Pawła Ii|75|4|1995|16667|Mieszkanie|0|0|0|0|1|8|0|0|0|secondary
2582|Mieszkanie - Gdańsk Główne Miasto|Gdańsk Śródmieście, Wałowa|30|1|2018|19833|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
2583|Wszędzie blisko   Gotowe do zamieszkania|Gdańsk Żabianka, Pomorska|47|3|1975|14213|Mieszkanie|0|0|0|0|1|1|0|0|0|secondary
2584|Mieszkanie - Gdańsk Przymorze|Gdańsk Przymorze, Obrońców Wybrzeża|28.25|1|2018|23717|Mieszkanie|0|0|0|0|0|11|0|0|0|secondary
2585|Trzy pokoje w dogodnej lokalizacji.|Gdańsk Przymorze, Jana Solikowskiego|54|3|1970|157|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
2586|Dom przy lesie! 5km od centrum Gdyni!|Gdynia Wiczlino, Wiczlińska|130|6|1990|7615|Dom wolnostojący|1|0|1|1|0|nan|0|1|1|secondary
2587|Ładnie wykończone, własny park na osiedlu|Gdańsk Łostowice, Niepołomicka|42.47|2|2023|1495|Mieszkanie|0|1|0|1|1|2|0|0|0|secondary
2588|93m2! z Widokiem na Motławę, Wysoki standard!|Gdańsk Stare Przedmieście, Toruńska|93|4|2012|18161|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
2589|Przytulna Kawalerka z ogrodem łostowice|Gdańsk Łostowice|30|1|2022|13300|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
2590|Prestiżowy 2-pokojowy apartament|Gdańsk Sobieszewo|39.74|2|2023|37494|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
2591|Ogródek   Miejsce parkingowe   Do wejścia|Gdańsk Ujeścisko, Dąbrówki|64.3|3|2000|12426|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
2592|Mieszkanie - Gdańsk Oliwa|Gdańsk Oliwa, Opacka|45.|2|2019|23673|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
2593|3 min od plaży - Dwa balkony.|Gdańsk Brzeźno, Gdańska|78|3|1980|11269|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary
2594|Nowe 4 pokoje   letnica   Oferta w przygotowaniu|Gdańsk Letnica, Letnicka|85|4|2023|10576|Mieszkanie|0|1|0|0|0|Parter|0|0|0|secondary
2595|Nowy Apartament! Centrum miasta!|Gdańsk Siedlce, Powstańców Warszawskich|42.3|2|2023|19778|Mieszkanie|0|1|1|1|1|7|0|1|0|secondary
2596|Funkcjonalne 2 pokoje z osobną kuchnią - Centrum|Gdańsk Stare Przedmieście, Toruńska|36.4|2|1969|14973|Mieszkanie|0|0|0|0|1|Parter|0|0|0|secondary
2597|Mieszkanie 2 poziomowe z tarasem, 105 m2, Okazja!!|Gdańsk Zakoniczyn, Andrzeja Huenefelda|105|3|2006|10238|Mieszkanie|1|1|1|1|0|2|1|0|0|secondary
2598|Mieszkanie inwestycyjne Gdańsk Śródmieście|Gdańsk Długie Ogrody, Mariana Seredyńskiego|54.87|3|1950|15309|Mieszkanie|0|0|1|0|0|Parter|0|0|0|secondary
2599|Obiekt na sprzedaż Gdańsk Osowa|Gdańsk Osowa, Wacława Balcerskiego|800|18|2005|6875|Dom wolnostojący|0|1|0|1|0|nan|0|1|0|secondary
2600|Dwa pokoje po remoncie z widokiem na zieleń|Gdańsk VII Dwór, Piotra Michałowskiego|35|2|1976|17571|Mieszkanie|0|1|1|0|1|2|0|1|0|secondary
2601|Kawalerka dostępna od zaraz|Gdańsk Żabianka, Gdyńska|31|1|1970|16097|Mieszkanie|0|1|0|0|1|6|0|0|0|secondary
2602|Wyjątkowy Dom z pięknym widokiem   Wrzeszcz|Gdańsk Siedlce|110|8|1930|10727|Dom szeregowy|0|0|0|0|0|nan|0|0|0|secondary
2603|3 pokojowe mieszkanie - idealna inwestycja|Gdańsk Łostowice, Wielkopolska|58|3|2023|11655|Mieszkanie|0|1|0|0|1|1|0|0|0|secondary
2604|Mieszkanie w idealnej lokalizacji.|Gdańsk Oliwa, Aleja Grunwaldzka|41|2|1977|12415|Mieszkanie|0|0|0|0|0|1|0|1|0|secondary
2605|Mieszkanie trzypokojowe/ podwyższony standard/nowe|Gdańsk Orunia|55|3|2021|12036|Mieszkanie|1|1|0|1|1|1|0|0|0|secondary
2606|3 pokojowe mieszkanie - idealna inwestycja|Gdańsk Łostowice|58|3|2023|11655|Mieszkanie|0|1|0|0|1|3|0|0|0|secondary
2607|**Klimatyczny dom w samym Centrum Wrzeszcza**|Gdańsk Wrzeszcz|157.95|4|1907|9813|Dom wolnostojący|0|0|0|0|0|nan|0|0|0|secondary
2608|Okazja, blisko morza 35m2!|Gdańsk Zaspa|35|1|2015|17686|Mieszkanie|1|1|0|1|0|6|0|0|0|secondary
2609|Mieszkanie 2 pokoje + hala garażowa garnizon|Gdańsk Wrzeszcz, Bolesława Leśmiana|43.19|2|2021|23107|Mieszkanie|0|0|0|0|1|2|0|0|0|secondary
2610|Trzy pokoje, blisko morza. Invest Komfort.|Gdańsk Brzeźno, Gdańska|66.94|3|2022|21960|Mieszkanie|0|1|0|1|0|2|0|0|0|secondary
2611|Okazja dla inwestora, 10 mieszkań w pakiecie|Gdańsk Łostowice, Wielkopolska|55|3|2021|11745|Mieszkanie|1|1|0|1|1|1|0|0|0|secondary
2612|Nowe mieszkanie w Centrum Gdańska|Gdańsk Śródmieście, Łąkowa|61.11|3|2023|23400|Mieszkanie|0|1|0|0|1|1|0|0|0|secondary
2613|Słoneczne 3-pok. mieszkanie z oddzielną kuchnią!|Gdańsk Letnica, Sucha|65.55|3|2019|16018|Mieszkanie|0|1|0|1|1|5|0|0|0|secondary
2614|Mieszkanie trzypokojowe/ podwyższony standard/nowe|Gdańsk Orunia|55|3|2021|11745|Mieszkanie|1|1|0|1|1|1|0|0|0|secondary
2615|3pokojowy apartament, ostatnie piętro- Śródmieście|Gdańsk Śródmieście|70|3|2012|25000|Mieszkanie|0|0|0|1|1|7|0|0|0|secondary
2616|Świetna lokalizacja dla studenta! Blisko morza!|Gdańsk Przymorze|45|2|1970|12900|Mieszkanie|0|1|1|1|0|4|0|1|0|secondary
2617|Słoneczne/ 3 pokoje / Blisko centrum|Gdańsk Chełm, Władysława Cieszyńskiego|63.4|3|1987|10237|Mieszkanie|0|1|0|1|0|4|0|1|0|secondary
2618|Apartament 2-pokojowy, Stare Miasto!|Gdańsk Śródmieście|58|2|2016|21000|Mieszkanie|0|1|0|1|1|5|0|0|0|secondary
2619|Wyjątkowa oferta - dom pasywny, piękna działka|Gdańsk Kokoszki|240|5|2023|829|Dom bliźniak|0|1|0|0|0|nan|0|0|0|secondary
2620|Mieszkanie trzypokojowe/ podwyższony standard/nowe|Gdańsk Orunia|57.96|3|2021|12043|Mieszkanie|1|1|0|1|1|1|0|0|0|secondary
2621|3 pokoje 58,8m2+balkon! gdańsk!|Gdańsk Morena, Królewskie Wzgórze|58.8|3|2018|13095|Mieszkanie|1|1|0|1|1|2|0|0|0|secondary
2622|Apartament 3.POK - brabank|Gdańsk Śródmieście, Stara Stocznia|88|3|2021|34080|Mieszkanie|0|1|0|1|0|6|0|0|0|secondary
2623|3-pokojowe mieszkanie   Leszczynki|Gdynia Chylonia, Lubawska|48.17|3|1970|9944|Mieszkanie|0|0|1|0|1|Parter|0|0|0|secondary
2624|Apartament w wysokim standardzie garnizon|Gdańsk Wrzeszcz|77.|3|2021|22533|Mieszkanie|0|0|0|0|1|4|0|0|0|secondary
2625|Słoneczne 3 pokoje, gotowe i w pełni wyposażone|Gdańsk Św. Wojciech, Kazimierza Wielkiego|57.3|3|2020|1218|Mieszkanie|0|1|1|1|1|4|0|0|0|secondary
2626|Letnica komfortowe 3 pokoje w niskiej zabudowie|Gdańsk Letnica, Letnicka|62.29|3|2021|1557|Mieszkanie|0|1|0|1|1|2|0|0|0|secondary
2627|Wrzeszcz ul. Kossaka. 3-pokojowe|Gdańsk Wrzeszcz, Juliusza Kossaka|63|3|1960|15714|Mieszkanie|0|1|0|0|0|3|0|1|0|secondary
2628|Mamy do sprzedania mieszkanie na Morenie 54m2.|Gdańsk Piecki Migowo|54|2|2015|14000|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
2629|Mieszkanie 2-pok. inwestycja premium/ śródmieście|Gdańsk Śródmieście|46|2|2023|21413|Mieszkanie|0|1|0|1|1|2|0|0|0|secondary
2630|Wyjątkowa Kamienica w sercu Gdyni|Gdynia Wzgórze św. Maksymiliana, Świętojańska|468.21|19|1927|21358|Dom kamienica|0|0|0|0|0|nan|0|0|0|secondary
2631|Apartament w Oliwie z ogrodem ok 200 m2|Gdańsk Oliwa|66.8|3|2006|26946|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
2632|3 pokojowe mieszkanie z balkonem! okazja!|Gdynia Karwiny, Buraczana|60|2|1983|9917|Mieszkanie|0|1|0|1|0|Parter|0|1|0|secondary
2633|Eleganckie 3 pokoje! Bernardowo Park!|Gdynia Mały Kack, Leśna|43|3|2018|19767|Mieszkanie|0|0|0|1|0|Parter|0|0|0|secondary
2634|Słoneczne mieszkanie z piękną panoramą|Gdańsk Łostowice, Hokejowa|36.89|2|2022|11629|Mieszkanie|0|1|0|0|0|3|0|0|0|secondary
2635|Dwa pokoje, serce Witomina 5 min do Śródmieścia|Gdynia Witomino, Rolnicza|42.3|2|1975|11820|Mieszkanie|0|0|1|0|0|2|0|1|0|secondary
2636|Mieszkanie 2 pokoje|Gdynia Chylonia, Chylońska 84-86|35|2|1970|12857|Mieszkanie|0|1|0|0|1|8|0|1|0|secondary
2637|Doskonała lokalizacja|Gdynia Działki Leśne, Warszawska|44.96|2|1963|12900|Mieszkanie|0|1|1|1|0|2|0|1|0|secondary
2638|Piękny apartament 3- pokojowy w Gdańsku Oruni Górnej.|Gdańsk Orunia Górna, Niepołomicka|57|3|2021|12263|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
2639|Dom (Wolnostojący) - Gdańsk Osowa|Gdańsk Osowa, Komandorska|240|6|1998|7875|Dom wolnostojący|0|1|0|1|0|nan|0|0|1|secondary
2640|Ładna Kawalerka na Siedlcach ul. Szara|Gdańsk Siedlce, Szara|31|1|1980|14516|Mieszkanie|0|0|1|1|1|3|0|1|0|secondary
2641|Mieszkanie w wymarzonej lokalizacji 3 pokoje Gdynia Grabówek|Gdynia Grabówek, Komandorska|60|3|1957|11500|Mieszkanie|0|1|1|1|0|1|0|1|0|secondary
2642|Gdynia Działki Leśne/ mieszkanie bez czynszowe|Gdynia Działki Leśne, Wolności|59.6|3|1936|12915|Mieszkanie|0|0|0|0|0|Parter|0|1|0|secondary
2643|Wiszące Ogrody - 3 pokoje - 2 miejsca w hali|Gdańsk Kiełpinek, Przytulna 9|50.8|3|2019|13774|Mieszkanie|1|1|1|1|1|5|0|1|0|secondary
2644|Stare miasto   6 min od Długiej   ważne do czerwca|Gdańsk Śródmieście, Świętojańska|27.17|1|1960|21163|Mieszkanie|0|0|0|1|0|4|0|0|1|secondary
2645|Dwa pokoje blisko morza   parking za szlabanem|Gdańsk Stogi, Wrzosy|37|2|1980|12297|Mieszkanie|0|0|1|1|0|3|0|1|0|secondary
2646|3-pokojowe mieszkanie z miejsce parkingowym|Gdańsk Jasień, Potęgowska 20|61|3|2018|11311|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
2647|Mieszkanie dwupokojowe po remoncie, z windą|Gdynia Chylonia|38.66|2|1970|11976|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary
2648|Gotowy na inwestycję? 2 pokoje, kamienica na Starym Mieście w Gdańsku|Gdańsk Śródmieście, Świętego Ducha|40.1|2|1900|19177|Mieszkanie|0|0|0|1|0|4|0|1|0|secondary
2649|3 niezależne pokoje, idealne pod inwestycje! Spacerem do Neptuna|Gdańsk Śródmieście, Głęboka|65|3|1950|12600|Mieszkanie|0|1|0|0|0|2|0|1|0|secondary
2650|Niepowtarzalne wnętrze w butikowej inwestycji!|Gdańsk Oliwa, Opacka|77.1|3|2022|27129|Mieszkanie|0|1|0|0|1|3|0|0|0|secondary
2651|Gotowy, nowy dom klasy premium, rekuperacja|Gdynia Wiczlino|250|6|2024|7580|Dom bliźniak|1|1|1|1|0|nan|1|0|1|secondary
2652|⭐Umeblowane wyposażone 4 pokoje z garderobą po remoncie⭐|Gdynia Witomino, Chwarznieńska 30|52.4|4|1975|14294|Mieszkanie|1|1|1|1|0|2|0|1|0|secondary
2653|4 pokoje Gdańsk Oliwa,miejsce w hali garażowej,komórka lokatorska|Gdańsk Oliwa|80|4|2021|26875|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
2654|Gdańska Brzeźno 3-pokoje 79.2m² Bezpośrednio|Gdańsk Brzeźno, Gdańska 21S|79.|3|2022|18750|Mieszkanie|0|1|0|1|1|3|0|1|0|secondary
2655|Kawalerka Gdynia|Gdynia Chylonia, Zamenhofa|26.1|1|1970|11954|Mieszkanie|0|1|1|0|0|4|0|1|0|secondary
2656|Mieszkanie 2 pok.Gdynia Redłowo/śródmieście ul.BOH|Gdynia Redłowo, Boh. Starówki Warszawskiej|50.23|2|1970|11328|Mieszkanie|0|1|1|1|1|2|0|1|0|secondary
2657|Dom jednorodzinny Gdynia Wielki Kack/bardzo dobry|Gdynia Wielki Kack, Wschodnia|200|4|2010|11250|Dom wolnostojący|1|0|0|0|0|nan|1|1|0|secondary
2658|Gdańsk Jasień ul.Łowców/Dom jednorodzinny/4 mieszk|Gdańsk Jasień, Łowców|248|8|1983|5605|Dom wolnostojący|1|1|1|1|0|nan|0|1|0|secondary
2659|Mieszkanie 2-3 pok.Gdańsk Wrzeszcz/Aniołki/ul.Trau|Gdańsk Wrzeszcz, Traugutta Romualda|73.64|3|1900|8827|Mieszkanie|0|0|0|1|0|3|0|1|0|secondary
2660|Mieszkanie 3 pok.Gdańsk Śródmieście ul.Rajska|Gdańsk Śródmieście, Rajska|56.7|3|1956|1409|Mieszkanie|0|0|1|1|0|2|0|1|0|secondary
2661|Mieszkanie/Apartament 3 pok.ogród 136 m, Gdańsk Śr|Gdańsk Dolne Miasto, Sadowa|69.95|3|2019|22859|Mieszkanie|1|0|1|0|1|Parter|1|1|0|secondary
2662|Mieszkanie 2 pok.Gdynia Redłowo/Centrum ul.boh.sta|Gdynia Redłowo, Boh. Starówki Warszawskiej|50.23|2|1970|11328|Mieszkanie|0|1|1|1|1|2|0|1|0|secondary
2663|Mieszkanie 2 pok./taras 23m/umeblowane/urządzone|Gdańsk Jasień, Leszczynowa|36.19|2|2012|14783|Mieszkanie|0|0|1|1|1|Parter|1|1|0|secondary
2664|Mieszkanie 2 pok.pow.45,30 m/piwnica 8,90m/Gdańsk|Gdańsk Jasień, Morelowa|45.3|2|2016|13223|Mieszkanie|1|1|1|1|0|1|0|1|0|secondary
2665|Dom i lokal usługowo-mieszkalny,Orłowo/600m plaża|Gdynia Orłowo, Jodłowa|215.1|7|2003|1580|Dom bliźniak|1|0|0|1|0|nan|1|0|0|secondary
2666|Mieszkanie 3-pokojowe na ostatnim 3 piętrze!|Gdańsk Śródmieście|49|3|1961|13061|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
2667|Sprzedam nieruchomosc z potencjalem|Gdansk Gdansk, Gdansk|300|10|2000|10000|Dom wolnostojący|0|0|0|0|0|nan|0|0|0|secondary
2668|Przestronne i nowoczesne   3 pokoje   Lokalizacja|Gdańsk Karczemki, Kalinowa|100|3|2017|8600|Mieszkanie|0|1|1|1|0|1|0|0|0|secondary
2669|Wyjątkowa oferta   74 m2   Apartamenty na Polanie|Gdynia Mały Kack, Strzelców|74|2|2012|14851|Mieszkanie|0|0|1|1|1|Parter|0|0|1|secondary
2670|3-pokojowy apartament na os.Aquarius w Sopocie|Sopot Górny Sopot, Armii Krajowej|69.5|3|2010|28705|Mieszkanie|0|1|1|1|1|2|0|1|0|secondary
2671|Apartament/5pokoi/z tarasem/centrum/widok na Zatok|Gdynia Śródmieście, Węglowa|117.3|5|2022|26850|Mieszkanie|0|0|0|1|0|6|0|0|0|secondary
2672|Mieszkanie 2 pokojowe z przepięknym widokiem na Zatokę!|Sopot Kamienny Potok, Kujawska|48.|2|1983|18651|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary
2673|Przestronne 2-pokojowe mieszkanie w samym centrum miasta|Gdynia Śródmieście, Abrahama|50.58|2|1970|16607|Mieszkanie|0|1|0|1|0|4|0|1|0|secondary
2674|3 Pokojowe mieszkanie, wyremontowane z pięknym widokiem!|Gdynia Leszczynki, Dantyszka|54|3|1970|107|Mieszkanie|0|1|1|0|1|9|0|1|0|secondary
2675|"Wysoki standard! ""gardenia"", blisko Moreny, Hala"|Gdańsk Jasień, Kartuska|57.7|2|2010|1213|Mieszkanie|0|1|1|1|1|2|0|0|0|secondary
2676|Duże 3 pokojowe mieszkanie w Gdyni   Działająca Inwestycja  |Gdynia Oksywie, Płk. Stanisława Dąbka 77|60|3|1977|8250|Mieszkanie|0|0|0|1|0|Parter|0|1|0|secondary
2677|Przestronne, słoneczne mieszkanie + parking i komórka lokatorska|Gdynia Cisowa, Janowska 48|68|3|2010|11147|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
2678|Inwestycyjne 2 pokoje - Gdańsk Angielska Grobla|Gdańsk Śródmieście, Św Barbary 12|39|2|2019|23051|Mieszkanie|1|0|0|0|0|Parter|1|1|0|secondary
2679|Elegancki apartament nad morzem - widok z 8 piętra|Gdańsk Letnica, Starowiejska|62.7|3|2023|18000|Mieszkanie|0|1|0|1|1|8|0|0|0|secondary
2680|Apartament Blisko Morza 3-pok. z Dwiema Łazienkami Przystań Letnica|Gdańsk Letnica, Starowiejska|64.99|3|2023|19234|Mieszkanie|1|1|1|1|1|4|0|1|0|secondary
2681|Wyjątkowa przestrzeń. Mieszkanie z ogrodem 250m2.|Gdańsk Św. Wojciech, Czerska|71|3|2017|11676|Mieszkanie|0|0|1|1|1|Parter|0|0|1|secondary
2682|Unikatowa nieruchomość - wysoki standard!|Gdańsk Zakoniczyn, Andrzeja Huenefelda|105|3|2006|10467|Mieszkanie|1|1|1|1|0|1|0|0|0|secondary
2683|Duże mieszkanie blisko morza|Gdynia Redłowo, Kaczewska|60|2|2008|15817|Mieszkanie|0|1|0|1|1|3|0|0|0|secondary
2684|2 pokojowe Gdynia Pustki Cisowskie|Gdynia Pustki Cisowskie, Jeżynowa|32.81|2|1986|1158|Mieszkanie|1|1|1|1|0|2|0|1|0|secondary
2685|Mieszkanie na ostatnim piętrze Modern Tower|Gdynia Wzgórze św. Maksymiliana, Kazimierza Górskiego|41.0|2|2021|29230|Mieszkanie|0|0|0|0|0|16|0|0|0|secondary
2686|150 m2 ogród przy samym lesie, po remoncie|Gdynia Karwiny, Janiny Porazińskiej|55.73|3|1986|12543|Mieszkanie|0|0|0|0|0|Parter|0|1|1|secondary
2687|! Kawalerka 22,7m2 ! Gotowa do wprowadzenia !|Gdynia Grabówek, Hugo Kołłątaja|22.71|1|1964|1541|Mieszkanie|0|1|0|0|0|3|0|0|0|secondary
2688|Nowoczesne, dwupokojowe mieszkanie z ogródkiem|Gdańsk Zakoniczyn, Jerzego Świrskiego|50.66|2|2019|13028|Mieszkanie|0|0|1|0|1|Parter|0|0|1|secondary
2689|Bdb lokalizacja;2001r;10 min.do SKM;15min do morza|Gdynia Wzgórze św. Maksymiliana, Dywizji Kościuszkowskiej|90|3|2001|9899|Mieszkanie|1|0|1|1|0|2|0|1|0|secondary
2690|Orłowo; apartament; 2000r;2p.2pokoje;garaż;komówka|Gdynia Orłowo, Bukowa|55|2|2000|18909|Mieszkanie|1|1|1|1|0|Parter|0|1|0|secondary
2691|Dobra inwestycja;na wynajen lub rodziny;dobra cena|Gdynia Dąbrowa, Gorczycowa|88|3|1996|8977|Mieszkanie|0|1|1|1|0|2|0|1|0|secondary
