title|district|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market|street|city|overall_price
Apartament wakacyjny 200 m od plaży|Brzeźno|73.25|3|2018|2935.0|Mieszkanie|0|0|0|0|1|3|0|0|0|secondary| Ignacego Krasickiego|gdansk|214988.75
Gdańsk Śródmieście! Super inwestycja !!!|Młode Miasto|41.6|3|1910|11538.0|Mieszkanie|0|1|0|0|0|3|0|1|0|secondary| Robotnicza|gdansk|479980.8
Przestronne, trzypokojowe mieszkanie ul. Oliwkowa|Dąbrowa|84.1|3|1998|11058.0|Mieszkanie|1|1|1|1|0|1|0|1|0|secondary| Oliwkowa|gdynia|929977.7999999999
Dwa pokoje z ogrodem 900 m od plaży i 150 m od Wisły|Sobieszewo|60.0|2|1912|1244.0|Mieszkanie|0|0|0|0|0|0|0|0|0|secondary| Turystyczna 26|gdansk|74640.0
Unikalny apartament w zachwycającym standardzie|Orłowo|113.0|2|2020|35389.0|Mieszkanie|1|1|0|1|1|1|0|0|0|secondary| Spacerowa|gdynia|3998957.0
Dwupokojowe w Nowym Porcie idealne na start.|Nowy Port|57.3|2|1906|10279.0|Mieszkanie|1|0|0|0|0|2|0|0|0|secondary| Na Zaspę|gdansk|588986.7
Sprzedam dom o pow. 264 m2 Gdynia Orłowo| Orłowo|264.0|5|1986|9470.0|Dom szeregowy|0|0|0|0|0||0|0|0|secondary| null|gdynia|2500080.0
Słoneczne mieszkanie   Okazja|Letnica|78.4|4|2018|14694.0|Mieszkanie|0|1|0|1|1|3|0|0|0|secondary| Starowiejska|gdansk|1152009.6
4 osobne pokoje   idealna lokalizacja   strych uż|Wrzeszcz|82.0|4|1939|1276.0|Mieszkanie|0|0|1|1|0|3|0|1|0|secondary| Legionów|gdansk|104632.0
Mieszkaj i zarabiaj! Mieszkanie+przyziemie+ogród|Działki Leśne|120.0|5|1930|9583.0|Mieszkanie|0|0|0|1|0|1|0|1|1|secondary| Wolności|gdynia|1149960.0
Gdańsk Osowa, DOM - Segment skrajny|Osowa|220.0|5|1998|7227.0|Dom szeregowy|1|1|0|1|0||0|1|1|secondary| Otago|gdansk|1589940.0
** Rezerwacja, Widok na Morze, Wysoki Standard! **|Śródmieście|53.9|3|1967|15751.0|Mieszkanie|0|1|0|1|1|7|0|1|0|secondary| 3 Maja|gdynia|848978.9
Przestronne i stylowe mieszkanie w sercu Sopotu|Dolny Sopot|60.0|3|1940|15500.0|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary| Niepodległości 718|sopot|930000.0
Przestronne i stylowe mieszkanie w sercu Trójmiasta, przy samym lesie|Oliwa|5.0|3|1980|14188.0|Mieszkanie|0|0|0|0|0|0|0|0|0|secondary| Karpacka 6|gdansk|70940.0
10 piętro z widokiem na morze w pasie nadmorskim!|Przymorze|38.0|2|1970|15763.0|Mieszkanie|0|1|0|0|1|10|0|1|0|secondary| Piastowska|gdansk|598994.0
Dom parterowy z dużą działką - Orunia-św. Wojciech|Świętego Wojciecha|154.0|5|2017|7461.0|Dom bliźniak|0|0|0|1|0|0|0|0|0|secondary| null|gdansk|1148994.0
Słoneczne mieszkanie Spółdziełcze własnościowe prawo do lokalu |Cisowa|103.1|5|1994|8244.0|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary| Zbożowa|gdynia|849956.3999999999
łostowice    3 pokoje z ogródkiem|Zakoniczyn|69.0|3|2012|10797.0|Mieszkanie|0|0|0|1|1|0|0|0|1|secondary| Konrada Guderskiego|gdansk|744993.0
Dom 125 m2   Ogród  Garaż i 2 miejsca  centrum|Zakoniczyn|125.0|4|2004|11973.0|Dom bliźniak|1|0|1|1|0||0|0|1|secondary| Legendy|gdansk|1496625.0
Zaspa   3 Pokoje   do remontu   Blisko SKM|Zaspa|63.0|3|1983|12048.0|Mieszkanie|0|1|1|0|1|2|0|1|0|secondary| Startowa|gdansk|759024.0
Na sprzedaż 3 pokojowe mieszkanie !|Ujeścisko|45.05|3|2016|1285.0|Mieszkanie|0|1|1|1|0|1|0|0|0|secondary| stanisława dąbka|gdansk|57889.24999999999
W centrum, widok na panoramę Gdańska|Chełm|40.5|2|2013|19728.0|Mieszkanie|0|1|0|1|1|5|0|0|0|secondary| Pohulanka|gdansk|798984.0
Mieszkanie - Gdynia Redłowo, 899 000 zł|Wzgórze św. Maksymiliana|60.87|3|1960|14769.0|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary| Batalionów Chłopskich|gdynia|898989.0299999999
Wyjątkowa nieruchomość na Wzgórzu Mickiewicza|Wzgórze Mickiewicza|86.0|2|1985|1337.0|Dom wolnostojący|0|0|1|0|0||0|0|0|secondary| Wojskiego|gdansk|114982.0
Wyjątkowy apartament z widokiem na Motławę|Długie Ogrody|117.06|4|2012|29856.0|Mieszkanie|0|0|0|1|1|3|0|0|0|secondary| Szafarnia|gdansk|3494943.36
Mieszkanie 3-pok na Letnicy|Letnica|57.96|3|2017|15873.0|Mieszkanie|0|1|0|1|1|6|0|1|0|secondary| Starowiejska|gdansk|919999.08
Przymorze I Kawalerka I Do wprowadzenia|Przymorze|32.0|1|1985|15994.0|Mieszkanie|0|0|0|0|1|10|0|0|0|secondary| Kołobrzeska|gdansk|511808.0
Zamieszkaj, zarabiaj! Dom jedyny w swoim rodzaju!|Kiełpino Górne|339.67|6|2011|6621.0|Dom wolnostojący|0|0|0|0|0||0|0|0|secondary| Karlikowska|gdansk|2248955.0700000003
Dom na przymorzu do własniej aranżacji !|Przymorze|117.0|5|1960|17940.0|Dom szeregowy|1|0|0|1|0||0|1|1|secondary| Fromborska|gdansk|2098980.0
Eleganckie 2 pokoje z balkonem, Gdańsk Śródmieście|Długie Ogrody|55.0|2|2020|25454.0|Mieszkanie|0|1|0|1|1|3|0|0|0|secondary| Angielska Grobla|gdansk|1399970.0
Mieszkanie 51m Wrzeszcz sprzedam|Wrzeszcz|51.0|2|2010|19608.0|Mieszkanie|0|0|1|1|1|5|0|0|0|secondary| Partyzantów 14|gdansk|1000008.0
Mieszkanie 3 pok.65m z ogrodem 150 m Gdynia Wiczlino Sokółka Zielenisz| Wiczlino |65.0|3|2017|12846.0|Mieszkanie|1|0|1|0|1|0|0|1|1|secondary| Janki Bryla|gdynia|834990.0
15 do morza   garaż, taras   3 strony świata|Orłowo|74.84|4|1936|1054.0|Mieszkanie|1|0|1|1|0|1|0|1|0|secondary| Górnośląski|gdynia|78881.36
Blisko morza, do remontu, 2 pokoje, na Stogach|Stogi|43.0|2|1974|9931.0|Mieszkanie|0|1|1|0|0|4|0|1|0|secondary| Hoża|gdansk|427033.0
Mieszkanie od zaraz, Ost. piętr, miejsce post.|Św. Wojciech|5.0|1|2023|9596.0|Mieszkanie|0|1|0|1|1|4|0|0|0|secondary| Władysława Jagiełły|gdansk|47980.0
Od zaraz, mieszkanie z księgą wieczystą, hala gar.|Łostowice|61.5|3|2023|9740.0|Mieszkanie|0|1|0|1|1|1|0|0|0|secondary| Wielkopolska|gdansk|599010.0
Mieszkanie 3 pokojowe ! Blisko Gdańsk-Śródmieście!|Orunia|73.6|3|1904|8546.0|Mieszkanie|1|0|0|0|0|0|0|0|0|secondary| Sandomierska|gdansk|628985.6
Mieszkanie 3 pokoje po remoncie do wprowadzenia|Pogórze|59.4|3|1989|10269.0|Mieszkanie|0|1|1|0|1|4|0|1|0|secondary| Metalowa|gdynia|609978.6
Nowy dom nad jeziorem Wysockim Gdańsk Osowa ul Letniskowa pompa ciepła|Osowa|120.0|6|2024|9917.0|Dom bliźniak|0|1|1|1|0||1|0|1|secondary| Letniskowa|gdansk|1190040.0
2 Pokoje I Gdańsk, Ujeścisko I Do wprowadzenia|Ujeścisko|45.4|2|2000|12533.0|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary| Piotrkowska|gdansk|568998.2
Ekskluzywny apartament z balkonem, nad Motławą|Śródmieście|95.0|3|2021|42000.0|Mieszkanie|0|1|1|1|1|3|0|0|0|secondary| Chmielna|gdansk|3990000.0
Mieszkanie w nowym apartamentowcu|Letnica|70.44|3|2021|17746.0|Mieszkanie|0|1|0|1|1|6|0|0|0|secondary| Sucha|gdansk|1250028.24
Mieszkaj i zarabiaj! Mieszkanie + suterena + ogród|Działki Leśne|7.0|3|1930|1597.0|Mieszkanie|0|0|0|1|0|1|0|1|1|secondary| Wolności|gdynia|11179.0
Atrakcyjne mieszkanie w samym sercu Gdyni|Śródmieście|76.43|3|1930|16355.0|Mieszkanie|0|1|0|1|0|1|0|1|0|secondary| 10 Lutego|gdynia|1250012.6500000001
Apartament w Śródmieściu z widokiem na Motławę|Stare Przedmieście|60.38|2|2011|18698.0|Mieszkanie|0|0|0|1|1|1|0|0|0|secondary| Toruńska|gdansk|1128985.24
Mieszkanie do wprowadzenia + garaż|Witomino|68.03|3|2001|11744.0|Mieszkanie|1|1|1|1|0|1|0|0|0|secondary| Graniczna|gdynia|798944.3200000001
Dom wolnostojący ogródek taras lokalizacja|Kiełpinek|205.0|4|2005|9707.0|Dom wolnostojący|1|1|1|1|0||0|1|1|secondary| Szczęśliwa|gdansk|1989935.0
Siedlce   Wyjątkowa nieruchomość biurowo-usługowa|Siedlce|554.5|10|1994|5230.0|Dom wolnostojący|1|0|1|1|0||0|0|0|secondary| Starodworska|gdansk|2900035.0
Apartament w środku parku! Ogród, fitness, plaża|Brzeźno|46.4|2|2023|24353.0|Mieszkanie|1|1|0|0|1|3|0|0|0|secondary| Nadmorski Dwór|gdansk|1129979.2
Komfortowe 2 pokoje blisko morza|Wyścigi / Karlikowo|72.5|2|2007|25379.0|Mieszkanie|0|1|0|1|1|1|0|1|0|secondary| Władysława Łokietka|sopot|1839977.5
Nowy apartament, winda, duży balkon|Wielki Kack|124.29|4|2024|11000.0|Mieszkanie|0|1|1|1|1|3|0|0|0|secondary| Gryfa Pomorskiego|gdynia|1367190.0
3 pokoje, duży salon, gotowe do wprowadzenia!|Ujeścisko|69.3|3|2009|10519.0|Mieszkanie|0|1|1|1|0|2|0|0|0|secondary| Guderskiego 11|gdansk|728966.7
2 pokoje, oddzielna kuchnia, po remoncie|Oksywie|51.0|2|1960|9764.0|Mieszkanie|0|0|1|1|0|1|0|1|0|secondary| Inż. J. Śmidowicza|gdynia|497964.0
Mieszkaj i zarabiaj - Twój komfort blisko Oliwy|Strzyża|134.3|5|1945|12277.0|Mieszkanie|0|1|0|0|0|1|0|1|0|secondary| Wojska Polskiego|gdansk|1648801.1
Idealny pod inwestycję najmu lub siedzibę firmy!|Wzgórze Mickiewicza|443.5|12|1996|5840.0|Dom wolnostojący|0|1|1|1|0||0|1|1|secondary| Wojskiego|gdansk|2590040.0
Dom z pięknym ogrodem, tarasem i sauną!|Łostowice|170.0|6|2016|9406.0|Dom szeregowy|1|1|1|1|0||1|0|1|secondary| null|gdansk|1599020.0
Przyjdź i zaproponuj swoją cenę ! Widok na zatokę!|Oliwa|62.5|4|1980|13584.0|Mieszkanie|0|1|0|0|1|8|0|1|0|secondary| Karpacka|gdansk|849000.0
Villa Jaśkowa Dolina   2 pok.   Apartament|Wrzeszcz|55.24|2|2023|14464.0|Mieszkanie|1|0|0|0|1|4|0|0|0|secondary| Jaśkowa Dolina|gdansk|798991.36
Dwa pokoje na sprzedaż Morena osiedle Alfa Park II|Jasień|50.37|2|2014|13877.0|Mieszkanie|0|0|1|1|1|1|0|0|0|secondary| Myśliwska|gdansk|698984.49
Piękny dom na jasieniu   duży ogród   SAUNA|Jasień|408.4|6|2001|6489.0|Dom wolnostojący|1|1|1|1|0||0|1|1|secondary| Jaworowa|gdansk|2650107.5999999996
Mieszkanie 3 pokoje, dobra lokalizacja|Cisowa|55.67|3|1980|9880.0|Mieszkanie|0|1|1|0|1|1|0|1|0|secondary| Południowa|gdynia|550019.6
Super mieszkanie dla rodziny  na Przymorzu|Przymorze|7.0|4|1973|11806.0|Mieszkanie|0|1|0|0|1|8|0|0|0|secondary| Obrońców Wybrzeża|gdansk|82642.0
Gdynia Piłsudskiego Śródmieście/Kamienna Góra|Kamienna Góra|57.76|2|1952|13833.0|Mieszkanie|0|0|1|0|1|5|0|1|0|secondary| Piłsudskiego|gdynia|798994.08
Rezerwacja|Wiczlino|88.0|4|2011|1135.0|Mieszkanie|1|0|0|0|1|3|0|0|0|secondary| Stanisława Filipkowskiego|gdynia|99880.0
Kameralna zabudowa otoczona zielenią Vivere Verde|Łostowice|65.0|2|2020|869.0|Mieszkanie|0|1|1|0|0|2|0|0|0|secondary| Niepołomicka|gdansk|56485.0
Mieszkanie jak dom z ogrodem! Bez prowizji!|Osowa|120.7|4|2018|9774.0|Mieszkanie|1|0|0|1|0|0|0|0|1|secondary| Koziorożca|gdansk|1179721.8
4-pokojowe mieszkanie z pięknym widokiem|Suchanino|63.56|4|1982|11800.0|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary| Powstańców Warszawskich|gdansk|750008.0
3 pokoje 74 m2 Gdańsk Wrzeszcz ul. Aldony|Wrzeszcz|74.0|3|2002|11878.0|Mieszkanie|0|0|0|0|0|3|0|1|0|secondary| Aldony|gdansk|878972.0
Dwa Pokoje   Parter   Blisko do SKM|Chylonia|40.06|2|1980|11108.0|Mieszkanie|0|0|0|0|0|0|0|0|0|secondary| Helska|gdynia|444986.48000000004
Gdańsk Maćkowy Nowy wykończony Bliźniak|Maćkowy|186.0|6|2022|10484.0|Dom bliźniak|1|1|1|1|0||0|1|1|secondary| Miłocińska|gdansk|1950024.0
Gdańsk Śródmieście 3 minuty od Motławy Chmielna|Śródmieście|45.37|2|2016|20057.0|Mieszkanie|1|1|1|1|1|1|1|1|1|secondary| Chmielna|gdansk|909986.09
Mieszkanie na Morenie|Morena|71.0|3|2012|16197.0|Mieszkanie|1|1|1|1|1|13|0|1|0|secondary| Piecewska 35|gdansk|1149987.0
Luksusowy, inteligentny dom z jacuzzi, Bez pośredników, bez prowizji|Mały Kack|195.0|4|2020|20949.0|Dom szeregowy|1|0|1|1|0||1|0|1|secondary| kameralna 7/3|gdynia|4085055.0
Rozpatrzymy każdą propozycję cenową!|Śródmieście|46.47|2|1930|1377.0|Mieszkanie|0|0|1|0|0|0|0|1|0|secondary| null|gdynia|63989.189999999995
Letnica   15 Piętro Widok na Morze  |Letnica|54.0|3|2021|20370.0|Mieszkanie|0|1|1|1|1|15|0|0|0|secondary| Sucha|gdansk|1099980.0
Wygodne, słoneczne 2 w 1 Gdańsk Osowa|Osowa|118.91|5|2002|10933.0|Mieszkanie|1|1|0|1|0|0|0|1|0|secondary| Tezeusza|gdansk|1300043.03
Nowe Mieszkanie - 2 pokoje / Miejsce postojowe w cenie!!!!|Kowale|40.66|2|2023|11928.0|Mieszkanie|0|1|1|1|1|3|0|0|0|secondary| Szumilas 14|gdansk|484992.48
Nadmorski Dwór - I etap, 2 duże tarasy|Brzeźno|79.9|3|2009|42553.0|Mieszkanie|0|1|0|1|1|3|0|0|0|secondary| Nadmorski Dwór|gdansk|3399984.7
Kup mieszkanie w niecodziennie niskiej cenie!|Rudniki|27.6|2|1983|11591.0|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary| Rzęsna|gdansk|319911.60000000003
Kawalerka przy Śląskiej w Gdyni.|Działki Leśne|25.35|1|1990|16529.0|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary| Śląska|gdynia|419010.15
Komfortowe 3 pokoje - Bernadowo Park Gdynia|Mały Kack|59.18|3|2020|17996.0|Mieszkanie|0|0|0|1|1|0|0|0|0|secondary| Kameralna|gdynia|1065003.28
Inwestycyjne cacko - 2 pokoje na Waterlane Vintage|Śródmieście|29.0|2|2021|24000.0|Mieszkanie|0|0|0|1|1|4|0|0|0|secondary| Wałowa|gdansk|696000.0
Nietuzinkowe - tylko u nas!|Kowale|217.55|6|2005|9193.0|Mieszkanie|1|1|0|1|0|1|0|0|1|secondary| Heliosa|gdansk|1999937.1500000001
Wykończone 2 pok. w zrewitalizowanej inwestycji|Śródmieście|36.0|2|2021|22200.0|Mieszkanie|0|0|0|0|1|4|0|0|0|secondary| Wałowa|gdansk|799200.0
Gdynia Chylonia, mieszkanie 61,01 m ² z 4 pokojami na sprzedaż|Chylonia|61.01|4|1936|7958.0|Mieszkanie|1|0|0|0|0|1|0|1|0|secondary| Krokowska|gdynia|485517.57999999996
Piękna kawalerka w Sopocie|Górny Sopot|30.0|1|1969|19333.0|Mieszkanie|0|0|0|0|1|2|0|0|0|secondary| null|sopot|579990.0
Dom - Gdynia Obłuże, 2 250 000 zł|Obłuże|377.65|12|1995|5958.0|Dom wolnostojący|1|1|1|0|0||0|0|0|secondary| null|gdynia|2250038.6999999997
Apartament w inwestycji Nowe Orłowo!|Orłowo|42.36|2|2016|30571.0|Mieszkanie|0|1|0|1|1|2|0|0|0|secondary| Józefa Kiedronia|gdynia|1294987.56
Rodzinny dom na dużej działce! Ogród, warsztat...|Osowa|195.17|6|2005|10145.0|Dom wolnostojący|1|0|0|0|0||0|0|0|secondary| Jutrzenki|gdansk|1979999.65
Piękna działka ROD z komfortowym domem|Jasień|40.0|3|1980|4975.0|Dom rekreacyjny|0|1|0|1|0||0|1|1|secondary| Kartuska|gdansk|199000.0
Piękny dom w otulinie lasu w wysokim standardzie|Mały Kack|195.0|5|2019|21000.0|Dom szeregowy|0|0|0|0|0||0|0|0|secondary| null|gdynia|4095000.0
Piękne mieszkanie w  idealnej lokalizacji|Przymorze|45.0|2|1970|14444.0|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary| Prezydenta Lecha Kaczyńskiego|gdansk|649980.0
Śródmieście przy Motławie parter loft inwestycyjne|Stare Przedmieście|58.4|3|2020|20531.0|Mieszkanie|0|0|1|1|1|0|0|0|1|secondary| Toruńska|gdansk|1199010.4
Okazja inwestycyjna w sercu Sopotu|Dolny Sopot|600.0|10|1908|36500.0|Dom kamienica|0|1|0|0|0||0|0|0|secondary| Bohaterów Monte Cassino|sopot|21900000.0
Rezydencja Marina   Przy Parku Reagana|Przymorze|83.0|2|2014|23494.0|Mieszkanie|1|1|1|0|1|1|0|0|0|secondary| Czarny Dwór|gdansk|1950002.0
130m apartament z pięknym widokiem|Wrzeszcz|130.0|4|2011|19154.0|Mieszkanie|0|0|0|1|1|11|0|0|0|secondary| Partyzantów|gdansk|2490020.0
Przestronne mieszkanie, 5 minut spacerem od plaży|Dolny Sopot|69.0|3|1957|20145.0|Mieszkanie|0|0|0|0|0|0|0|1|1|secondary| Książąt Pomorskich|sopot|1390005.0
Doskonała kawalerka na inwestycję|Dąbrowa|34.0|1|2000|13088.0|Mieszkanie|0|0|0|1|0|1|0|0|0|secondary| Lubczykowa|gdynia|444992.0
Apartament 3-Pokojowy Blisko Morza|Wrzeszcz|75.76|3|2019|16816.0|Mieszkanie|0|1|1|1|1|1|0|0|0|secondary| Grudziądzka|gdansk|1273980.1600000001
Dwie działki zabudowane domem-na działalność!|Karwiny|331.0|5|1998|391.0|Dom wolnostojący|0|0|0|1|0|1|0|1|0|secondary| null|gdynia|129421.0
Mieszkanie 4 pok. w stanie deweloperskim|Łostowice|69.89|4|2023|9300.0|Mieszkanie|0|1|0|1|1|3|0|0|0|secondary| Wielkopolska|gdansk|649977.0
Mieszkanie 3 pok. w stanie deweloperskim|Łostowice|66.14|3|2023|9828.0|Mieszkanie|0|1|0|1|1|5|0|0|0|secondary| Wielkopolska|gdansk|650023.92
Doskonała lokalizacja, 10 min spacerem od plaży|Kamienna Góra|37.0|2|1930|16189.0|Mieszkanie|0|0|0|0|0||0|1|1|secondary| Juliusza Słowackiego|gdynia|598993.0
Sprzedam działki inwestycyjne w Orłowie|Orłowo|555.0|50|1990|10811.0|Dom wolnostojący|0|0|0|0|0||0|0|0|secondary| Limbowa|gdynia|6000105.0
3 pokojowe mieszkanie z dużym ogrodem i garażem|Witomino|65.0|3|1965|11538.0|Mieszkanie|1|0|0|1|0|1|0|1|1|secondary| Pańska|gdynia|749970.0
Sopockie Kamieniczki: 2-pokojowe Mieszkanie|Wyścigi / Karlikowo|45.6|2|2016|26096.0|Mieszkanie|0|1|0|1|0|1|0|0|0|secondary| Władysława Łokietka|sopot|1189977.6
Piękne, klimatyczne mieszkanie w kamienicy|Dolny Sopot|81.0|2|1920|23395.0|Mieszkanie|0|0|1|1|0|1|0|1|0|secondary| Fryderyka Chopina|sopot|1894995.0
Unikatowy loft  blisko morza, Sopot Dolny|Dolny Sopot|90.0|3|1923|15000.0|Mieszkanie|0|0|0|0|0|2|0|1|0|secondary| Dr. Aleksandra Majkowskiego|sopot|1350000.0
Świeżo po remoncie, super lokalizacja 2 pok. Chełm|Chełm|53.5|2|1988|1168.0|Mieszkanie|0|0|1|0|0|1|0|1|0|secondary| Marcina Dragana|gdansk|62488.0
Gdańsk Osowa ul. Chełmińska|Osowa|226.0|5|2019|6416.0|Dom bliźniak|1|0|1|1|0||0|0|0|secondary| Chełmińska|gdansk|1450016.0
3 pokojowe Gdynia Chwarzno wysoki standard|Wiczlino|56.98|3|2018|1295.0|Mieszkanie|1|1|1|1|1|1|0|1|0|secondary| Bryla Janki|gdynia|73789.09999999999
Apartament z podwójnym miejscem w marinie|Sobieszewo|37.8|2|2023|28000.0|Mieszkanie|0|0|0|0|1|0|0|0|0|secondary| Łąkowa|gdansk|1058400.0
Spacerem na plażę i kawę na Monte Cassino|Górny Sopot|63.0|2|2000|20619.0|Mieszkanie|0|1|0|1|0|2|0|1|0|secondary| Armii Krajowej|sopot|1298997.0
W sercu Gdyni   2 pokoje   balkon|Śródmieście|49.37|2|1950|12151.0|Mieszkanie|0|1|0|1|0|4|0|1|0|secondary| Władysława Iv|gdynia|599894.87
Urządzone nowe mieszkanie Redłowo|Redłowo|86.56|4|2021|25416.0|Mieszkanie|0|1|0|0|1|1|0|0|0|secondary| Legionów|gdynia|2200008.96
Reprezentacyjny penthouse z niesamowitym tarasem|Redłowo|105.14|4|2021|36998.0|Mieszkanie|0|1|0|1|1|6|0|0|0|secondary| Legionów|gdynia|3889969.72
Sprzedam mieszkanie 3-pok. z garażem, ul. Cedrowa|Ujeścisko|48.6|3|2015|1294.0|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary| Cedrowa|gdansk|62888.4
Słoneczne mieszkanie z ogródkiem|Mały Kack|41.5|2|2011|18048.0|Mieszkanie|0|0|0|0|0|0|0|0|0|secondary| Strzelców|gdynia|748992.0
Dom Szeregowy w Centrum Wrzeszcza  Własna Strzecha|Wrzeszcz|67.0|5|1905|14776.0|Dom szeregowy|0|0|1|0|0||0|1|1|secondary| Własna Strzecha|gdansk|989992.0
Na sprzedaż 3 pokojowe mieszkanie Sopot|Górny Sopot|46.16|3|1970|14081.0|Mieszkanie|0|1|1|0|1|10|0|1|0|secondary| 23 Marca|sopot|649978.96
Mieszkanie - Sopot Dolny|Dolny Sopot|48.41|2|1960|20244.0|Mieszkanie|0|1|1|1|0|1|0|1|0|secondary| Mieszka I|sopot|980012.0399999999
Funkcjonalne mieszkanie blisko centrum oraz morza!|Śródmieście|49.37|2|1956|12335.0|Mieszkanie|0|1|0|0|0|4|0|1|0|secondary| Władysława Iv|gdynia|608978.95
Dom szeregowy w Gdańsku ul. Migdałowa|Ujeścisko|112.55|5|2021|11995.0|Dom szeregowy|1|0|1|1|0||1|0|1|secondary| Migdałowa|gdansk|1350037.25
35 pokojowy hostel / sala bankietowa|Siedlce|800.0|35|1985|6875.0|Dom wolnostojący|0|1|0|1|0||0|0|1|secondary| Kartuska|gdansk|5500000.0
Przestronne mieszkanie dla rodziny|Orunia Górna|61.27|3|1980|11017.0|Mieszkanie|0|1|0|0|0|3|0|0|0|secondary| Uranowa|gdansk|675011.5900000001
Wysoki standard w stylu modern classic - Chełm!|Chełm|76.8|4|1995|12891.0|Mieszkanie|0|1|0|0|0|0|0|1|0|secondary| Jana Styp-rekowskiego|gdansk|990028.7999999999
Sopot Dolny   Gotowiec inwestycyjny   4 mieszkania|Dolny Sopot|93.6|4|1905|1815.0|Mieszkanie|1|0|0|0|0|3|0|0|0|secondary| Podjazd|sopot|169884.0
Mieszkanie 3pok.Na kameralnym osiedlu Matarnia.| Matarnia - Rębiechowo|55.3|3|1999|12477.0|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary| ELEWÓW|gdansk|689978.1
Mieszkanie inwestycyjne! Blisko morza! 3 pokoje|Wyścigi / Karlikowo|57.0|3|1994|19000.0|Mieszkanie|0|1|0|0|0|3|0|1|0|secondary| Bitwy Pod Płowcami|sopot|1083000.0
3 pokoje z halą garażową na nowoczesnym osiedlu!|Kokoszki|61.5|3|2009|10244.0|Mieszkanie|1|1|0|1|1|4|0|0|0|secondary| Kartuska|gdansk|630006.0
Apartament na Śródmieściu z basenem|Stare Przedmieście|46.0|2|2018|25217.0|Mieszkanie|0|1|1|1|1|4|0|1|0|secondary| Chmielna|gdansk|1159982.0
Morena, inwestycyjnie 6 pokoi|Morena|7.0|6|1990|10403.0|Mieszkanie|0|0|0|0|0|0|0|0|0|secondary| Budapesztańska|gdansk|72821.0
Mieszkanie na sprzedaż, Gdańsk, Ujeścisko, 3 pokoje, 80,96 mkw, za 899990 zł|Ujeścisko|80.96|3|2001|11116.0|Mieszkanie|1|1|1|1|0|0|0|0|0|secondary| Przemyska|gdansk|899951.36
Mieszkanie - Gdynia Śródmieście|Śródmieście|55.74|2|2023|17761.0|Mieszkanie|0|0|0|1|1|1|0|0|0|secondary| Świętego Piotra|gdynia|989998.14
Dom wolnostojący z ogrodem|Pogórze|180.0|5|2018|13000.0|Dom wolnostojący|1|0|0|1|0||0|0|1|secondary| null|gdynia|2340000.0
Apartament w centrum Gdyni, blisko plaży|Śródmieście|43.93|2|2023|20715.0|Mieszkanie|0|1|0|1|1|8|0|0|0|secondary| Świętego Piotra|gdynia|910009.95
Eleganckie 3 pokoje w Sopocie Dolnym|Dolny Sopot|81.0|3|1920|23333.0|Mieszkanie|0|0|0|1|0|1|0|1|0|secondary| Fryderyka Chopina|sopot|1889973.0
Mieszkanie na sprzedaż, Gdynia, Wiczlino, 3 pokoje, 124,71 mkw, za 1200000 zł|Wiczlino|124.71|3|2016|96.0|Mieszkanie|0|1|1|1|1|3|0|0|0|secondary| Zaruskiego|gdynia|11972.16
2 Pokoje I świetna lokalizacja I Inwestycyjna|Górny Sopot|47.8|2|1972|1776.0|Mieszkanie|0|0|0|0|1|1|0|0|0|secondary| Artura Grottgera|sopot|84892.79999999999
Apartament w centrum Gdyni, blisko plaży|Śródmieście|54.96|2|2023|18923.0|Mieszkanie|0|1|0|1|1|7|0|0|0|secondary| Świętego Piotra|gdynia|1040008.08
Mieszkanie z potencjałem   Wrzeszcz|Wrzeszcz|131.3|3|1965|6085.0|Mieszkanie|0|0|1|1|0|0|0|1|0|secondary| Sochaczewska|gdansk|798960.5000000001
Funkcjonalne ładne 3 pokoje, 2 miejsca w hali|Łostowice|70.5|3|2016|11500.0|Mieszkanie|0|1|0|1|1|1|0|0|0|secondary| Niepołomicka|gdansk|810750.0
Mieszkanie w sercu Sopotu|Górny Sopot|48.5|2|1970|17505.0|Mieszkanie|0|1|1|0|1|1|0|1|0|secondary| Artura Grottgera|sopot|848992.5
Apartament letnica   niesamowity widok   16 piętro|Letnica|93.0|3|2021|22581.0|Mieszkanie|0|1|1|1|1|16|0|0|0|secondary| Sucha|gdansk|2100033.0
Dom gdynia blisko centrum 108 m2!|Chylonia|108.0|4|1980|4306.0|Dom wolnostojący|1|0|0|0|0||0|1|0|secondary| Śliwkowa|gdynia|465048.0
Usługowo - mieszkalna działka z domem.|Chylonia|100.0|4|1950|6000.0|Dom wolnostojący|1|0|1|1|0||0|1|1|secondary| Północna|gdynia|600000.0
