title|district|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market|street|city|overall_price
Sprzedam słoneczne mieszkanie 3-pokojowe.|Maćkowy|53.0|3|2017|11679.0|Mieszkanie|0|1|1|1|1|2|1|0|0|secondary| Starogardzka 63|gdansk|618987.0
3 pokoje w centrum wrzeszcza!|Wrzeszcz|65.7|3|1941|12005.0|Mieszkanie|0|0|0|1|0|2|0|1|1|secondary| Gen. Józefa Hallera|gdansk|788728.5
3 mieszkania-DOM*Taras*1km SKM*7min Centrum|Mały Kack|171.0|6|1980|7544.0|Dom wolnostojący|0|0|0|0|0||0|0|0|secondary| Sandomierska|gdynia|1290024.0
Od ręki* Niskie oplaty*Centrum*Nowa cena|Górny Sopot|79.0|3|1910|1639.0|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary| Sikorskiego|sopot|129481.0
Centrum*Świeżo po remoncie*Duży balkon*Od ręki|Śródmieście|53.0|2|1963|1413.0|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary| Seredyńskiego|gdansk|74889.0
Projekt architekta* Umeblowane*Balkon+ 2xParking|Górny Sopot|87.0|4|1910|19253.0|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary| null|sopot|1675011.0
Słoneczne trzy pokoje z ogrodem ul. Guderskiego|Zakoniczyn|53.4|3|2008|12154.0|Mieszkanie|0|0|1|1|0|0|1|1|1|secondary| Guderskiego Konrada|gdansk|649023.6
Wysoki standard - nowy dom przy lesie Gdynia|Dąbrowa|357.7|5|1990|640.0|Dom bliźniak|0|0|0|0|0||0|0|0|secondary| Koperkowa|gdynia|228928.0
Słoneczne z pięknym widokiem   Możliwy kredytu|Zakoniczyn|59.53|2|2006|10583.0|Mieszkanie|0|1|0|0|0|2|0|1|0|secondary| Konstantego Bergiela|gdansk|630005.99
Trzy pokoje nad morzem po kapitalnym remoncie|Przymorze|38.0|3|1970|15763.0|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary| Piastowska 100|gdansk|598994.0
Przestronne trzypokojowe mieszkanie przy ul. Dywiz|Zaspa|74.34|3|2018|20043.0|Mieszkanie|1|0|1|1|1|3|0|1|0|secondary| Dywizjonu 303|gdansk|1489996.62
Mieszkanie nad morzem|Kamienna Góra|60.0|3|1950|14167.0|Mieszkanie|0|1|1|1|0|3|0|1|0|secondary| Necla Augustyna|gdynia|850020.0
Gdynia Orłowo Rivus - mieszkanie 3 pokoje|Orłowo|74.0|3|2017|23649.0|Mieszkanie|1|1|0|1|1|1|0|0|0|secondary| Bernadowska|gdynia|1750026.0
Mieszkanie - Gdynia Obłuże 53m z widokiem na port i sporą piwnicą|Obłuże|53.0|3|1980|1113.0|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary| Unruga 70|gdynia|58989.0
Żabianka, 4 pokoje z widokiem na morze|Żabianka|66.7|4|1975|12399.0|Mieszkanie|0|0|0|0|0|7|0|1|0|secondary| Pomorska 15A|gdansk|827013.3
Mieszkanie - Gdynia Mały Kack, Wielkopolska 296|Mały Kack|71.46|3|2020|16653.0|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary| Wielkopolska 296|gdynia|1190023.38
Przytulne, jasne, drewniana podłoga, balkon|Łostowice|65.6|3|2009|9909.0|Mieszkanie|0|1|1|0|0|1|0|0|0|secondary| Wielkopolska|gdansk|650030.3999999999
Apartamentowiec  Wrzeszcz  Miejsce w hali   balkon|Wrzeszcz|53.0|2|2013|16917.0|Mieszkanie|0|1|1|1|1|1|0|0|0|secondary| Bolesława Chrobrego|gdansk|896601.0
Centrum Wrzeszcza   Prywatny parking   Od zaraz|Wrzeszcz|39.4|2|1964|15203.0|Mieszkanie|0|1|1|0|0|1|0|1|0|secondary| Stanisława Wyspiańskiego|gdansk|598998.2
Dwa niezależne mieszkania we Wrzeszczu|Wreszcz|154.0|9|1920|15370.0|Mieszkanie|0|0|0|1|0|1|0|0|0|secondary| Jarowa|gdansk|2366980.0
Rezerwacja do 13. maja. Sprzedam mieszkanie 4-pokojowe|Chełm|71.7|4|1989|10446.0|Mieszkanie|0|1|0|0|0|1|0|1|0|secondary| Więckowskiego 8|gdansk|748978.2000000001
Dogodna Lokalizacja   Balkon   Piwnica|Morena|76.9|4|2010|14291.0|Mieszkanie|1|0|0|0|1|0|0|0|0|secondary| Myśliwskie Wzgórze|gdansk|1098977.9000000001
Duży ogródek    20 min do morza|Letnica|56.05|3|2023|13000.0|Mieszkanie|1|0|0|0|1|0|0|0|0|secondary| Letnicka|gdansk|728650.0
