title|address|price[PLN]|area[m^2]|rooms|floor|market|build year|parking|building_type
Mieszkanie Gdańsk|Ujeścisko-Łostowice, Gdańsk, pomorskie|398 000 zł|39 m²|2|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024
Nowe mieszkanie ul. Malinowa|Malinowa, Gdańsk, pomorskie||39,90 m²|2|parter|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie ul. Malinowa|Malinowa, Gdańsk, pomorskie||60,04 m²|3|1|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie ul. Malinowa|Malinowa, Gdańsk, pomorskie||50,65 m²|3|parter|pierwotny (oferta dewelopera)|||apartamentowiec
Mieszkanie Gdańsk|Ujeścisko-Łostowice, Gdańsk, pomorskie|366 055 zł|33 m²|2|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024 (blok w nowym budownictwie)
Mieszkanie Gdańsk|Ujeścisko-Łostowice, Gdańsk, pomorskie|537 365 zł|62,85 m²|4|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024
Mieszkanie Gdańsk|Jasień, Gdańsk, pomorskie|575 000 zł|59,80 m²|3|4|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2023|w garażu podziemnym|blok mieszkalny; rok budowy: 2023
Mieszkanie Gdańsk|Orunia-Św. Wojciech-Lipce, Gdańsk, pomorskie|381 310 zł|37 m²|2|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024 (blok w nowym budownictwie)
Nowe mieszkanie Stogi, ul. Zakole 7|Zakole 7, Stogi, Gdańsk, pomorskie|639 900 zł|44,23 m²|2|1|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Stogi, ul. Zakole 7|Zakole 7, Stogi, Gdańsk, pomorskie|779 900 zł|62,36 m²|3|1|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Stogi, ul. Zakole 7|Zakole 7, Stogi, Gdańsk, pomorskie|999 900 zł|89,14 m²|4|parter|pierwotny (oferta dewelopera)|||apartamentowiec
Mieszkanie Gdańsk|Orunia-Św. Wojciech-Lipce, Gdańsk, pomorskie|565 550 zł|70,70 m²|4|3|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024 (blok w nowym budownictwie)
Mieszkanie Gdańsk|Jasień, Gdańsk, pomorskie|665 200 zł|71 m²|4|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2023|w garażu podziemnym|blok mieszkalny; rok budowy: 2023 (blok w nowym budownictwie)
Mieszkanie Gdańsk|Ujeścisko-Łostowice, Gdańsk, pomorskie|480 540 zł|50,85 m²|3|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024 (blok w nowym budownictwie)
Mieszkanie Gdańsk|Ujeścisko-Łostowice, Gdańsk, pomorskie|499 980 zł|56,50 m²|3|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024
Apartament, ul. Sienna Grobla|Sienna Grobla, Stare Miasto, Gdańsk, pomorskie|950 000 zł|37 m²|2|2|wtórny|2023|w garażu podziemnym|apartamentowiec; rok budowy: 2023
Mieszkanie, ul. Zeusa|Zeusa, Osowa, Gdańsk, pomorskie|647 000 zł|57 m²|3|3|wtórny|2011|-|blok mieszkalny; rok budowy: 2011
Nowe mieszkanie Ujeścisko, ul. Przemyska 29|Przemyska 29, Ujeścisko, Gdańsk, pomorskie||88,03 m²|2|4|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Ujeścisko, ul. Przemyska 29|Przemyska 29, Ujeścisko, Gdańsk, pomorskie||60 m²|2|4|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Ujeścisko, ul. Przemyska 29|Przemyska 29, Ujeścisko, Gdańsk, pomorskie||63,98 m²|3|2|pierwotny (oferta dewelopera)|||apartamentowiec
Apartament, ul. Cedrowa|Cedrowa, Ujeścisko, Gdańsk, pomorskie|619 000 zł|48,60 m²|2|1|wtórny|2015|w garażu podziemnym|apartamentowiec; rok budowy: 2015
Mieszkanie, ul. Kozia|Kozia, Śródmieście, Gdańsk, pomorskie|1 180 000 zł|53 m²|2|parter|wtórny|1950|-|kamienica; rok budowy: 1950 (blok w starym budownictwie)
Mieszkanie Gdańsk|Łostowice, Gdańsk, pomorskie|615 026 zł|59,92 m²|4|3|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|tak|blok mieszkalny
Mieszkanie Gdańsk|Łostowice, Gdańsk, pomorskie|722 537 zł|68,12 m²|4|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|tak|blok mieszkalny
Mieszkanie, ul. Trakt św. Wojciecha|Trakt św. Wojciecha, Orunia, Gdańsk, pomorskie|580 000 zł|52,50 m²|3|2|wtórny|1920|przynależne na ulicy|kamienica; rok budowy: 1920 (blok w starym budownictwie)
Mieszkanie, ul. Diany|Diany, Osowa, Gdańsk, pomorskie|2 470 000 zł|139,18 m²|3|4|wtórny|2020|w garażu podziemnym|blok mieszkalny; rok budowy: 2020
Apartament, ul. Chmielna|Chmielna, Gdańsk, pomorskie|4 500 000 zł|152,01 m²|4|5|wtórny|2016|w garażu podziemnym|apartamentowiec; rok budowy: 2016
Mieszkanie, ul. Jaśkowa Dolina|Jaśkowa Dolina, Wrzeszcz, Gdańsk, pomorskie|1 380 000 zł|177,14 m²|6|2|wtórny|1910|przynależne na ulicy|kamienica; rok budowy: 1910
Mieszkanie, ul. Obrońców Wybrzeża|Obrońców Wybrzeża, Przymorze, Gdańsk, pomorskie|699 000 zł|33,27 m²|1|11|wtórny|2019|przynależne na ulicy|rok budowy: 2019
Apartament, ul. Magellana|Magellana, Gdańsk, pomorskie|1 250 000 zł|53,25 m²|2|12|wtórny|2022|przynależne na ulicy|apartamentowiec; rok budowy: 2022
Mieszkanie, ul. Toruńska|Toruńska, Śródmieście, Gdańsk, pomorskie|8 950 000 zł|212,40 m²|3|7|wtórny|2012|w garażu podziemnym|apartamentowiec; rok budowy: 2012
Apartament, ul. Wypoczynkowa|Wypoczynkowa, Jelitkowo, Gdańsk, pomorskie|3 300 000 zł|86,70 m²|3|1|wtórny|2009|w garażu podziemnym|apartamentowiec; rok budowy: 2009 (blok w nowym budownictwie)
Mieszkanie, ul. Jabłoniowa|Jabłoniowa, Jasień, Gdańsk, pomorskie|599 900 zł|57,80 m²|3|3|wtórny|2012|w garażu podziemnym|blok mieszkalny; rok budowy: 2012
Mieszkanie, ul. Bażyńskiego|Bażyńskiego, Oliwa, Gdańsk, pomorskie|1 459 451 zł|72,43 m²|3|2|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024
Mieszkanie, ul. Kaczyńskiego|Kaczyńskiego, Przymorze, Gdańsk, pomorskie|1 527 000 zł|88,30 m²|4|1|wtórny|2007|parking publiczny / na ulicy|rok budowy: 2007 (blok w nowym budownictwie)
Mieszkanie, ul. Kartuska|Kartuska, Kokoszki, Gdańsk, pomorskie|635 000 zł|64,10 m²|3|parter|wtórny|2011|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 2011
Mieszkanie, ul. Współczesna|Współczesna, Borkowo, Gdańsk, pomorskie|889 000 zł|84,13 m²|4|2|wtórny|2012|w garażu podziemnym|blok mieszkalny; rok budowy: 2012
Mieszkanie Gdańsk|Łostowice, Gdańsk, pomorskie|596 789 zł|63,33 m²|4|3|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2023|tak|blok mieszkalny; rok budowy: 2023
Mieszkanie Gdańsk|Suchanino, Gdańsk, pomorskie|794 260 zł|48,05 m²|3|5|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2025|tak|blok mieszkalny; rok budowy: 2025
Mieszkanie, ul. Potęgowska|Potęgowska, Jasień, Gdańsk, pomorskie|599 000 zł|50,60 m²|3|1|wtórny|2017|przynależne na ulicy|blok mieszkalny; rok budowy: 2017
Mieszkanie, ul. Kaczyńskiego|Kaczyńskiego, Przymorze, Gdańsk, pomorskie|1 090 000 zł|48,60 m²|2|7|wtórny|2023|garaż wolnostojący|blok mieszkalny; rok budowy: 2023
Mieszkanie, ul. Borkowska|Borkowska, Łostowice, Gdańsk, pomorskie|756 749 zł|74,17 m²|4|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2025|tak|blok mieszkalny; rok budowy: 2025
Apartament Gdańsk|Letnica, Gdańsk, pomorskie|684 684 zł|51,48 m²|2|-|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|apartamentowiec; rok budowy: 2024
Mieszkanie Gdańsk|Siedlce, Gdańsk, pomorskie|987 732 zł|61,11 m²|4|3|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2025|tak|blok mieszkalny; rok budowy: 2025
Mieszkanie Gdańsk|Siedlce, Gdańsk, pomorskie|1 037 328 zł|67,46 m²|4|5|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2025|tak|blok mieszkalny; rok budowy: 2025
Mieszkanie Gdańsk|Łostowice, Gdańsk, pomorskie|588 090 zł|57,79 m²|4|4|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2023|tak|blok mieszkalny; rok budowy: 2023
Mieszkanie, ul. Gdańca|Gdańca, Oliwa, Gdańsk, pomorskie|629 000 zł|54 m²|3|3|wtórny|1983|przynależne na ulicy|blok mieszkalny; rok budowy: 1983 (blok w starym budownictwie)
Mieszkanie, ul. Płocka|Płocka, Ujeścisko, Gdańsk, pomorskie|630 000 zł|62 m²|3|2|wtórny|1994|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1994
Nowe mieszkanie Ujeścisko, ul. Przemyska|Przemyska, Ujeścisko, Gdańsk, pomorskie||91,78 m²|4|1|pierwotny (oferta dewelopera)|||blok mieszkalny
Nowe mieszkanie Ujeścisko, ul. Przemyska|Przemyska, Ujeścisko, Gdańsk, pomorskie||83,32 m²|4|4|pierwotny (oferta dewelopera)|||blok mieszkalny
Nowe mieszkanie Ujeścisko, ul. Przemyska|Przemyska, Ujeścisko, Gdańsk, pomorskie||84,17 m²|4|4|pierwotny (oferta dewelopera)|||blok mieszkalny
Mieszkanie|Zamiejska, Chełm, Gdańsk, pomorskie|590 000 zł|49,50 m²|2|1|wtórny|1991|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1991
Mieszkanie, ul. Szczecińska|Szczecińska, Przymorze, Gdańsk, pomorskie|1 289 000 zł|68,21 m²|3|parter|wtórny|2017|w garażu podziemnym|rok budowy: 2017
Mieszkanie, ul. Świętokrzyska|Świętokrzyska, Orunia Górna, Gdańsk, pomorskie|739 000 zł|61,75 m²|3|parter|wtórny|2017|garaż|blok mieszkalny; rok budowy: 2017 (blok w nowym budownictwie)
Mieszkanie, ul. Chłopska|Chłopska, Żabianka, Gdańsk, pomorskie|1 149 000 zł|61,70 m²|3|7||2010|w garażu podziemnym|blok mieszkalny; rok budowy: 2010
Nowe mieszkanie Wrzeszcz Górny, ul. Jaśkowa Dolina 83CD|Jaśkowa Dolina 83CD, Wrzeszcz Górny, Gdańsk, pomorskie|1 446 746 zł|89,86 m²|5|3|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Wrzeszcz Górny, ul. Jaśkowa Dolina 83CD|Jaśkowa Dolina 83CD, Wrzeszcz Górny, Gdańsk, pomorskie|1 095 502 zł|71,48 m²|4|parter|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Wrzeszcz Górny, ul. Jaśkowa Dolina 83CD|Jaśkowa Dolina 83CD, Wrzeszcz Górny, Gdańsk, pomorskie|1 150 828 zł|71,48 m²|4|2|pierwotny (oferta dewelopera)|||apartamentowiec
Mieszkanie Gdańsk|Lipce, Gdańsk, pomorskie|636 848 zł|68,90 m²|4|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|tak|blok mieszkalny; rok budowy: 2024
Mieszkanie, ul. Piecewska|Piecewska, Składy, Gdańsk, pomorskie|1 150 000 zł|70,40 m²|3|13|wtórny|2022|w garażu podziemnym|rok budowy: 2022 (blok w nowym budownictwie)
Mieszkanie, ul. Asnyka|Asnyka, Oliwa, Gdańsk, pomorskie|1 490 000 zł|67 m²|3|parter|wtórny|1896|w garażu podziemnym|kamienica; rok budowy: 1896 (blok w starym budownictwie)
Apartament Gdańsk|Letnica, Gdańsk, pomorskie|1 162 287 zł|87,39 m²|4|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|apartamentowiec; rok budowy: 2024
Apartament Gdańsk|Wyspa Sobieszewska, Gdańsk, pomorskie|483 000 zł|35,77 m²|2|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2023|przynależne na terenie ogrodzonym|apartamentowiec; rok budowy: 2023
Mieszkanie, ul. Borkowska|Borkowska, Łostowice, Gdańsk, pomorskie|567 965 zł|55,91 m²|4|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2025|tak|blok mieszkalny; rok budowy: 2025
Nowe mieszkanie Letnica, ul. Letnicka 1|Letnicka 1, Letnica, Gdańsk, pomorskie||87,72 m²|4|1|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Letnica, ul. Letnicka 1|Letnicka 1, Letnica, Gdańsk, pomorskie||87,69 m²|4|2|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Letnica, ul. Letnicka 1|Letnicka 1, Letnica, Gdańsk, pomorskie||95,55 m²|4|3|pierwotny (oferta dewelopera)|||apartamentowiec
Mieszkanie, ul. Czerwony Dwór|Czerwony Dwór, Przymorze, Gdańsk, pomorskie|765 000 zł|60 m²|3|10|wtórny|1980|garaż wolnostojący|blok mieszkalny; rok budowy: 1980 (blok w starym budownictwie)
Mieszkanie, ul. Sucha|Sucha, Letnica, Gdańsk, pomorskie|1 399 000 zł|97,92 m²|4|6|wtórny|2021|w garażu podziemnym|blok mieszkalny; rok budowy: 2021
Mieszkanie Gdańsk|Siedlce, Gdańsk, pomorskie|1 029 834 zł|64,15 m²|4|4|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|tak|blok mieszkalny
Mieszkanie, ul. Sztormowa|Sztormowa, Żabianka, Gdańsk, pomorskie|579 000 zł|31 m²|2|2|wtórny|1975|-|blok mieszkalny; rok budowy: 1975
Mieszkanie, ul. Grota-Roweckiego|Grota-Roweckiego, Siedlce, Gdańsk, pomorskie|998 000 zł|61,59 m²|3|2|wtórny|2019|garaż wolnostojący|blok mieszkalny; rok budowy: 2019
Mieszkanie, ul. Porębskiego|Porębskiego, Zakoniczyn, Gdańsk, pomorskie|577 000 zł|48 m²|2|2|wtórny|2011|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 2011
Mieszkanie, ul. Więckowskiego|Więckowskiego, Chełm, Gdańsk, pomorskie|560 000 zł|50 m²|2|2||-|-|blok mieszkalny
Mieszkanie, ul. Marusarzówny|Marusarzówny, Gdańsk, pomorskie|799 000 zł|73,40 m²|4|8|wtórny|1982|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1982
Apartament Gdańsk|Wyspa Sobieszewska, Gdańsk, pomorskie|485 700 zł|22,59 m²|1|2|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2023|przynależne na terenie ogrodzonym|apartamentowiec; rok budowy: 2023
Apartament Gdańsk|Letnica, Gdańsk, pomorskie|711 600 zł|47,44 m²|2|2|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|apartamentowiec; rok budowy: 2024
Apartament Gdańsk|Wyspa Sobieszewska, Gdańsk, pomorskie|475 000 zł|26,85 m²|1|2|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2023|przynależne na terenie ogrodzonym|apartamentowiec; rok budowy: 2023
Mieszkanie, ul. Piastowska|Piastowska, Przymorze, Gdańsk, pomorskie|659 000 zł|46 m²|2|7|wtórny|1966|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1966 (blok w starym budownictwie)
Mieszkanie Gdańsk|Orunia Górna, Gdańsk, pomorskie|519 907 zł|50,55 m²|3|2|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024
Mieszkanie Gdańsk|Łostowice, Gdańsk, pomorskie|608 269 zł|60,56 m²|4|3|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|tak|blok mieszkalny; rok budowy: 2024
Apartament, ul. Starowiejska|Starowiejska, Letnica, Gdańsk, pomorskie|1 095 000 zł|65,89 m²|3|3|wtórny|2018|w garażu podziemnym|apartamentowiec; rok budowy: 2018
Mieszkanie|Marsa, Osowa, Gdańsk, pomorskie|683 000 zł|54 m²|2|3|wtórny|2012|w garażu podziemnym|blok mieszkalny; rok budowy: 2012
Apartament, ul. Diany|Diany, Osowa, Gdańsk, pomorskie|800 000 zł|63 m²|3|2|wtórny|2020|w garażu podziemnym|apartamentowiec; rok budowy: 2020
Apartament, ul. Struga|Struga, Siedlce, Gdańsk, pomorskie|1 190 000 zł|74,48 m²|3|6|wtórny|2022|w garażu podziemnym|apartamentowiec; rok budowy: 2022 (blok w nowym budownictwie)
Mieszkanie, ul. Reja|Reja, Wrzeszcz Dolny, Gdańsk, pomorskie|849 000 zł|62,66 m²|3|6|wtórny|1975|garaż wolnostojący|blok mieszkalny; rok budowy: 1975
Mieszkanie, ul. Bergiela|Bergiela, Zakoniczyn, Gdańsk, pomorskie|750 000 zł|71,89 m²|4|parter|wtórny|2006|garaż wolnostojący|rok budowy: 2006
Mieszkanie, ul. Łozy|Łozy, Brzeźno, Gdańsk, pomorskie|679 000 zł|43,69 m²|2|1|wtórny|1974|przynależne na ulicy|blok mieszkalny; rok budowy: 1974
Apartament, ul. Galla|Galla, Brzeźno, Gdańsk, pomorskie|3 170 000 zł|125 m²|5|2|wtórny|2015|w garażu podziemnym|apartamentowiec; rok budowy: 2015
Apartament, ul. Lastadia|Lastadia, Stare Przedmieście, Gdańsk, pomorskie|1 950 000 zł|90 m²|3|4|wtórny|2006|w garażu podziemnym|apartamentowiec; rok budowy: 2006
Mieszkanie, ul. Długie Ogrody|Długie Ogrody, Śródmieście, Gdańsk, pomorskie|829 000 zł|46,28 m²|3|3|wtórny|1978|przynależne na ulicy|blok mieszkalny; rok budowy: 1978
Mieszkanie Gdańsk|Łostowice, Gdańsk, pomorskie|615 026 zł|59,92 m²|4|3|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2026|tak|blok mieszkalny; rok budowy: 2026 (blok w nowym budownictwie)
Apartament, ul. Chmielna|Chmielna, Stare Miasto, Gdańsk, pomorskie|984 000 zł|31,84 m²|2|2|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|-|apartamentowiec; rok budowy: 2024
Apartament Gdańsk|Brzeźno, Gdańsk, pomorskie|1 390 000 zł|70,18 m²|3|3|wtórny|2023|garaż w bryle budynku|apartamentowiec; rok budowy: 2023
Apartament Gdańsk|Letnica, Gdańsk, pomorskie|837 648 zł|49,86 m²|3|8|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|apartamentowiec; rok budowy: 2024
Nowe mieszkanie ul. Glazurowa 21|Glazurowa 21, Kowale, pomorskie|436 899 zł|44,02 m²|2|4|pierwotny (oferta dewelopera)|||blok mieszkalny
Nowe mieszkanie ul. Glazurowa 21|Glazurowa 21, Kowale, pomorskie|445 545 zł|45,58 m²|3|1|pierwotny (oferta dewelopera)|||blok mieszkalny
Nowe mieszkanie ul. Glazurowa 21|Glazurowa 21, Kowale, pomorskie|417 090 zł|44,02 m²|2|2|pierwotny (oferta dewelopera)|||blok mieszkalny
Mieszkanie, ul. Wawelska|Wawelska, Chełm, Gdańsk, pomorskie|949 000 zł|79,50 m²|4|1|wtórny|2009|garaż wolnostojący|blok mieszkalny; rok budowy: 2009
Mieszkanie, ul. Kurpińskiego|Kurpińskiego, Suchanino, Gdańsk, pomorskie|559 000 zł|42 m²|2|parter|wtórny|1975|przynależne na terenie ogrodzonym|blok mieszkalny; rok budowy: 1975
Apartament, ul. Stwosza|Stwosza, Oliwa, Gdańsk, pomorskie|2 180 000 zł|94,92 m²|5|parter|wtórny|2005|w garażu podziemnym|apartamentowiec; rok budowy: 2005
Mieszkanie, ul. Przemyska|Przemyska, Ujeścisko, Gdańsk, pomorskie|699 000 zł|57,46 m²|2|parter|wtórny|2005|garaż w bryle budynku|blok mieszkalny; rok budowy: 2005
Nowe mieszkanie ul. Czesława Miłosza|Czesława Miłosza, Pruszcz Gdański, pomorskie|674 833 zł|81,15 m²|4|1|pierwotny (oferta dewelopera)|||dom wielorodzinny
Nowe mieszkanie ul. Czesława Miłosza|Czesława Miłosza, Pruszcz Gdański, pomorskie|636 361 zł|68,06 m²|3|parter|pierwotny (oferta dewelopera)|||dom wielorodzinny
Nowe mieszkanie ul. Czesława Miłosza|Czesława Miłosza, Pruszcz Gdański, pomorskie|694 213 zł|81,51 m²|4|1|pierwotny (oferta dewelopera)|||dom wielorodzinny
Mieszkanie|Kiedrowskiego, Dolina, Gdańsk, pomorskie|790 390 zł|60,37 m²|3|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2025|przynależne na ulicy|blok mieszkalny; rok budowy: 2025 (blok w nowym budownictwie)
Mieszkanie|Pohulanka, Śródmieście, Gdańsk, pomorskie|767 000 zł|42,71 m²|2|parter|wtórny|2011|-|blok mieszkalny; rok budowy: 2011
Mieszkanie, ul. Obrońców Wybrzeża|Obrońców Wybrzeża, Przymorze, Gdańsk, pomorskie|638 000 zł|46 m²|2|9|wtórny|1974|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1974
Apartament|Głęboka, Przeróbka, Gdańsk, pomorskie|342 808 zł|26,54 m²|1|2|wtórny|2024|przynależne na ulicy|apartamentowiec; rok budowy: 2024
Mieszkanie, ul. Kołobrzeska|Kołobrzeska, Przymorze Małe, Gdańsk, pomorskie|515 000 zł|32,20 m²|1|10|wtórny|1985|parking strzeżony w pobliżu|blok mieszkalny; rok budowy: 1985
Mieszkanie, ul. Mickiewicza|Mickiewicza, Wrzeszcz, Gdańsk, pomorskie|1 480 000 zł|67,42 m²|3|2|wtórny|2021|w garażu podziemnym|blok mieszkalny; rok budowy: 2021
Nowe mieszkanie Jasień, ul. Lubowidzka|Lubowidzka, Jasień, Gdańsk, pomorskie|385 000 zł|31,08 m²|2|3|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Jasień, ul. Lubowidzka|Lubowidzka, Jasień, Gdańsk, pomorskie|447 000 zł|37,13 m²|3|2|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Jasień, ul. Lubowidzka|Lubowidzka, Jasień, Gdańsk, pomorskie|385 000 zł|31,08 m²|2|2|pierwotny (oferta dewelopera)|||apartamentowiec
Mieszkanie, ul. Malczewskiego|Malczewskiego, Siedlce, Gdańsk, pomorskie|1 089 000 zł|69 m²|3|1|wtórny|1998|w garażu podziemnym|blok mieszkalny; rok budowy: 1998
Mieszkanie, ul. św. Ducha|św. Ducha, Śródmieście, Gdańsk, pomorskie|769 000 zł|40,10 m²|2|4|wtórny|1600|przynależne na terenie ogrodzonym|kamienica; rok budowy: 1600
Mieszkanie Gdańsk|Przymorze, Gdańsk, pomorskie|539 000 zł|30 m²|1|7|wtórny|1970|tak|blok mieszkalny; rok budowy: 1970
Mieszkanie, ul. Rzeźnicka|Rzeźnicka, Stare Przedmieście, Gdańsk, pomorskie|898 000 zł|62,88 m²|3|3|wtórny|1962|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1962 (blok w starym budownictwie)
Mieszkanie, ul. Wyrobka|Wyrobka, Gdańsk, pomorskie|685 000 zł|63 m²|3|parter|wtórny|1982|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1982
Mieszkanie, ul. Przemyska|Przemyska, Ujeścisko, Gdańsk, pomorskie|470 000 zł|43,30 m²|2|parter|wtórny|1998|garaż wolnostojący|blok mieszkalny; rok budowy: 1998
Mieszkanie, ul. Trakt św. Wojciecha|Trakt św. Wojciecha, Orunia, Gdańsk, pomorskie|499 000 zł|59,45 m²|4|1|wtórny|1920|przynależne na ulicy|kamienica; rok budowy: 1920
Mieszkanie, ul. Guderskiego|Guderskiego, Rębowo, Gdańsk, pomorskie|580 000 zł|53,61 m²|2|3|wtórny|2011|przynależne na ulicy|blok mieszkalny; rok budowy: 2011 (blok w nowym budownictwie)
Mieszkanie, ul. Rzeźnicka|Rzeźnicka, Śródmieście, Gdańsk, pomorskie|699 999 zł|49,94 m²|2|3|wtórny|1956|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1956
Mieszkanie, ul. Grubby|Grubby, Łostowice, Gdańsk, pomorskie|609 000 zł|64 m²|3|3|wtórny|2015|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 2015
Mieszkanie, ul. Obrońców Wybrzeża|Obrońców Wybrzeża, Przymorze, Gdańsk, pomorskie|529 000 zł|30 m²|1|3|wtórny|1972|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1972 (blok w starym budownictwie)
Apartament, ul. Kaczyńskiego|Kaczyńskiego, Przymorze, Gdańsk, pomorskie|1 527 000 zł|88 m²|4|1||-|garaż|apartamentowiec
Mieszkanie, ul. Potęgowska|Potęgowska, Jasień, Gdańsk, pomorskie|585 000 zł|49,60 m²|3|3|wtórny|2013|tak|blok mieszkalny; rok budowy: 2013
Mieszkanie, ul. Rakoczego|Rakoczego, Piecki-Migowo, Gdańsk, pomorskie|985 000 zł|66,31 m²|3|1|wtórny|2017|w garażu podziemnym|blok mieszkalny; rok budowy: 2017
Apartament|Jaglana, Śródmieście, Gdańsk, pomorskie|580 000 zł|29,20 m²|1|5|wtórny|2017|parking publiczny / na ulicy|apartamentowiec; rok budowy: 2017 (blok w nowym budownictwie)
Apartament, ul. Jaśkowa Dolina|Jaśkowa Dolina, Wrzeszcz Górny, Gdańsk, pomorskie|1 500 000 zł|70,87 m²|3|parter|wtórny|2013|w garażu podziemnym|apartamentowiec; rok budowy: 2013
Mieszkanie, ul. Częstochowska|Częstochowska, Ujeścisko, Gdańsk, pomorskie|799 000 zł|74 m²|4|4|wtórny|2002|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 2002
Apartament, ul. Stara Stocznia|Stara Stocznia, Stare Miasto, Gdańsk, pomorskie|1 597 000 zł|49 m²|2|3||2023|-|apartamentowiec; rok budowy: 2023
Apartament, ul. Stara Stocznia|Stara Stocznia, Stare Miasto, Gdańsk, pomorskie|2 197 000 zł|70 m²|3|6||2023|-|apartamentowiec; rok budowy: 2023
Mieszkanie, ul. Jasińskiego|Jasińskiego, Jasień, Gdańsk, pomorskie|689 000 zł|65 m²|3|1|wtórny|2021|przynależne na terenie ogrodzonym|blok mieszkalny; rok budowy: 2021
Mieszkanie Gdańsk|Gdańsk, pomorskie|1 267 282 zł|64,20 m²|3|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024
Mieszkanie, ul. św. Ducha|św. Ducha, Śródmieście, Gdańsk, pomorskie|819 000 zł|40 m²|1|3|wtórny|1950|przynależne na ulicy|kamienica; rok budowy: 1950
