title|address|price[PLN]|area[m^2]|rooms|floor|market|build year|parking|building_type
Mieszkanie, ul. Myśliwska|Myśliwska, Gdańsk, pomorskie|1 199 000 zł|93,40 m²|4|1|wtórny|2016|w garażu podziemnym|blok mieszkalny; rok budowy: 2016 (blok w nowym budownictwie)
Apartament, ul. Dąbka|Dąbka, Zakoniczyn, Gdańsk, pomorskie|899 000 zł|62,50 m²|3|1|wtórny|2018|garaż w bryle budynku|apartamentowiec; rok budowy: 2018
Mieszkanie, ul. Bażyńskiego|Bażyńskiego, Oliwa, Gdańsk, pomorskie|3 388 429 zł|122,59 m²|4|3|wtórny|2024|parking publiczny / na ulicy|rok budowy: 2024 (blok w nowym budownictwie)
Apartament, ul. Stara Stocznia|Stara Stocznia, Gdańsk, pomorskie|2 095 000 zł|68 m²|3|5|wtórny|2023|garaż|apartamentowiec; rok budowy: 2023
Mieszkanie Gdańsk|Łostowice, Gdańsk, pomorskie|461 000 zł|40,18 m²|2|4|wtórny|2024|garaż|blok mieszkalny; rok budowy: 2024 (blok w nowym budownictwie)
Mieszkanie, ul. Wielkopolska|Wielkopolska, Gdańsk, pomorskie|474 861 zł|46,78 m²|2|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|przynależne na ulicy|blok mieszkalny
Mieszkanie, ul. Podwale Przedmiejskie|Podwale Przedmiejskie, Śródmieście, Gdańsk, pomorskie|859 000 zł|51,30 m²|2|6|wtórny|1962|przynależne na ulicy|blok mieszkalny; rok budowy: 1962 (blok w starym budownictwie)
Mieszkanie, ul. Stankiewicza|Stankiewicza, Jasień, Gdańsk, pomorskie|473 122 zł|44,04 m²|2|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|przynależne na ulicy|blok mieszkalny; rok budowy: 2024 (blok w nowym budownictwie)
Mieszkanie, ul. Startowa|Startowa, Zaspa, Gdańsk, pomorskie|626 600 zł|48,20 m²|2|8|wtórny|1984|przynależne na ulicy|blok mieszkalny; rok budowy: 1984 (blok w starym budownictwie)
Apartament Gdańsk|Gdańsk, pomorskie|493 700 zł|22,68 m²|1|2|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2023|tak|apartamentowiec; rok budowy: 2023
Mieszkanie, ul. Leszczynowa|Leszczynowa, Jasień, Gdańsk, pomorskie|670 000 zł|53,59 m²|3|1|wtórny|2010|przynależne na ulicy|blok mieszkalny; rok budowy: 2010
Apartament, ul. Jagiellońska|Jagiellońska, Przymorze, Gdańsk, pomorskie|1 020 000 zł|39,20 m²|2|1|wtórny|2023|-|apartamentowiec; rok budowy: 2023
Apartament, ul. Śniadeckich|Śniadeckich, Aniołki, Gdańsk, pomorskie|999 000 zł|52,95 m²|2|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|apartamentowiec; rok budowy: 2024 (blok w nowym budownictwie)
Mieszkanie, ul. Starowiejska|Starowiejska, Gdańsk, pomorskie|1 032 600 zł|51,63 m²|2|18|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|parking publiczny / na ulicy|
Apartament, ul. Letnicka|Letnicka, Letnica, Gdańsk, pomorskie|980 000 zł|43 m²|2|parter|wtórny|2022|parking publiczny / na ulicy|apartamentowiec; rok budowy: 2022
Apartament, ul. Letnicka|Letnicka, Brzeźno, Gdańsk, pomorskie|1 364 000 zł|68,25 m²|3|parter|wtórny|2022|w garażu podziemnym|apartamentowiec; rok budowy: 2022
Mieszkanie, ul. Wypoczynkowa|Wypoczynkowa, Jelitkowo, Gdańsk, pomorskie|1 700 000 zł|40 m²|2|2|wtórny|2019|parking publiczny / na ulicy|apartamentowiec; rok budowy: 2019
