title|address|price[PLN]|area[m^2]|rooms|floor|market|addition|parking|elevator|build year|internet|buiiding_type|basement
Mieszkanie Gdynia Cisowa - po generalnym remoncie.|ul. Południowa 4, Cisowa, Gdynia, pomorskie|487000.0|48.2|2|3|wtórny|balkon||nie||0.0|blok|1.0
lokal mieszkalny z przepięknym widokiem|Obłuże, Gdynia, pomorskie|499000.0|60.0|3|7|wtórny||garaż/miejsce parkingowe|tak|1978|0.0|blok|0.0
4-pokojowe mieszkanie 89m2 + balkon Bezpośrednio|ul. Stokłosy, Kokoszki, Gdańsk, pomorskie|702500.0|89.01|4|1||balkon||||||
Loft w Centrum Gdańska z Tarasem – Inwestycyjne|ul. Wałowa, Śródmieście, Gdańsk, pomorskie|1199000.0|54.07|2|1|wtórny|balkon, taras|garaż/miejsce parkingowe|tak|2018|1.0|apartamentowiec|1.0
2-pokojowe mieszkanie 47m2 + balkon Bezpośrednio|ul. Mariana Hemara, Wrzeszcz Górny, Gdańsk, pomorskie|874255.0|47.15|2|1||balkon|garaż/miejsce parkingowe|||||
1-pokojowe mieszkanie 45m2 + balkon Bez Prowizji|ul. Mariana Hemara, Wrzeszcz Górny, Gdańsk, pomorskie|855266.0|45.79|1|1||balkon|garaż/miejsce parkingowe|||||
1-pokojowe mieszkanie 99m2 + ogródek Bez Prowizji|ul. Janki Bryla, Wiczlino, Gdynia, pomorskie|992416.0|99.83|1|parter||ogródek|garaż/miejsce parkingowe|||||
Kawalerka 15 minut od morza, z możliwością 2 pokoi|ul. Jagiellońska 10, Przymorze Wielkie, Gdańsk, pomorskie|420000.0|30.0|1|7|wtórny|balkon||tak|1985|0.0|blok|0.0
"Wolne Miasto etap VII | mieszkanie 2-pok. | 11"|ul. Cedrowa, Ujeścisko-Łostowice, Gdańsk, pomorskie|492864.0|39.49|2|1||balkon|garaż/miejsce parkingowe|||||
Pino Resort – 6.38|ul. Turystyczna 90, Wyspa Sobieszewska, Gdańsk, pomorskie|974160.0|46.0|2|1|pierwotny|balkon||nie|2024|0.0||0.0
LUNA Gdańsk Galaktyczna mieszkanie 4-pok|ul. Galaktyczna, Osowa, Gdańsk, pomorskie|718000.0|68.35|4|2|pierwotny|balkon|garaż/miejsce parkingowe|tak|2025|0.0|blok|0.0
Apartament na Wyspie Gdańsk B1/6|ul. Klimatyczna 88, Wyspa Sobieszewska, Gdańsk, pomorskie|523000.0|37.64|2|parter|pierwotny|ogródek, taras|garaż/miejsce parkingowe|nie|2024|1.0|apartamentowiec|0.0
"2 pokoje | Chylonia | Skm | Spółdzielcze"|ul. Chylońska, Chylonia, Gdynia, pomorskie|399000.0|38.2|2|10|wtórny|balkon|garaż/miejsce parkingowe|tak|1978|0.0|blok|1.0
"Apartament blisko plaży | Top lokalizacja | Patio"|ul. Legionów, Redłowo, Gdynia, pomorskie|1140000.0|76.2|3|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2012|1.0|apartamentowiec|1.0
Dwupokojowy apartament na osiedlu Garnizon|Garnizon, Wrzeszcz Górny, Gdańsk, pomorskie|1124000.0|48.29|2|3|wtórny|balkon||tak|2016|1.0|apartamentowiec|1.0
Mieszkanie 2 pokojowe wolne od 01. maja|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|529000.0|56.0|2|1|wtórny|balkon||nie||0.0||0.0
Mieszkanie 2-pokojowe na Sokółce w Gdyni|ul. bpa Antanasa Baranauskasa, Wiczlino, Gdynia, pomorskie|730000.0|52.8|2|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2012|1.0|blok|1.0
Wysoki standard. Gotowe do zamieszkania!|Jasień, Gdańsk, pomorskie|675000.0|55.16|3|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2020|1.0|blok|1.0
#17-teOstatniePiętroSuperApartamentBezpośrednio|Letnica, Gdańsk, pomorskie|1319940.0|73.33|4|> 10|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|apartamentowiec|0.0
OKAZJA! Nowy blok INPRO + miejsce w hali garażowej|Przymorze Wielkie, Gdańsk, pomorskie|950000.0|40.0|2||wtórny|balkon|garaż/miejsce parkingowe|tak|2018|0.0|apartamentowiec|1.0
3 pokoje , piękny widok|Jasień, Gdańsk, pomorskie|799000.0|61.13|3|6|wtórny|balkon|garaż/miejsce parkingowe|nie|2019|0.0|blok|0.0
Atrakcyjne mieszkanie na Starówce|Śródmieście, Gdańsk, pomorskie|750000.0|49.0|2|3|wtórny|balkon||nie|1950|0.0|blok|1.0
Mieszkanie 61 m2 ,po generalnym remoncie|ul. kpt. Antoniego Ledóchowskiego, Obłuże, Gdynia, pomorskie|620000.0|61.0|3|parter|wtórny|balkon, ogródek||nie|1984|0.0|blok|1.0
Gdańsk Słoneczna Morena - mieszkanie 2-pokojowe|ul. prof. Stefana Hausbrandta, Ujeścisko-Łostowice, Gdańsk, pomorskie|549000.0|34.82|2|7|wtórny|balkon||tak|2015|1.0|blok|0.0
Piękne mieszkanie w super lokalizacji|Dąbrowa, Gdynia, pomorskie|500145.0|38.67|2|parter|pierwotny|ogródek, taras||nie|2026|0.0||0.0
Funkcjonalne pierwsze mieszkanie Gdynia Dąbrowa|ul. Rdestowa, Dąbrowa, Gdynia, pomorskie|535000.0|43.3|2|parter|pierwotny|ogródek, taras||nie|2026|0.0||0.0
Słoneczny apartament nad morzem Gdańsk Brzeźno|Aleja Gen. Józefa Hallera, Brzeźno, Gdańsk, pomorskie|799454.0|48.54|2|3|pierwotny|balkon|garaż/miejsce parkingowe|nie|2026|0.0||0.0
Słoneczny apartament z balkonem - Gdańsk Przymorze|ul. Maurycego Beniowskiego, Przymorze Małe, Gdańsk, pomorskie|860000.0|40.72|2|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2017|1.0|apartamentowiec|0.0
Dwupokojowe mieszkanie - Przymorze / Oliwa|ul. Krynicka, Przymorze Małe, Gdańsk, pomorskie|779000.0|41.0|2|parter|wtórny|ogródek, taras|garaż/miejsce parkingowe|tak|2019|1.0|apartamentowiec|1.0
"Nowe | Kompletnie urządzone | Prywatnie"|ul. Dywizji Kościuszkowskiej, Wzgórze Św. Maksymiliana, Gdynia, pomorskie|830000.0|40.46|2|1|wtórny|balkon|garaż/miejsce parkingowe|tak||1.0|apartamentowiec|0.0
"Apartament Gdańsk Oliwa | Gotowy do odbioru"|ul. Artura Grottgera, Oliwa, Gdańsk, pomorskie|1536833.0|72.39|3|3|pierwotny|||nie|2023|0.0||0.0
"Apartament 3-pokoje | Gdańsk"|ul. Legnicka, Siedlce, Gdańsk, pomorskie|1008548.0|56.66|3|1|pierwotny|||tak|2024|0.0|apartamentowiec|0.0
4 pokoje, 2 balkony, hala garaż, morze Sopot Dolny|ul. Władysława Łokietka, Karlikowo, Sopot, pomorskie|1990000.0|80.12|4|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2002|1.0|apartamentowiec|0.0
Umeblowane,, opcja garaz, 3 pokoje centr. Gdańska!|ul. Jana Heweliusza, Śródmieście, Gdańsk, pomorskie|880000.0|68.1|3|3|wtórny|balkon|garaż/miejsce parkingowe|nie|1950|1.0|blok|1.0
2 pokoje, osobna kuchnia, ogród, szkoła, Osowa!|ul. Hermesa, Osowa, Gdańsk, pomorskie|550000.0|43.0|2|1|wtórny|balkon, ogródek||nie|2004|1.0|blok|1.0
Apartament+Antresola.Centrum.Gdynia.Jedyna.Oferta|ul. Stefana Żeromskiego, Śródmieście, Gdynia, pomorskie|849000.0|44.83|2|3|pierwotny|balkon|garaż/miejsce parkingowe|nie|2024|0.0||0.0
Piękne, umeblowane, os. kuchnia, 2 pokoje, Osowa!|ul. Orfeusza, Osowa, Gdańsk, pomorskie|650000.0|54.7|2|2|wtórny|balkon||nie|2000|1.0|blok|1.0
3 pokoje ,remont, n.blok, 15 min morze, Przymorze|ul. Olsztyńska, Przymorze Wielkie, Gdańsk, pomorskie|769000.0|54.0|3|3|wtórny|balkon||nie|1970|1.0|blok|1.0
3 umeblowane pokoje, ogród 100m, m.post,Jasień|ul. Lawendowe Wzgórze, Jasień, Gdańsk, pomorskie|750000.0|59.82|3|parter|wtórny|ogródek, taras|garaż/miejsce parkingowe|tak|2018|1.0|blok|0.0
Przestronne, 3 pok. mieszkanie- osiedle Lawendowe|ul. Jabłoniowa, Jasień, Gdańsk, pomorskie|710000.0|62.5|3|3|wtórny|balkon|garaż/miejsce parkingowe|tak|2012|1.0|blok|1.0
Nowoczesne mieszkanie ogród garaż (bud. 2018)|Wielki Kack, Gdynia, pomorskie|1790000.0|150.0|6|parter|wtórny|balkon, ogródek, taras|garaż/miejsce parkingowe|nie|2018|1.0|apartamentowiec|0.0
3 pokoje Gdynia|ul. gen. Orlicz-Dreszera, Leszczynki, Gdynia, pomorskie|749000.0|65.6|3|9|wtórny|balkon||tak|1979|0.0|blok|1.0
3-pokojowe mieszkanie 75m2 Bez Prowizji|ul. Jałmużnicza, Śródmieście, Gdańsk, pomorskie|1698606.0|75.5|3|2|||garaż/miejsce parkingowe|||||
2-pokojowe mieszkanie 80m2 Bezpośrednio|ul. Jałmużnicza, Śródmieście, Gdańsk, pomorskie|2193135.0|80.19|2|parter|||garaż/miejsce parkingowe|||||
1-pokojowe mieszkanie 76m2 + taras Bez Pośredników|ul. Jałmużnicza, Śródmieście, Gdańsk, pomorskie|1943250.0|76.98|1|3||taras|garaż/miejsce parkingowe|||||
Apartament 2 pokojowy, Wyspa Spichrzów, Gdańsk|Śródmieście, Gdańsk, pomorskie|1310000.0|57.6|2|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2012|1.0|apartamentowiec|0.0
Wyremontowane, funkcjonalne 3 pokoje z widokiem|ul. Pilotów, Zaspa-Młyniec, Gdańsk, pomorskie|619000.0|42.4|3|9|wtórny|balkon||tak|1975|1.0|blok|1.0
2 pokoje inwestycja blisko Starówki i Mariny garaż|ul. Długa Grobla, Śródmieście, Gdańsk, pomorskie|830000.0|45.0|2|4|wtórny|balkon|garaż/miejsce parkingowe|tak|2019|1.0|apartamentowiec|0.0
PILNIE SPRZEDAM 2-pokojowe mieszkanie, REZERWACJA|ul. Franciszka Rakoczego 19, Piecki-Migowo, Gdańsk, pomorskie|670000.0|35.0|2|8|wtórny|balkon, taras|garaż/miejsce parkingowe|tak|2018|0.0|blok|0.0
Widok na Morze i zieleń !! Nadmorska Nowa Letnica|ul. Starowiejska, Letnica, Gdańsk, pomorskie|509000.0|32.25|2|10|wtórny|||tak|2023|0.0||0.0
"Apartament pod klucz | Piękny widok na Motławę"|ul. Kamienna Grobla, Śródmieście, Gdańsk, pomorskie|1560000.0|80.48|4|1|wtórny|balkon|garaż/miejsce parkingowe|nie|2021|0.0||0.0
"3 Pokoje | 600M Do Parku Oruńskiego | Balkon"|ul. Rubinowa, Orunia-Św. Wojciech-Lipce, Gdańsk, pomorskie|549000.0|52.0|3|3|wtórny|balkon||nie|1970|0.0|blok|1.0
4-pokojowe mieszkanie przy Al. Grunwaldzkiej.|al. Grunwaldzka, Wrzeszcz Górny, Gdańsk, pomorskie|1050000.0|91.44|4|1|wtórny|balkon||nie|1920|0.0|kamienica|0.0
Mieszkanie dla rodziny z pięknym ogrodem|ul. Stanisława Worcella, Chełm, Gdańsk, pomorskie|799000.0|67.0|3|1|wtórny|ogródek||nie|1940|1.0|kamienica|1.0
Mieszkanie INWESTYCJA Gdynia 43m2 Parking Piwnica|Pogórze, Gdynia, pomorskie|580000.0|42.66|2|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2017|1.0|blok|1.0
3 pokojowe mieszanie do wprowadzenia się od razu!|ul. Morska, Chylonia, Gdynia, pomorskie|539000.0|46.2|3|3|wtórny|balkon||tak|1970|0.0|blok|1.0
Spółdzielczo własnościowe 3 pokoje Orunia Górna|ul. bpa Konstantyna Dominika, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|590000.0|61.0|3|parter|wtórny|balkon||nie|1993|0.0|blok|1.0
Mieszkanie czteropokojowe w kamienicy|Suchanino, Gdańsk, pomorskie|1080000.0|80.0|3|1|wtórny|taras||nie||0.0|kamienica|1.0
Dwa pokoje przy Skm świetna inwestycja!!!|ul. Chylońska, Cisowa, Gdynia, pomorskie|360000.0|33.0|2|4|wtórny|balkon||nie|1970|0.0|blok|1.0
3 pokoje - centrum - wyremontowane Hot Oferta|ul. Wójta Radtkego, Śródmieście, Gdynia, pomorskie|759000.0|47.15|3|8|wtórny||garaż/miejsce parkingowe|tak|1970|0.0|blok|1.0
Luksusowy Apartament z Ogródkiem w Atrium Oliva|ul. Artura Grottgera, Oliwa, Gdańsk, pomorskie|1725715.0|77.39|4|parter|pierwotny|ogródek, taras|garaż/miejsce parkingowe|nie||0.0|apartamentowiec|0.0
3 pokoje do wejścia z dużym zamkniętym balkonem|ul. Ofiar Grudnia 70 70, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|699000.0|68.0|3|1|wtórny|balkon|garaż/miejsce parkingowe|nie|2010|1.0|blok|0.0
2 pokoje z hala i piwnica nowe budownictwo|ul. Stanisława Lema, Siedlce, Gdańsk, pomorskie|729000.0|42.0|2|7|wtórny|balkon|garaż/miejsce parkingowe|tak|2018|1.0|blok|1.0
Piękne mieszkanie dla rodziny-Gdynia Wiczlino|ul. gen. Mariusza Zaruskiego, Wiczlino, Gdynia, pomorskie|975000.0|72.18|4|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2016|1.0|blok|0.0
2 pokoje+ duża piwnica, Jasień, cicha okolica|ul. Kazimierza Leskiego, Jasień, Gdańsk, pomorskie|519000.0|44.77|2|3|wtórny|balkon|garaż/miejsce parkingowe|tak|2015|0.0|blok|1.0
Browar Gdański apartament dwupokojowy|ul. Joachima Lelewela, Wrzeszcz Dolny, Gdańsk, pomorskie|1100000.0|43.92|2|3|wtórny|balkon|garaż/miejsce parkingowe|nie|2018|0.0|apartamentowiec|1.0
Centrum*Świeżo po remoncie*Duży balkon*Od ręki|ul. Mariana Seredyńskiego, Śródmieście, Gdańsk, pomorskie|770000.0|53.0|2|1|wtórny|balkon||nie|1963|1.0|kamienica|1.0
Słoneczne mieszkanie przy al. Adamowicza|Aleja Pawła Adamowicza, Piecki-Migowo, Gdańsk, pomorskie|1247525.0|93.31|4|3|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
Atrakcyjne mieszkanie na Morenie|Aleja Pawła Adamowicza, Piecki-Migowo, Gdańsk, pomorskie|693000.0|57.63|3|1|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
Przestronne mieszkanie Piecki Migowo|Aleja Pawła Adamowicza, Piecki-Migowo, Gdańsk, pomorskie|890865.0|77.12|4|2|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
"Atrakcyjne mieszkanie | Parter | Ogród"|ul. marsz. Ferdynanda Focha, Aniołki, Gdańsk, pomorskie|724740.0|40.0|2||pierwotny|||nie|2024|0.0||0.0
Gdynia Obłuże, 2 pokoje, 40m2, do wejścia.|ul. kpt. Antoniego Ledóchowskiego, Obłuże, Gdynia, pomorskie|495000.0|40.6|2|2|wtórny|balkon|garaż/miejsce parkingowe|nie|2000|1.0|blok|0.0
Sprzedam nowy apartament na Gdańskim Przymorzu|ul. Słupska, Przymorze Małe, Gdańsk, pomorskie|950000.0|47.72|2|parter|pierwotny|ogródek, taras|garaż/miejsce parkingowe|nie|2024|1.0|apartamentowiec|0.0
4-pokojowe mieszkanie 134m2 Bez Prowizji|ul. Jałmużnicza, Śródmieście, Gdańsk, pomorskie|3076920.0|134.84|4|2|||garaż/miejsce parkingowe|||||
3-pokojowe mieszkanie 70m2 Bezpośrednio|ul. Jałmużnicza, Śródmieście, Gdańsk, pomorskie|1544990.0|70.31|3|2|||garaż/miejsce parkingowe|||||
Atrakcyjne, 3 -pokojowe mieszkanie po remoncie|Pogórze, Gdynia, pomorskie|629000.0|60.0|3|1|wtórny|balkon||nie|1988|1.0|blok|1.0
Gdańsk Leskiego 3 pokoje w świetnej lokalizacji|ul. Kazimierza Leskiego, Jasień, Gdańsk, pomorskie|599000.0|52.4|3|3|wtórny|balkon|garaż/miejsce parkingowe|nie|2015|1.0|blok|0.0
Dla konesera dawnych klimatów-widok na starówkę GD|ul. Górka, Śródmieście, Gdańsk, pomorskie|1250000.0|111.7|4|3|wtórny|||nie|1860|0.0|kamienica|1.0
Śródmieście 2 pokoje|ul. Toruńska, Śródmieście, Gdańsk, pomorskie|645000.0|50.6|2|parter|wtórny|balkon||tak||0.0|blok|1.0
Przestronne 3 pokoje z dużym balkonem i halą!|ul. Leszczynowa, Jasień, Gdańsk, pomorskie|799000.0|71.14|3|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2017|0.0|blok|0.0
Ładnie urządzone mieszkanie w świetnej lokalizacji|ul. gen. Mariusza Zaruskiego, Wiczlino, Gdynia, pomorskie|830000.0|67.99|3|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2016|0.0|blok|0.0
Idealnie mieszkanie w cichej okolicy.|ul. Stanisława Filipkowskiego, Wiczlino, Gdynia, pomorskie|576000.0|47.29|2|parter|wtórny|ogródek||tak|2016|0.0|blok|0.0
3-pokojowe mieszkanie 59m2 + balkon|ul. Kampinoska, Ujeścisko-Łostowice, Gdańsk, pomorskie|651200.0|59.2|3|1||balkon|garaż/miejsce parkingowe|||||
2-pokojowe mieszkanie 42m2 + balkon|ul. Kampinoska, Ujeścisko-Łostowice, Gdańsk, pomorskie|505000.0|42.41|2|1||balkon|garaż/miejsce parkingowe|||||
Urokliwa kamienica z charakterem Sopot Dolny|ul. gen. Kazimierza Pułaskiego, Centrum, Dolny Sopot, Sopot, pomorskie|1980000.0|89.53|3|parter|wtórny|||nie|1898|0.0|kamienica|0.0
2 Pokoje I Garaż I Balkon|ul. Gryfa Pomorskiego, Wielki Kack, Gdynia, pomorskie|589000.0|48.9|2|1|wtórny|balkon|garaż/miejsce parkingowe|nie|1999|0.0|blok|1.0
3 pokoje w centrum Gdyni. Blisko SKM i WSB|ul. Śląska, Wzgórze Św. Maksymiliana, Gdynia, pomorskie|699000.0|55.0|3|1|wtórny|||tak|1962|0.0|blok|1.0
1-pokojowy apartament 53m2 Bez Pośredników|ul. Jałmużnicza, Śródmieście, Gdańsk, pomorskie|1345000.0|53.8|1|parter|||garaż/miejsce parkingowe|||||
Ekskluzywny apartament z widokiem na Gdańsk iSopot|Letnica, Gdańsk, pomorskie|790000.0|39.35|2|> 10|wtórny|balkon|garaż/miejsce parkingowe|tak||1.0|blok|0.0
Przestronne ciche mieszkanie w centrum Gdańska|Siedlce, Gdańsk, pomorskie|1150000.0|118.0|4|3|wtórny||garaż/miejsce parkingowe|nie||1.0|kamienica|1.0
Umeblowane 50 m2 w centrum Gdyni|ul. Obrońców Wybrzeża, Śródmieście, Gdynia, pomorskie|759000.0|50.1|2|2|wtórny|balkon||nie||1.0|blok|1.0
Pilnie sprzedamy kawalerkę z oddzielną kuchnią!|ul. Browarna, Śródmieście, Gdańsk, pomorskie|575000.0|38.5|1|parter|wtórny||garaż/miejsce parkingowe|nie|1960|0.0|blok|0.0
6 pokoi - inwestycyjnie - do wynajmu.|ul. Ignacego Krasickiego, Kamienna Góra, Gdynia, pomorskie|1330000.0|100.0|6||wtórny|||nie|1930|1.0|kamienica|0.0
"Lokale inwestycyjne >30m2 | PREMIUM | Zarezerwuj"|Śródmieście, Gdańsk, pomorskie|560375.0|37.21|2|3|pierwotny|balkon|garaż/miejsce parkingowe|tak||0.0|apartamentowiec|0.0
Mieszkanie Gdańsk Ujeścisko|ul. Piotrkowska, Ujeścisko-Łostowice, Gdańsk, pomorskie|650000.0|55.0|2|parter|wtórny|balkon||nie|1998|1.0|blok|1.0
"""TORO"" PREMIUM ul.Wąsowicza 8 + Balkon 17 m 2"|Chylonia, Gdynia, pomorskie|679000.0|46.78|2|2|pierwotny|balkon|garaż/miejsce parkingowe|tak|2023|1.0|kamienica|1.0
Funkcjonalne mieszkanie z garażem w cichej okolicy|ul. Słonecznikowa, Dąbrowa, Gdynia, pomorskie|695000.0|67.5|3|1|wtórny|balkon|garaż/miejsce parkingowe|nie|2003|1.0|blok|1.0
Wyjątkowy apartament Park Oliwski-Opacka|Oliwa, Gdańsk, pomorskie|1800000.0|68.38|3|parter|wtórny||garaż/miejsce parkingowe|tak|2019|0.0||0.0
Wzgórze Zeusa, 2 pokoje ogródek, Orlex Invest|Kowale, Kolbudy, gdański, pomorskie|399000.0|39.54|2|parter|pierwotny|ogródek, taras|garaż/miejsce parkingowe|tak|2026|1.0|blok|0.0
Sprzedam 3 pokojowe mieszkanie osiedle Inpro Start|Kokoszki, Gdańsk, pomorskie|670000.0|57.98|3|1|wtórny|balkon||tak|2022|1.0|blok|1.0
Luksusowy apartament z widokiem na Motławę|ul. Stępkarska, Śródmieście, Gdańsk, pomorskie|1250000.0|48.0|2|5|wtórny|balkon, taras|garaż/miejsce parkingowe|nie|2021|0.0||1.0
Mieszkanie 2 pokoje Sopot Przylesie|ul. 23 Marca 79, Przylesie, Sopot, pomorskie|599000.0|35.4|2|1|wtórny|balkon||tak|1970|1.0|blok|0.0
"Najtańsze 2 pokoje | Wysokie Rabaty"|ul. Borkowska, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|409587.0|37.17|2|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
"2 pokoje + ogródek | Okazja!"|ul. Borkowska, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|418341.0|40.39|2|parter|wtórny|ogródek|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
"Dni Otwarte | Duże Rabaty"|ul. Borkowska, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|660174.0|73.87|4|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
"TOP Lokalizacja | 5 min do centrum | 150m TRAMWAJ"|Siedlce, Gdańsk, pomorskie|612167.0|35.77|2|2|pierwotny|balkon|garaż/miejsce parkingowe|tak||1.0|blok|0.0
5 Pokoi Po Kapitalnym Remoncie Wyposażone Gotowe.|ul. Gospody, Żabianka, Gdańsk, pomorskie|960000.0|66.7|5|7|wtórny|balkon||tak|1970|0.0|blok|0.0
Zarabiający Gotowiec Inwestycyjny/3 Pokoje|ul. Jakuba Wejhera, Wejhera, Gdańsk, pomorskie|649000.0|42.92|3|1|wtórny|||nie||0.0||0.0
Mieszkanie 3 pokojowe do własnej aranżacji|ul. Władysława Jagiełły, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|575000.0|53.28|3|3|wtórny|balkon|garaż/miejsce parkingowe|tak|2023|1.0|blok|0.0
Słoneczne 2 pokoje ☀️15 min do centrum ☀️RABAT|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|391747.0|35.07|2|2|pierwotny|balkon|garaż/miejsce parkingowe|tak||1.0|blok|0.0
4-pokojowe mieszkanie apartament Gdańsk Wrzeszcz|ul. Juliusza Słowackiego, Wrzeszcz Górny, Gdańsk, pomorskie|1200000.0|88.4|4|2|wtórny|balkon||tak|2009|1.0|apartamentowiec|1.0
Mieszkanie w nowym budownictwie z widokiem na morz|Oksywie, Gdynia, pomorskie|1150000.0|79.75|4|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2022|1.0|blok|1.0
ładne mieszkanie z własnym ogrodem przy lesie.|Wiczlino, Gdynia, pomorskie|525000.0|45.38|2|parter|wtórny|balkon, ogródek|garaż/miejsce parkingowe|nie|1999|1.0|blok|0.0
Mieszkanie w centrum Gdyni|ul. Antoniego Abrahama, Śródmieście, Gdynia, pomorskie|465600.0|33.8|2|4|wtórny|||nie|1960|0.0|blok|0.0
"Apartament z widokiem na jezioro ""Przystań Jasień"""|ul. Życzliwa, Jasień, Gdańsk, pomorskie|1329000.0|94.73|4|2|wtórny|balkon|garaż/miejsce parkingowe|tak|2023|0.0|blok|0.0
Jasień ul. Przytulna- 2 pok. stan do zamieszkania|ul. Przytulna, Jasień, Gdańsk, pomorskie|599000.0|52.7|2|4|wtórny|balkon|garaż/miejsce parkingowe|tak|2015|0.0|blok|0.0
Mieszkanie nad morzem - ul. Żeromskiego 7, Gdynia|ul. Stefana Żeromskiego, Śródmieście, Gdynia, pomorskie|662480.0|25.48|1|5|pierwotny|||nie|2023|0.0|blok|0.0
Centrum Gdyni - 3 pokoje, 600m nad morze !|ul. Partyzantów, Wzgórze Św. Maksymiliana, Gdynia, pomorskie|699000.0|48.7|3||wtórny|balkon||tak|1980|1.0||1.0
2-pokojowe mieszkanie 49m2 + balkon Bezpośrednio|ul. 23 Marca, Przylesie, Sopot, pomorskie|1167600.0|49.23|2|1||balkon|garaż/miejsce parkingowe|||||
Apartament z widokiem na Żuraw - 94 m2|Śródmieście, Gdańsk, pomorskie|2650000.0|94.0|3|3|wtórny|balkon||tak|2010|1.0|apartamentowiec|0.0
Dwupoziomowe, duży taras i 2 balkony. 2 x parking|ul. Hery 8, Osowa, Gdańsk, pomorskie|1540000.0|140.0|5|3|wtórny|balkon, taras|garaż/miejsce parkingowe|tak|2010|1.0|blok|1.0
100m2 taras z widokiem na zatokę, 10 Piętro!|al. gen. Józefa Hallera, Brzeźno, Gdańsk, pomorskie|3400000.0|106.0|4|10|wtórny|ogródek, taras|garaż/miejsce parkingowe|tak|2019|0.0|apartamentowiec|1.0
Mieszkanie - Gdańsk Oliwa|ul. Kościerska, Oliwa, Gdańsk, pomorskie|1701764.0|85.78|3|3|wtórny|balkon||tak|2024|1.0|apartamentowiec|0.0
Mieszkanie - Gdańsk Oliwa|ul. Kościerska, Oliwa, Gdańsk, pomorskie|1313410.0|68.47|3|1|wtórny|balkon||tak|2024|1.0|apartamentowiec|0.0
Mieszkanie po remoncie w Górnym Sopocie|ul. gen. Władysława Andersa, Osiedle Mickiewicza, Sopot, pomorskie|1490000.0|64.38|3|2|wtórny|balkon|garaż/miejsce parkingowe|nie|1950|0.0|blok|1.0
Gdańsk, dwa pokoje blisko centrum|ul. gen. Józefa Sowińskiego, Siedlce, Gdańsk, pomorskie|599000.0|42.3|2|1|wtórny|||nie||0.0||0.0
lokale inwestycyjne >30m2 odlicz VAT|Śródmieście, Gdańsk, pomorskie|496192.0|30.9|1|2|pierwotny|balkon|garaż/miejsce parkingowe|tak||0.0|apartamentowiec|0.0
3 pokoje po generalnym remoncie, balkon i piwnica|ul. Starogardzka, Chylonia, Gdynia, pomorskie|539000.0|44.0|3|1|wtórny|balkon||nie||0.0|blok|1.0
Świetne dla rodziny- duży ogród-kameralne osiedle|ul. Dąbrówki, Chełm, Gdańsk, pomorskie|799000.0|64.3|3|parter|wtórny|ogródek|garaż/miejsce parkingowe|nie|2000|1.0|blok|0.0
"Kawalerka | Gdynia | Widok na morze"|ul. Konwaliowa, Witomino-Leśniczówka, Gdynia, pomorskie|323000.0|18.0|1|10|wtórny||garaż/miejsce parkingowe|tak|1980|1.0|blok|1.0
Mieszkanie 2 pokojowe Gdynia Redłowo|ul. Legionów, Wzgórze Św. Maksymiliana, Gdynia, pomorskie|675000.0|42.65|2|1|wtórny|balkon|garaż/miejsce parkingowe|nie|1954|1.0|blok|0.0
1-pokojowe mieszkanie 79m2 + ogródek Bezpośrednio|ul. Janki Bryla, Wiczlino, Gdynia, pomorskie|791783.0|79.29|1|parter||ogródek|garaż/miejsce parkingowe|||||
Piękne, jasne mieszkanie przy ul. Chłopskiej|ul. Chłopska, Przymorze Małe, Gdańsk, pomorskie|455000.0|29.0|2|4|wtórny|balkon||nie|1963|1.0|blok|1.0
"Gotowe 3-pokoje | balkon | dwustronne | Swpl"|Karwiny, Gdynia, pomorskie|649000.0|63.51|3|parter|wtórny|balkon||nie||0.0|blok|1.0
