title|address|price[PLN]|area[m^2]|rooms|floor|market|addition|parking|elevator|build year|internet|buiiding_type|basement
apartament w Sea Towers|Śródmieście, Gdynia, pomorskie|1950000.0|80.9|2|> 10|wtórny||garaż/miejsce parkingowe|tak|2009|1.0|apartamentowiec|1.0
2-pokojowe mieszkanie 59m2 + ogródek Bezpośrednio|ul. Zbożowa, Cisowa, Gdynia, pomorskie|536670.0|59.63|2|parter||ogródek|garaż/miejsce parkingowe|||||
4-pokojowe mieszkanie 88m2 + ogródek|ul. Zbożowa, Cisowa, Gdynia, pomorskie|795600.0|88.4|4|parter||ogródek|garaż/miejsce parkingowe|||||
Najpiękniejsze 4 Pokoje Po Generalnym Remoncie|ul. Władysława Reymonta, Wrzeszcz Górny, Gdańsk, pomorskie|847000.0|53.2|4|1|wtórny|balkon|garaż/miejsce parkingowe|tak|1976|1.0|blok|1.0
Elegancki apartament w świetnej lokalizacji- Sopot|ul. Jana Jerzego Haffnera, Dolny Sopot - Haffnera, Dolny Sopot, Sopot, pomorskie|2600000.0|165.0|4|4|wtórny||garaż/miejsce parkingowe|nie|1905|0.0|kamienica|1.0
Apartament z pięknym widokiem na morze|ul. św. Piotra, Leszczynki, Gdynia, pomorskie|1470000.0|50.0|2|7|wtórny|taras|garaż/miejsce parkingowe|tak|2023|0.0|apartamentowiec|1.0
Sprzedam dużą kawalerkę w świetnej lokalizacji|Chylonia, Gdynia, pomorskie|369000.0|29.5|1|1|wtórny|||nie||1.0|blok|1.0
3-pokoje sprzedam|Władysława Wagnera, Wiczlino, Gdynia, pomorskie|630000.0|58.0|3|1|wtórny|taras|garaż/miejsce parkingowe|tak|2023|1.0|apartamentowiec|1.0
1-pokojowe mieszkanie 41m2 + balkon Bezpośrednio|ul. Mariana Hemara, Wrzeszcz Górny, Gdańsk, pomorskie|765926.0|41.35|1|2||balkon|garaż/miejsce parkingowe|||||
Sprzedam apartament nad morzem w Gdańsku|Wyspa Sobieszewska, Gdańsk, pomorskie|779000.0|36.85|2|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2023|1.0|apartamentowiec|0.0
Piękne Mieszkanie Nowe Bezpośrednio 700 m do morza|ul. Turystyczna 60, Wyspa Sobieszewska, Gdańsk, pomorskie|1100000.0|55.0|3|2|wtórny|balkon|garaż/miejsce parkingowe|nie|2020|0.0|apartamentowiec|0.0
Dwa pokoje, serce Witomina 5 min do Śródmieścia|ul. Rolnicza, Witomino-Radiostacja, Gdynia, pomorskie|499995.0|42.3|2|2|wtórny|||nie|1975|1.0|blok|1.0
Mieszkanie, 60 m², Gdańsk|Aleja Legionów, Wrzeszcz Dolny, Gdańsk, pomorskie|595000.0|60.0|2|2|wtórny|||nie||0.0|kamienica|1.0
DZIEŃ OTWARTY ⭐ Balkon 9m2 ✅ Klucze w tym roku!|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|658909.0|67.61|4|3|pierwotny|balkon|garaż/miejsce parkingowe|tak||1.0|blok|1.0
Odbierz klucze w 2024 • 15 min do centrum •|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|444366.0|42.16|2|2|pierwotny|balkon|garaż/miejsce parkingowe|tak||1.0|blok|0.0
