title|area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude
NAJTAŃSZE 2pok w GDAŃSKU_promocje do SOBOTY_garaże|31.9|2.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|11143.42|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Nowa oferta mieszkań - Meva - Gdynia Grabówek M2|56.12|3.0|0|primary|1|0|2024.0|1.0|Apartment|0.0|13096.94|0|1|0|gerarda denhoffa 2|grabówek|gdynia|54.523362|18.51654
347 000 Netto 5min Wyspa Spichrzów+Dod BONUS 26-27|27.68|1.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|15420.7|1|0|0||śródmieście|gdansk|54.34902|18.6518
Gdańsk Żabianka/Oliwa! 2 duże pokoje 47,6 m2|47.6|2.0|1-3|secondary|1|0|1964.0|0.0|Apartment|1.0|12584.03|1|0|0||Żabianka-Wejhera-Jelitkowo-Tysiąclecia|gdansk|54.420659|18.571526
Gotowe_Przy parku_Zobacz na żywo! Promo|53.45|3.0|1-3|primary|1|1|2023.0|1.0|Apartment|0.0|9444.53|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Apartament przy Motławie - widok na wodę!!!|26.36|1.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|13300.08|1|0|0||śródmieście|gdansk|54.34902|18.6518
absolutny Hit, najtańsze 2 pok w Gdańsku|31.8|2.0|1-3|primary|1|1|2025.0|1.0|Apartment|0.0|11179.25|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Mieszkanie gotowe do wprowadzenia się!|43.9|2.0|1-3|secondary|0|0|1970.0|0.0|Apartment|1.0|12300.68|1|0|0||pustki cisowskie-demptowo|gdynia|54.51768|18.53892
Nowe mieszkanie Scala w Centrum Gdańska|59.57|3.0|1-3|secondary|0|1|2023.0|0.0|Apartment|0.0|24005.37|1|0|0||śródmieście|gdansk|54.34902|18.6518
Apartament w wysokim standardzie Garnizon|77.22|3.0|4-7|secondary|0|1|2021.0|0.0|Apartment|0.0|22533.02|0|0|0||wrzeszcz górny|gdansk|54.347591|18.641477
464 750 Netto 5min Wyspa Spichrzów +BONUS 26+27.04|36.8|2.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|15535.05|1|0|0||śródmieście|gdansk|54.34902|18.6518
2-piętrowe w okazyjnej CENIE 15min od Gdańsk Gł|69.55|4.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|8004.31|1|0|0||ujeścisko-łostowice|gdansk|54.31911|18.591801
PROMOCJA do końca tygodnia_nowa PKM_15min Gd Gł|56.5|3.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9049.12|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Piękne umeblowane mieszkanie, blisko morza|38.0|2.0|4-7|secondary|1|1|2021.0|0.0|Apartment|0.0|18394.74|1|0|0|sucha 39b|letnica|gdansk|54.396438|18.644403
Oaza w Mieście-Przestronne Mieszkanie z Ogrodem|78.8|3.0|0|secondary|1|0|1932.0|0.0|Apartment|0.0|13312.18|0|1|0|leona wyczółkowskiego|siedlce|gdansk|54.353591|18.626091
"""Klucze do szczęścia - Twoje wymarzone mieszkanie"|43.9|2.0|1-3|secondary|1|0|1969.0|1.0|Apartment|1.0|12300.68|1|0|0|kartuska 45-59|chylonia|gdynia|54.538533|18.458974
"Ogrody Diany |Hery 7/38"|47.25|2.0|0|primary|1|1|2025.0|1.0|Apartment|1.0|11216.93|0|1|0|diany|osowa|gdansk|54.430298|18.470018
Widna kuchnia_dwie łazienki_duży balkon_widokowe|59.24|4.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9198.94|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Narożne_słoneczne_szybki odbiór_wc i łazienka|51.71|3.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9633.59|1|0|0|starogardzka|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Mieszkanie - Gdańsk Zaspa|48.2|2.0|1-3|secondary|0|1|1970.0|0.0|Apartment|0.0|13858.92|1|0|0|kombatantów|zaspa|gdansk|54.397681|18.609269
Przestronne, dwupoziomowe mieszkanie|89.92|4.0|1-3|secondary|0|0|2001.0|1.0|Apartment|1.0|9897.69|1|0|0|oliwkowa|dąbrowa|gdynia|54.47118|18.470508
Mieszkanie - Gdańsk Morena|42.0|2.0|0|secondary|0|0|1975.0|0.0|Apartment|1.0|12833.33|1|0|0|karola kurpińskiego|suchanino|gdansk|52.17628|21.029665
NAJTAŃSZE oferty na rynku 12min od Gdańsk Główny|33.0|2.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|11092.42|0|1|1||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
NOWOŚĆ,GdańskOsowa 3pok.budynek energooszczędnyM49|46.17|3.0|1-3|primary|1|1|2025.0|1.0|Apartment|1.0|12410.66|1|0|0|kielnieńska|osowa|gdansk|54.430298|18.470018
NIE przegap ofert PROMOCYJNYCH_nowa PKM_bus_lidl|50.8|3.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|9458.66|0|1|1||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
ODBIERZ 3pok_M.Postojowe za 0 zł +DOD bonus 26+27|54.35|3.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9597.06|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
395 270 Netto_5min Wyspa Spichrzów_+BONUS 26-27.04|30.9|2.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|15734.14|0|1|1||śródmieście|gdansk|54.34902|18.6518
Stylowy Apartament/studio/Gotowiec Inwestycyjny|30.0|1.0|4-7|secondary|0|0|2021.0|1.0|Apartment|0.0|18966.67|0|0|0|wałowa|śródmieście|gdansk|54.3463466|18.6662024
Browar Gdański apartament dwupokojowy|43.92|2.0|1-3|secondary|1|0|2018.0|0.0|Apartment|1.0|25045.54|1|0|0|joachima lelewela|wrzeszcz dolny|gdansk|54.383786|18.610604
3 pokojowe Mieszkanie Gdynia ul.Nowodworcowa|53.65|3.0|0|primary|1|1|2024.0|0.0|Apartment|0.0|11900.0|0|1|1|nowodworcowa|wielki kack|gdynia|54.467664|18.492842
2pok. Mieszkanie Gdynia WielkiKack ul.Nowodworcowa|46.0|2.0|0|primary|1|1|2024.0|0.0|Apartment|1.0|12900.0|0|0|1|nowodworcowa|wielki kack|gdynia|54.467664|18.492842
3 pokoje na Morenie/blisko centrum/blisko lasu|58.67|3.0|1-3|secondary|1|1|2010.0|0.0|Apartment|1.0|12936.76|1|0|0|myśliwskie wzgórze/os. klimaty|piecki-migowo|gdansk|54.348106|18.562501
3 pokoje po generalnym remoncie - 2 ogródki !!!|50.5|3.0|0|secondary|0|0|2002.0|1.0|Apartment|0.0|12851.49|0|0|0|władysława kańskiego|chwarzno-wiczlino|gdynia|54.490386|18.423491
Gdańsk Piastowska piękne 3-pokojowe po remoncie|54.0|3.0|0|secondary|0|0|1965.0|1.0|Apartment|1.0|13888.89|0|0|0|piastowska|przymorze|gdansk|54.354195|18.650385
"Mieszkanie z ładnym widokiem | Wielki Kack"|98.45|3.0|1-3|secondary|0|0|2005.0|0.0|Apartment|0.0|12188.93|0|0|0|waleriana szefki|wielki kack|gdynia|54.465869|18.486889
