title|area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude
"Pod Inwestycję | Śródmieście | 2 Pokoje"|48.45|2.0|1-3|secondary|1|1|2018.0|0.0|Apartment|0.0|24747.16|1|0|0|chmielna|śródmieście|gdansk|54.346105|18.656253
"Idealne Pod Inwestycje | Kawalerka | Przymorze"|20.0|1.0|1-3|secondary|0|0|1965.0|1.0|Apartment|1.0|19450.0|1|0|0|kołobrzeska|przymorze|gdansk|54.186646|15.737199
3 pokojowy apartament z ogrodem / Gdańsk ul. Lema|62.36|3.0|0|secondary|1|1|2016.0|0.0|Apartment|0.0|14416.29|0|1|0|stanisława lema|piecki-migowo|gdansk|54.187737|18.380402
Osiedle Browar Gdański/ Gdańsk Wrzeszcz/ 3 pokoje|60.0|3.0|1-3|secondary|0|1|2015.0|0.0|Apartment|0.0|25833.33|1|0|0|jana kilińskiego|wrzeszcz dolny|gdansk|54.384856|18.605943
Gotowe 3-pokoje, słoneczne, 2 ogródki, dwustronne|70.0|3.0|0|secondary|0|1|2016.0|0.0|Apartment|1.0|10985.71|0|1|1|janki bryla|chwarzno-wiczlino|gdynia|54.490386|18.423491
"Blisko Morza | 2 Pokoje | Letnica"|38.15|2.0|1-3|secondary|0|1|2019.0|1.0|Apartment|0.0|18296.2|1|0|0|starowiejska|letnica|gdansk|54.394982|18.646767
"Słoneczne | Balkon | Blisko Morza | Do Wprowadzeni"|46.0|2.0|4-7|secondary|0|1|1970.0|0.0|Apartment|1.0|11956.52|1|0|0|obrońców wybrzeża|przymorze|gdansk|54.41007|18.596302
"3 Pokoje | Blisko Morza | Baltica Towers"|76.71|3.0|1-3|secondary|1|1|2019.0|1.0|Apartment|0.0|19293.44|1|0|0|aleja gen. józefa hallera|brzeźno|gdansk|54.392372|18.622213
"2 Oddzielne Kawalerki | Idealne Pod Inwestycje"|52.34|2.0|4-7|secondary|1|1|2018.0|1.0|Apartment|0.0|25219.72|0|0|0|św. barbary|śródmieście|gdansk|54.349398|18.663182
"3 Pokoje |Os. Moment | Ogródek | Stan Deweloperski"|49.87|3.0|0|secondary|1|1|2024.0|1.0|Apartment|0.0|14016.44|0|1|0|łódzka|ujeścisko-łostowice|gdansk|54.31911|18.591801
"Nowe 3 pok. | 52,5 m2 | z windą |super lokalizacja"|52.53|3.0|1-3|secondary|0|1|2021.0|0.0|Apartment|0.0|13306.68|1|0|0|zeusa|osowa|gdansk|54.430298|18.470018
mieszkanie lub lokal usługowy, parter Orłowo|90.8|4.0|0|secondary|1|1|2023.0|1.0|Apartment|0.0|19823.79|0|1|0||orłowo|gdynia|54.476907|18.5487875
OSTATNIE 2pokojowe mieszkania na Jasieniu z HALĄ|34.7|2.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|12219.02|1|0|0||jasień|gdansk|54.340089|18.560014
2 pok. mieszkanie w świetnej lokalizacji.|47.69|2.0|1-3|secondary|1|1|2015.0|1.0|Apartment|0.0|20759.07|1|0|0|batalionów chłopskich|wzgórze św. maksymiliana|gdynia|54.497971|18.541104
Portova 3-pokoje 86m2, 2 X hala balkon komórka|86.46|3.0|1-3|secondary|1|1|2020.0|1.0|Apartment|0.0|29551.24|0|0|0|węglowa|śródmieście|gdynia|54.5198415|18.538188
"Mieszkanie na sprzedaż | Gdańsk Oliwa | Dobra cena"|38.0|2.0|1-3|secondary|0|0|1980.0|0.0|Apartment|0.0|15763.16|0|0|0|bobrowa|oliwa|gdansk|54.408789|18.556846
Brabank 4 pok 101m2 balkon 2 X hala komórka|101.48|4.0|1-3|secondary|1|1|2022.0|1.0|Apartment|0.0|31434.77|0|0|0|stara stocznia|śródmieście|gdansk|54.355462|18.661959
Mieszkanie 3 pok. blisko lasu!|43.5|3.0|1-3|secondary|1|0|1998.0|0.0|Apartment|1.0|9770.11|1|0|0||obłuże|gdynia|54.552186|18.508622
Nowość ! Wiczlino 80 m2 4 pokoje + Taras 31 m2|79.51|4.0|1-3|secondary|0|1|2014.0|1.0|Apartment|0.0|11885.3|0|0|1|stanisława filipkowskiego|chwarzno-wiczlino|gdynia|54.485423|18.427343
Mieszkanie - Gdańsk Jasień|57.65|3.0|1-3|primary|0|1|2024.0|1.0|Apartment|0.0|10000.0|1|0|0|potęgowska|jasień|gdansk|54.340089|18.560014
Mieszkanie - Gdańsk Jasień|68.07|4.0|1-3|primary|0|1|2024.0|1.0|Apartment|0.0|9864.85|1|0|0|potęgowska|jasień|gdansk|54.340089|18.560014
Mieszkanie - Gdańsk Jasień|57.65|3.0|4-7|primary|0|1|2024.0|1.0|Apartment|0.0|10086.73|1|0|0|potęgowska|jasień|gdansk|54.340089|18.560014
Mieszkanie - Gdańsk Jasień|33.24|2.0|1-3|primary|0|1|2024.0|1.0|Apartment|0.0|12800.84|1|0|0|potęgowska|jasień|gdansk|54.340089|18.560014
Mieszkanie - Gdańsk Jasień|33.24|2.0|1-3|primary|0|1|2024.0|1.0|Apartment|0.0|13146.81|1|0|0|potęgowska|jasień|gdansk|54.340089|18.560014
mieszkanie z duszą w sopockiej kamienicy|66.1|3.0|1-3|secondary|0|0|1890.0|0.0|Apartment|1.0|15113.46|0|0|0|gen. władysława andersa|osiedle mickiewicza|sopot|54.440668|18.55594
Piękny widok /zieleń /miejsce parkingowe i komórka|68.5|3.0|1-3|secondary|1|0|2005.0|1.0|Apartment|0.0|10072.99|1|0|0|kazimierza porębskiego|ujeścisko-łostowice|gdansk|54.31911|18.591801
Słoneczne 2p. z widokiem na jezioro Zakoniczyn|46.0|2.0|1-3|secondary|1|0|2010.0|1.0|Apartment|1.0|12500.0|1|1|1|kazimierza porębskiego 31|ujeścisko-łostowice|gdansk|54.319589|18.576403
4 Pok.Lux Oliwa Garaż Ogród Siłownia|106.08|4.0|0|primary|1|1|2023.0|1.0|Apartment|0.0|22795.95|1|0|0|jana bażyńskiego|oliwa|gdansk|54.408789|18.556846
3 Pok Garaż Balkon Piękna Lokalizacja|72.9|3.0|1-3|primary|1|1|2023.0|1.0|Apartment|0.0|25764.72|1|0|0|jana bażyńskiego|oliwa|gdansk|54.408789|18.556846
Mieszkanie Rozewska|53.0|3.0|4-7|secondary|0|1|1980.0|0.0|Apartment|1.0|9905.66|1|0|0|rozewska|chylonia|gdynia|54.539424|18.465493
Mieszkanie 2 pokoje 50 m2 Przymorze Nowa Lęborska|50.0|2.0|1-3|secondary|1|1|2017.0|1.0|Apartment|1.0|24000.0|1|0|0|lęborska 22|przymorze|gdansk|54.404943|18.582046
Kawalerka w Sopocie z widokiem|30.0|1.0|4-7|secondary|0|1|1988.0|1.0|Apartment|0.0|19000.0|0|0|0|adama mickiewicza|osiedle mickiewicza|sopot|54.438993|18.549723
Unikatowy widok i lokalizacja Centrum Gdańsk|79.1|2.0|4-7|secondary|0|0|1902.0|1.0|Apartment|0.0|12629.58|1|0|0|jana z kolna|śródmieście|gdansk|54.361387|18.64645
OSTATNIE 60m2 na Jasieniu_GARAŻE_RABATY_tramwaj|59.9|3.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9599.33|1|0|0||jasień|gdansk|54.340089|18.560014
Mieszkanie - Gdańsk Jasień|33.1|2.0|4-7|primary|0|1|2024.0|1.0|Apartment|0.0|13323.26|1|0|0|potęgowska|jasień|gdansk|54.340089|18.560014
Mieszkanie - Gdańsk Jasień|60.86|3.0|4-7|primary|0|1|2024.0|1.0|Apartment|0.0|11017.09|1|0|0|potęgowska|jasień|gdansk|54.340089|18.560014
Mieszkanie - Gdańsk Jasień|60.76|3.0|0|primary|0|1|2024.0|1.0|Apartment|0.0|11504.28|1|0|0|potęgowska|jasień|gdansk|54.340089|18.560014
Mieszkanie - Gdańsk Jasień|60.45|3.0|0|primary|0|1|2024.0|1.0|Apartment|0.0|11563.28|1|0|0|potęgowska|jasień|gdansk|54.340089|18.560014
"Mieszkanie Na Sprzedaż | Gdańsk Morena |Gotowe"|65.0|3.0|0|secondary|0|0|2011.0|1.0|Apartment|1.0|12615.37|0|1|1|królewskie wzgórze|piecki-migowo|gdansk|54.349808|18.569542
Zadbane mieszkanie w kamienicy - centrum Gdyni|49.37|2.0|4-7|secondary|0|0|1950.0|0.0|Apartment|1.0|12335.43|1|0|0|władysława iv|śródmieście|gdynia|54.51567|18.538271
Mieszkanie 2-pok z ogrodem po remoncie|49.49|2.0|0|secondary|0|0|2011.0|0.0|Apartment|1.0|11295.21|1|1|0|olimpijska|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Aniołki Idealne Pod Inwestycje i Studenta Gumed|36.5|2.0|1-3|secondary|0|0|1947.0|0.0|Apartment|0.0|12054.79|0|0|0|romualda traugutta|aniołki|gdansk|54.37067|18.617662
Słoneczne mieszkanie idealne pod inwestycję|30.0|1.0|1-3|secondary|1|0|1930.0|1.0|Apartment|1.0|25966.67|0|1|0|karlikowska|karlikowo|sopot|54.436814|18.574051
Mieszkanie 3-pokojowe w zieleni - Gdańsk Osowa|59.0|3.0|1-3|secondary|1|0|2000.0|1.0|Apartment|1.0|10152.54|1|1|0|perseusza|osowa|gdansk|54.430298|18.470018
Duże mieszkanie w samym centrum Gdyni|60.5|3.0|8+|secondary|1|1|1965.0|1.0|Apartment|1.0|16198.35|1|0|0|władysława iv|śródmieście|gdynia|54.51567|18.538271
Wyjątkowe jasne i przytulne mieszkanie w Gdyni.|53.0|3.0|1-3|secondary|0|0|1978.0|1.0|Apartment|1.0|10320.75|1|0|0||obłuże|gdynia|54.552186|18.508622
kawalerka blisko Ug i Obc|32.6|1.0|1-3|secondary|1|1|1982.0|1.0|Apartment|1.0|14662.58|1|0|0|antoniego abrahama|vii dwór|gdansk|54.387438|18.574708
Dwupokojowe mieszkanie na Ossowej|40.58|2.0|1-3|secondary|0|1|2015.0|0.0|Apartment|0.0|13528.83|0|0|0|marsa|osowa|gdansk|54.430298|18.470018
Stylowe 3 Pokoje Z Przestronnym Tarasem|72.8|3.0|0|secondary|1|0|2006.0|0.0|Apartment|0.0|12348.9|1|0|1||piecki-migowo|gdansk|54.351931|18.575399500000003
Idelanie Skomunikowane 4 Pokoje Widok Na Morze|66.7|4.0|4-7|secondary|1|1|1975.0|0.0|Apartment|1.0|12398.8|1|0|0|pomorska|Żabianka-Wejhera-Jelitkowo-Tysiąclecia|gdansk|54.420659|18.571526
Dzień Otwarty - poniedziałek 22.04.2024 r.|38.2|2.0|4-7|secondary|0|1|1974.0|0.0|Apartment|1.0|10968.59|1|0|0|morska|chylonia|gdynia|54.541477|18.463162
Ładnie wykończone, własny park na osiedlu|42.4|2.0|1-3|secondary|1|1|2023.0|0.0|Apartment|0.0|15141.51|1|0|0|niepołomicka|ujeścisko-łostowice|gdansk|54.31911|18.591801
Idealna inwestycja w Sopocie, kilka minut do plaży|37.0|2.0|0|secondary|0|1|1975.0|1.0|Apartment|1.0|17162.16|1|1|0|wejherowska|kamienny potok|sopot|54.455381|18.553889
3 pokojowe mieszkanie z ogrodem i dużą komórką|67.7|3.0|0|secondary|1|0|2008.0|1.0|Apartment|0.0|10324.96|1|1|1|jana kielasa|orunia górna - gdańsk południe|gdansk|54.323903|18.632939
Centrum Gdyni, po remoncie, ładne|48.6|3.0|1-3|secondary|0|0|1955.0|0.0|Apartment|0.0|18827.16|0|0|0|antoniego abrahama|śródmieście|gdynia|54.51678|18.540095
Kawalerka 27 m2 Chłopska Przymorze Gdańsk|27.0|1.0|1-3|secondary|0|0|1980.0|0.0|Apartment|0.0|17000.0|1|0|0|chłopska|przymorze|gdansk|54.354195|18.650385
Luksusowe mieszkanie z widokiem na Gdańsk!|90.0|4.0|4-7|secondary|0|1|2016.0|1.0|Apartment|1.0|11100.0|1|0|0|srebrna|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Doskonała okazja inwestycyjna!|63.45|3.0|1-3|secondary|0|1|2020.0|0.0|Apartment|0.0|11347.52|1|0|0|niepołomicka|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
2pok. Mieszkanie Gdynia WielkiKack ul.Nowodworcowa|46.0|2.0|0|primary|1|1|2024.0|0.0|Apartment|1.0|12900.0|0|0|1|nowodworcowa|wielki kack|gdynia|54.467664|18.492842
Od ręki* Niskie oplaty*Centrum*Gotowe*Balkon|79.0|3.0|1-3|secondary|0|0|1900.0|1.0|Apartment|1.0|16392.41|1|0|0|gen. władysława sikorskiego|górny sopot|sopot|54.441587|18.558452
70m2 Gdańska Invest Komfort garaż komórka|66.94|3.0|1-3|secondary|1|1|2022.0|1.0|Apartment|0.0|21959.96|1|0|0|gdańska|brzeźno|gdansk|54.402928|18.631912
Piękne mieszkanie gotowe do zamieszkania od zaraz.|48.56|3.0|1-3|secondary|0|1|1980.0|0.0|Apartment|1.0|11099.67|1|0|0|morska|chylonia|gdynia|54.541477|18.463162
Sloneczne 3-pokoje Z Widokiem Na Zieleń - Wiczlino|54.5|3.0|1-3|secondary|1|1|2017.0|1.0|Apartment|1.0|12477.06|1|0|1|stanisława filipkowskiego|chwarzno-wiczlino|gdynia|54.485423|18.427343
Spółdzielcze prawo do lokalu, 3 pokoje do wejścia!|52.2|3.0|4-7|secondary|0|1|1980.0|0.0|Apartment|1.0|15306.51|1|0|0|karpacka|oliwa|gdansk|54.408789|18.556846
Apartament Gdańsk , Stare Miasto , przy Motławie|49.0|2.0|1-3|secondary|1|1|2023.0|1.0|Apartment|1.0|32183.67|1|0|0||śródmieście|gdansk|54.34902|18.6518
Kawalerka, Gdańsk Żabianka|23.45|1.0|1-3|secondary|0|0|1980.0|1.0|Apartment|1.0|22174.84|0|0|0|gospody|Żabianka-Wejhera-Jelitkowo-Tysiąclecia|gdansk|54.422439|18.580986
Ustawne 2 pokojowe mieszkanie na Morenie!|42.1|2.0|4-7|secondary|1|1|2015.0|0.0|Apartment|0.0|16365.8|1|0|0|myśliwskie wzgórze|piecki-migowo|gdansk|54.348106|18.562501
Mieszkanie w Oliwie z pięknym widokiem 3 pokoje|47.0|3.0|8+|secondary|0|1|1970.0|1.0|Apartment|1.0|12744.68|1|0|0|bobrowa|oliwa|gdansk|54.408789|18.556846
Po generalnym remoncie, spacerem na plażę!|46.0|2.0|1-3|secondary|0|1|1970.0|0.0|Apartment|1.0|14978.26|1|0|0|piastowska|przymorze|gdansk|54.354195|18.650385
Wyjątkowe 4 pokoje w centrum Gdyni, 200 M od morza|90.0|4.0|1-3|secondary|1|1|2007.0|1.0|Apartment|1.0|18855.56|1|0|1||śródmieście|gdynia|54.5198415|18.538188
"NOWA CENA | blisko morza, idealne pod wynajem"|19.0|1.0|1-3|secondary|0|0|1974.0|0.0|Apartment|0.0|12578.95|0|0|0|chłopska|przymorze|gdansk|52.929098|10.527323
3 Pokoje nowe bez podatku 2% PCC blisko centrum|48.0|3.0|1-3|primary|1|1|2023.0|1.0|Apartment|0.0|16020.83|1|0|0||grabówek|gdynia|54.51768|18.53892
Kawalerka, mieszkanie 1 pokojowe Gdynia Centrum|34.0|1.0|1-3|secondary|1|0|1960.0|1.0|Apartment|1.0|15735.29|0|0|0|władysława iv|śródmieście|gdynia|54.51567|18.538271
Gdańsk Osowa -2-pok z tarasem ul.Junony|41.0|2.0|0|secondary|1|1|2009.0|0.0|Apartment|1.0|12926.83|0|0|1|junony|osowa|gdansk|54.430298|18.470018
Morena, 3 pokoje, pierwsze piętro z ogródkiem|50.0|3.0|1-3|secondary|0|1|2018.0|1.0|Apartment|0.0|14600.0|0|1|1|stanisława lema|piecki-migowo|gdansk|54.187737|18.380402
2-pok z m.post. i piwnicą w Gdyni Redłowie|66.8|2.0|0|secondary|1|1|2011.0|1.0|Apartment|0.0|17589.82|0|1|1||redłowo|gdynia|54.489685|18.566723
SPRZEDAM KOMFORTOWE M3 - bez pośredników !|44.15|2.0|1-3|secondary|1|1|2022.0|1.0|Apartment|0.0|14949.04|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Mieszkanie 2 pokoje 50 m2 Przymorze Nowa Lęborska|50.0|2.0|1-3|secondary|1|1|2017.0|1.0|Apartment|1.0|24000.0|1|0|0|lęborska 22|przymorze|gdansk|54.404943|18.582046
3-pokojowe mieszkanie z balkonem i garażem|55.0|3.0|1-3|secondary|1|0|2009.0|1.0|Apartment|0.0|15354.55|1|0|0|olgierda|mały kack|gdynia|54.4772|18.518346
Duże dwa pokoje w rewitalizowanej części Wrzeszcza|48.0|2.0|1-3|secondary|1|0|1935.0|1.0|Apartment|1.0|13125.0|1|0|0|joachima lelewela|wrzeszcz dolny|gdansk|54.383786|18.610604
Minimalistyczne mieszkanie w sercu Gdyni|80.0|4.0|1-3|secondary|1|1|2015.0|1.0|Apartment|0.0|23112.5|1|0|0|zygmunta augusta|śródmieście|gdynia|54.520471|18.540307
Apartament na Wodzie|36.0|2.0|0|secondary|1|0|2023.0|0.0|Apartment|0.0|12500.0|0|0|0|szopy|śródmieście|gdansk|54.345493|18.660491
2 Pokojowe Mieszkanie Gdańsk Przymorze 43 m2|43.0|2.0|1-3|secondary|0|0|1975.0|1.0|Apartment|1.0|14418.6|1|0|0|kołobrzeska 50k|przymorze|gdansk|54.404827|18.60128
Piękne 3 pok. mieszkanie po generalnym remoncie|43.7|3.0|1-3|secondary|0|0|1970.0|0.0|Apartment|1.0|12334.1|1|0|0|starogardzka|chylonia|gdynia|54.541335|18.469047
Mieszkanie 3-pokojowe, doskonale skomunikowane|58.0|3.0|1-3|secondary|1|0|2008.0|1.0|Apartment|1.0|10862.07|1|0|0||dąbrowa|gdynia|54.473863|18.465794
3 pokojowe mieszkanie blisko Centrum|51.0|3.0|1-3|primary|0|0|2000.0|0.0|Apartment|1.0|14470.59|1|0|0||orunia-św. wojciech-lipce|gdansk|54.15552|18.652661
Gotowe do zamieszkania 60m2 przy Garnizonie|60.0|2.0|0|secondary|1|0|1965.0|0.0|Apartment|1.0|12983.33|1|0|0|partyzantów|wrzeszcz górny|gdansk|54.379236|18.593883
Świetna cena ! 60 m2 duże mieszkanie 3 pokojowe,|60.0|3.0|4-7|secondary|0|0|1983.0|1.0|Apartment|1.0|8983.33|1|0|0|kmdr. z. horyda|pogórze|gdynia|54.562356|18.483759
Dla obcokrajowca, idealne na start! Najtaniej w GD|27.6|1.0|1-3|secondary|0|0|1970.0|1.0|Apartment|0.0|9601.45|0|0|0|rzęsna 1a|rudniki|gdansk|54.349383|18.704916
Gdańsk, Śródmieście, 2 pokoje|44.58|2.0|1-3|secondary|1|1|2018.0|1.0|Apartment|0.0|19964.11|0|1|1|wałowa|śródmieście|gdansk|54.3463466|18.6662024
2 pokoje po remoncie w sercu młodego miasta-na już|37.0|2.0|0|secondary|0|0|1940.0|1.0|Apartment|1.0|13216.22|0|0|0|robotnicza|śródmieście|gdansk|54.362388|18.64634
Gdańsk Śródmieście / 2pokoje/ gotowiec inwestycyjn|48.77|2.0|0|secondary|0|0|1955.0|1.0|Apartment|1.0|17408.24|1|0|0|bednarska|śródmieście|gdansk|54.35465|18.64858
2 pokoje - osobna kuchnia - MWG|54.4|2.0|1-3|secondary|1|1|2015.0|1.0|Apartment|1.0|10937.5|1|0|0|aleksandry gabrysiak|jasień|gdansk|54.340089|18.560014
Sopot - Kamienny Potok - 2 pokoje - parter|34.0|2.0|0|secondary|0|0|1930.0|1.0|Apartment|1.0|16176.47|0|1|0|józefa kraszewskiego 5|kamienny potok|sopot|54.454383|18.552766
Nowa oferta mieszkań - Meva - Gdynia Grabówek M3|52.47|3.0|0|primary|1|0|2024.0|1.0|Apartment|0.0|13093.2|0|1|0|gerarda denhoffa 2|grabówek|gdynia|54.523362|18.51654
Rezerwacja/ Wrzeszcz/Zrewitalizowana Kamienica|60.0|2.0|1-3|secondary|1|0|1907.0|0.0|Apartment|1.0|9000.0|0|0|0|ks. leona miszewskiego|wrzeszcz górny|gdansk|54.378168|18.615003
Elegancki, jasny Apartament z tarasem|65.0|3.0|1-3|secondary|1|0|2012.0|0.0|Apartment|0.0|32153.85|0|0|1|bernadowska|orłowo|gdynia|54.475629|18.552093
Mieszkanie 2 pokoje 50 m2 Przymorze Nowa Lęborska|50.0|2.0|1-3|secondary|1|1|2017.0|1.0|Apartment|1.0|24000.0|1|0|0|lęborska 22|przymorze|gdansk|54.404943|18.582046
2-pokojowe mieszkanie w świetnej lokalizacji|53.19|2.0|0|secondary|1|1|2017.0|1.0|Apartment|0.0|17822.9|0|1|1|powstańców wielkopolskich|zaspa|gdansk|54.400928|18.612721
Apartament z balkonem w prestiżowej części Oliwy|128.08|5.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|25476.03|1|0|0||oliwa|gdansk|54.4102295|18.57157
Apartament w nowoczesnej inwestycji|75.33|3.0|1-3|primary|0|1|2023.0|1.0|Apartment|0.0|23707.29|1|0|0||oliwa|gdansk|54.4102295|18.57157
Nowoczesne mieszkanie niedaleko plaży w Brzeźnie|76.69|3.0|8+|primary|1|1|2025.0|0.0|Apartment|0.0|17172.0|0|0|0||wrzeszcz dolny|gdansk|54.3817845|18.6051415
Apartament w nowoczesnej inwestycji w Oliwie|75.33|3.0|1-3|secondary|0|1|2023.0|1.0|Apartment|0.0|23707.29|1|0|0||oliwa|gdansk|54.4102295|18.57157
Luksusowe Mieszkanie z Dogodną Lokalizacją|43.53|2.0|1-3|secondary|0|1|2023.0|1.0|Apartment|0.0|22400.96|1|0|0||oliwa|gdansk|54.4102295|18.57157
5 pokojowy Apartament w Prestiżowej Lokalizacji|128.08|5.0|1-3|secondary|1|1|2024.0|1.0|Apartment|0.0|25476.03|1|0|0||oliwa|gdansk|54.4102295|18.57157
Eleganckie Mieszkanie z Widokiem na Przyszłość|50.56|2.0|1-3|secondary|1|1|2024.0|1.0|Apartment|0.0|23463.27|1|0|0||oliwa|gdansk|54.4102295|18.57157
Twoje Nowe Miejsce w Centrum Luksusu|72.39|3.0|1-3|secondary|1|1|2024.0|1.0|Apartment|0.0|21229.91|1|0|0||oliwa|gdansk|54.4102295|18.57157
Wyjątkowy apartament z ogrodem w Oliwie|113.59|4.0|0|primary|1|1|2022.0|1.0|Apartment|0.0|21365.63|0|1|1|opacka|oliwa|gdansk|54.412443|18.558847
Przestronny apartament blisko morza-Invest Komfor|105.7|2.0|0|secondary|1|1|2008.0|0.0|Apartment|0.0|28287.61|1|0|0|okrętowa|redłowo|gdynia|54.497223|18.547861
Apartament W Orłowskiej Riwierze|79.0|3.0|0|secondary|1|1|2009.0|0.0|House|0.0|44303.8|1|1|0|orłowska|orłowo|gdynia|54.479897|18.556408
Mieszkanie z antresolą|44.83|2.0|1-3|secondary|1|1|2024.0|0.0|Apartment|0.0|18938.21|1|0|0|stefana żeromskiego|śródmieście|gdynia|54.522273|18.544792
Apartament z tarasem na dachu - widok na morze|95.0|4.0|1-3|secondary|1|1|2015.0|0.0|Apartment|0.0|57894.74|1|0|1|jelitkowska|Żabianka-Wejhera-Jelitkowo-Tysiąclecia|gdansk|54.424062|18.596767
Apartament przy lesie w kameralnej inwestycji|134.96|5.0|1-3|primary|1|1|2024.0|0.0|Apartment|1.0|19353.14|0|0|1|wzgórze bernadowo|mały kack|gdynia|54.468501|18.513716
Kameralny apartamentowiec w otulinie lasu|73.58|3.0|1-3|primary|1|1|2024.0|0.0|Apartment|1.0|19135.63|0|0|1|wzgórze bernadowo|mały kack|gdynia|54.468501|18.513716
Rodzinny apartament z ogrodem|107.86|4.0|0|primary|1|1|2024.0|0.0|Apartment|1.0|18492.49|0|0|1|wzgórze bernadowo|mały kack|gdynia|54.468501|18.513716
"Słoneczne mieszkanie | Okazja"|78.4|4.0|1-3|secondary|1|1|2018.0|0.0|Apartment|0.0|14693.88|1|0|1||letnica|gdansk|54.337888|18.671963
Dwupoziomowy apartament z trzema tarasami|160.0|5.0|1-3|secondary|1|1|2011.0|0.0|Apartment|0.0|31249.99|0|0|1|króla jana iii|orłowo|gdynia|54.47844|18.560763
"Nowe mieszkanie | Storia | C.0.5"|37.0|2.0|0|primary|1|0|2024.0|0.0|Apartment|0.0|21500.0|0|1|1|elizy orzeszkowej|aniołki|gdansk|54.363901|18.633522
"Ogrody Diany | Hery 7/29"|66.72|3.0|1-3|primary|1|1|2025.0|1.0|Apartment|1.0|10806.35|1|0|0|diany|osowa|gdansk|54.430298|18.470018
2-Poziomowe Mieszkanie 4 pokoje 79,3m2 Jasień|79.3|4.0|1-3|secondary|1|1|2016.0|1.0|Apartment|1.0|8814.63|1|0|0|potęgowska|jasień|gdansk|54.340089|18.560014
Wyjątkowy apartament nad morzem - Riwiera Orłowska|78.88|3.0|0|secondary|1|1|2008.0|1.0|Apartment|0.0|54500.51|1|0|1|orłowska|orłowo|gdynia|54.479897|18.556408
Dwa pokoje w Horyzoncie|47.0|2.0|1-3|secondary|1|1|2007.0|1.0|Apartment|0.0|16000.0|1|0|0|obrońców wybrzeża|przymorze|gdansk|54.41007|18.596302
NOWOŚĆ,GdańskOsowa 2pok.budynek energooszczędnyM48|41.29|2.0|1-3|primary|1|1|2025.0|1.0|Apartment|1.0|12400.1|1|0|0|kielnieńska|osowa|gdansk|54.430298|18.470018
Luksusowy apartament z widokiem na Motławę|40.0|2.0|1-3|secondary|1|1|2021.0|1.0|Apartment|0.0|21500.0|1|0|0|stępkarska|śródmieście|gdansk|54.357207|18.664334
Gdynia Obłuże 2 pokoje 50,8 po kapitalnym remoncie|50.8|2.0|1-3|secondary|0|0|1977.0|1.0|Apartment|1.0|10157.48|1|0|0|benisławskiego|obłuże|gdynia|54.552186|18.508622
Przytulne 3 pokoje blisko centrum|44.86|3.0|0|primary|0|0|2023.0|0.0|Apartment|0.0|16473.47|0|1|0||grabówek|gdynia|54.51768|18.53892
Rezydencja Redłowo z tarasem i halą garażową !|52.3|2.0|0|secondary|1|1|2016.0|1.0|Apartment|1.0|22925.43|1|0|1|powstania śląskiego|redłowo|gdynia|54.49171|18.555094
Po remoncie-widok na port-gotowe do wprowadzenia|53.0|3.0|1-3|secondary|0|0|1980.0|1.0|Apartment|1.0|11132.08|1|0|0|adm. józefa unruga|obłuże|gdynia|51.055154|17.018621
Gdynia Wielki Kack Kameralna Lokalizacja|62.0|3.0|0|secondary|0|0|2000.0|1.0|Apartment|1.0|10200.0|0|0|0|wschodnia 1|wielki kack|gdynia|54.467664|18.492842
3 poje na 1 piętrze w zadbanej Kamienicy.|65.35|3.0|1-3|secondary|0|0|1960.0|1.0|Apartment|0.0|9472.07|0|0|0|wolności|nowy port|gdansk|54.399814|18.667842
Mieszkanie po remoncie|45.0|2.0|1-3|secondary|0|0|1977.0|0.0|Apartment|1.0|10822.22|1|0|0|południowa|cisowa|gdynia|54.548571|18.443583
"2 niezależne pokoje | Po remoncie | Niski blok"|38.7|2.0|1-3|secondary|0|0|1974.0|1.0|Apartment|1.0|14987.08|1|0|0||wrzeszcz dolny|gdansk|54.3817845|18.6051415
3 pokoje z dużym tarasem, funkcjonalny rozkład|50.56|3.0|1-3|primary|1|1|2026.0|0.0|Apartment|1.0|11286.0|1|0|0|rdestowa|dąbrowa|gdynia|54.473863|18.465794
2-pokoje, na start i inwestycję|38.67|2.0|1-3|primary|1|1|2026.0|0.0|Apartment|1.0|12678.98|1|0|0|rdestowa|dąbrowa|gdynia|54.473863|18.465794
Dwa pokoje z balkonem, Gdynia Śródmieście|44.32|2.0|1-3|secondary|0|1|1968.0|1.0|Apartment|1.0|13535.65|1|0|0|władysława iv|śródmieście|gdynia|54.51567|18.538271
Mieszkanie Gdańsk, Stolema, 2 Pokoje, Balkon|42.0|2.0|1-3|primary|1|0|2025.0|0.0|Apartment|0.0|14065.5|1|0|0|remusa|jasień|gdansk|54.340089|18.560014
